3 qid:9139 1:15.459973 13:6.700198 14:0.0 15:0.0 16:5.0592294 17:9.7657385 18:8.225579 19:6.4117546 # docid:443
0 qid:9139 1:10.127183 13:3.5415375 14:1.0 15:0.0 16:3.3540173 17:5.946786 18:0.0 19:0.99121886 # docid:471
3 qid:9139 1:10.020795 13:0.0 14:0.0 15:0.0 16:0.0 17:0.0 18:0.0 19:0.0 # docid:444
3 qid:9139 1:8.5565605 13:0.0 14:0.0 15:0.0 16:0.0 17:0.0 18:0.0 19:0.0 # docid:445
2 qid:9139 1:8.543911 13:2.7653384 14:1.0 15:0.0 16:0.8228297 17:1.5293598 18:1.6654812 19:0.80802065 # docid:438
0 qid:9139 1:8.09639 13:0.0 14:0.0 15:0.0 16:1.8861123 17:0.0 18:0.0 19:2.3945735 # docid:714
1 qid:9139 1:5.8802614 13:0.0 14:0.0 15:0.0 16:0.0 17:0.0 18:0.0 19:0.0 # docid:441
0 qid:9139 1:5.732042 13:5.4804163 14:0.0 15:0.0 16:2.708942 17:0.0 18:0.0 19:0.80802065 # docid:491
2 qid:9139 1:5.454375 13:0.0 14:0.0 15:0.0 16:1.8861123 17:0.0 18:0.0 19:0.0 # docid:433
1 qid:9139 1:5.2642574 13:0.0 14:0.0 15:0.0 16:0.9242326 17:0.0 18:0.0 19:0.73966753 # docid:333
1 qid:9139 1:5.188505 13:5.4804163 14:0.0 15:0.0 16:3.4577205 17:0.0 18:0.0 19:0.99121886 # docid:477
1 qid:9139 1:4.7650776 13:0.0 14:0.0 15:0.0 16:0.0 17:0.0 18:0.0 19:0.0 # docid:442
0 qid:9139 1:4.604105 13:2.7653384 14:1.0 15:0.0 16:3.0356019 17:1.5293598 18:1.6654812 19:0.89029306 # docid:600
0 qid:9139 1:4.5852413 13:2.7653384 14:0.0 15:0.0 16:1.1494895 17:1.5293598 18:0.0 19:1.1430436 # docid:299
0 qid:9139 1:4.5852413 13:2.7653384 14:1.0 15:0.0 16:3.0356019 17:1.5293598 18:1.6654812 19:0.80802065 # docid:160
0 qid:9139 1:4.46556 13:0.0 14:0.0 15:0.0 16:0.0 17:0.0 18:0.0 19:0.0 # docid:139
2 qid:9139 1:4.46556 13:0.0 14:0.0 15:0.0 16:0.0 17:0.0 18:0.0 19:0.0 # docid:437
0 qid:9139 1:4.46556 13:0.0 14:0.0 15:0.0 16:1.0541416 17:2.0317357 18:0.0 19:0.99121886 # docid:52
0 qid:9139 1:4.46556 13:0.0 14:0.0 15:0.0 16:0.0 17:0.0 18:0.0 19:0.0 # docid:831
0 qid:9139 1:4.4489307 13:3.1056738 14:1.0 15:0.0 16:3.0427833 17:1.7451117 18:1.9968915 19:3.202594 # docid:606
1 qid:9139 1:4.3303576 13:0.0 14:0.0 15:0.0 16:0.0 17:0.0 18:0.0 19:0.0 # docid:332
