3 qid:9139 1:15.459973 2:4.8894606 3:15.383828 4:20.733849 9:0.7036993 10:0.0 11:0.0 16:5.0592294 17:9.7657385 18:8.225579 # docid:443
0 qid:9139 1:10.127183 2:3.081064 3:5.5932026 4:3.0260859 9:0.6415746 10:0.0 11:0.0 16:3.3540173 17:5.946786 18:0.0 # docid:471
3 qid:9139 1:10.020795 2:1.7154447 3:4.0063257 4:3.1886175 9:0.7036993 10:0.0 11:0.0 16:0.0 17:0.0 18:0.0 # docid:444
3 qid:9139 1:8.5565605 2:1.7154447 3:4.0063257 4:3.1886175 9:0.7036993 10:0.0 11:0.0 16:0.0 17:0.0 18:0.0 # docid:445
2 qid:9139 1:8.543911 2:1.9949088 3:6.462719 4:10.411977 9:0.7036993 10:0.0 11:0.0 16:0.8228297 17:1.5293598 18:1.6654812 # docid:438
0 qid:9139 1:8.09639 2:2.0606475 3:1.3735301 4:1.586613 9:0.5097329 10:0.0 11:0.0 16:1.8861123 17:0.0 18:0.0 # docid:714
1 qid:9139 1:5.8802614 2:2.1018229 3:0.0 4:0.0 9:0.44799113 10:0.0 11:0.0 16:0.0 17:0.0 18:0.0 # docid:441
0 qid:9139 1:5.732042 2:2.1633687 3:1.7041543 4:0.0 9:0.5912134 10:0.0 11:0.0 16:2.708942 17:0.0 18:0.0 # docid:491
2 qid:9139 1:5.454375 2:3.049702 3:3.373883 4:2.6202874 9:0.44799113 10:0.0 11:0.0 16:1.8861123 17:0.0 18:0.0 # docid:433
1 qid:9139 1:5.2642574 2:2.2899165 3:0.0 4:0.0 9:0.0 10:0.0 11:0.0 16:0.9242326 17:0.0 18:0.0 # docid:333
1 qid:9139 1:5.188505 2:2.5652819 3:1.1074405 4:0.0 9:0.44799113 10:0.0 11:0.0 16:3.4577205 17:0.0 18:0.0 # docid:477
1 qid:9139 1:4.7650776 2:0.6670382 3:0.0 4:0.0 9:0.44799113 10:0.0 11:0.0 16:0.0 17:0.0 18:0.0 # docid:442
0 qid:9139 1:4.604105 2:1.9712392 3:1.4543067 4:1.586613 9:0.7036993 10:0.0 11:0.0 16:3.0356019 17:1.5293598 18:1.6654812 # docid:600
0 qid:9139 1:4.5852413 2:1.0452988 3:3.0508401 4:0.0 9:0.0 10:0.0 11:0.0 16:1.1494895 17:1.5293598 18:0.0 # docid:299
0 qid:9139 1:4.5852413 2:2.403356 3:3.0508401 4:4.168247 9:0.0 10:0.0 11:0.0 16:3.0356019 17:1.5293598 18:1.6654812 # docid:160
0 qid:9139 1:4.46556 2:1.7154447 3:1.3863258 4:0.0 9:0.5912134 10:0.0 11:0.0 16:0.0 17:0.0 18:0.0 # docid:139
2 qid:9139 1:4.46556 2:1.8172694 3:4.0063257 4:3.1886175 9:0.7036993 10:0.0 11:0.0 16:0.0 17:0.0 18:0.0 # docid:437
0 qid:9139 1:4.46556 2:3.4235363 3:6.462719 4:9.420406 9:0.44799113 10:0.0 11:0.0 16:1.0541416 17:2.0317357 18:0.0 # docid:52
0 qid:9139 1:4.46556 2:1.6097046 3:1.3863258 4:0.0 9:0.5912134 10:0.0 11:0.0 16:0.0 17:0.0 18:0.0 # docid:831
0 qid:9139 1:4.4489307 2:2.4217134 3:1.7233143 4:1.8185339 9:0.6415746 10:0.0 11:0.0 16:3.0427833 17:1.7451117 18:1.9968915 # docid:606
1 qid:9139 1:4.3303576 2:1.5784966 3:0.0 4:0.0 9:0.0 10:0.0 11:0.0 16:0.0 17:0.0 18:0.0 # docid:332
0 qid:9139 1:4.2048397 2:4.032015 3:5.2988853 4:4.095333 9:0.44799113 10:0.0 11:0.0 16:2.6180398 17:0.0 18:0.0 # docid:782
0 qid:9139 1:4.091001 2:1.8172694 3:4.0063257 4:3.1886175 9:0.5912134 10:0.0 11:0.0 16:0.0 17:0.0 18:0.0 # docid:153
0 qid:9139 1:4.091001 2:1.8172694 3:4.0063257 4:3.1886175 9:0.5912134 10:0.0 11:0.0 16:0.0 17:0.0 18:0.0 # docid:152
0 qid:9139 1:4.091001 2:0.77775216 3:1.4543067 4:1.586613 9:0.0 10:0.0 11:0.0 16:0.0 17:0.0 18:0.0 # docid:763
0 qid:9139 1:4.0783505 2:1.879797 3:1.4543067 4:1.586613 9:0.7036993 10:0.0 11:0.0 16:2.708942 17:1.5293598 18:1.6654812 # docid:568
0 qid:9139 1:4.0783505 2:0.67201203 3:1.4543067 4:1.586613 9:0.7036993 10:0.0 11:0.0 16:0.8228297 17:1.5293598 18:1.6654812 # docid:671
0 qid:9139 1:4.0783505 2:0.67201203 3:1.4543067 4:1.586613 9:0.7036993 10:0.0 11:0.0 16:0.8228297 17:1.5293598 18:1.428417 # docid:672
0 qid:9139 1:4.0783505 2:2.4858437 3:4.6173387 4:4.612699 9:0.6415746 10:0.0 11:0.0 16:0.0 17:0.0 18:0.0 # docid:96
1 qid:9139 1:4.0783505 2:0.9553915 3:2.6920033 4:3.6416712 9:0.7036993 10:0.0 11:0.0 16:2.6180398 17:4.476358 18:1.6654812 # docid:394
1 qid:9139 1:4.0783505 2:1.0468336 3:2.6920033 4:3.6416712 9:0.7036993 10:0.0 11:0.0 16:1.1494895 17:1.5293598 18:1.6654812 # docid:391
0 qid:9139 1:4.0783505 2:1.879797 3:0.0 4:0.0 9:0.7036993 10:0.0 11:0.0 16:0.8228297 17:0.0 18:0.0 # docid:410
1 qid:9139 1:4.0783505 2:2.4858437 3:2.6920033 4:2.1936185 9:0.5097329 10:0.0 11:0.0 16:1.0541416 17:2.0317357 18:0.0 # docid:448
0 qid:9139 1:4.0783505 2:1.893084 3:2.7013588 4:0.0 9:0.7036993 10:0.0 11:0.0 16:0.8228297 17:0.0 18:0.0 # docid:588
0 qid:9139 1:4.030755 2:2.5248525 3:2.7557902 4:3.0615258 9:0.5097329 10:0.0 11:0.0 16:1.1494895 17:1.5293598 18:1.6654812 # docid:325
1 qid:9139 1:4.030755 2:1.0095268 3:2.2882848 4:3.0615258 9:0.6415746 10:0.0 11:0.0 16:1.1494895 17:1.5293598 18:1.6654812 # docid:393
0 qid:9139 1:3.8767183 2:1.2597778 3:2.465919 4:0.0 9:0.0 10:0.0 11:0.0 16:0.0 17:0.0 18:0.0 # docid:151
0 qid:9139 1:3.8647308 2:1.0189024 3:1.2376966 4:0.0 9:0.5097329 10:0.0 11:0.0 16:0.8228297 17:0.0 18:0.0 # docid:45
2 qid:9139 1:3.8647308 2:2.6806579 3:1.3735301 4:0.0 9:0.5912134 10:0.0 11:0.0 16:0.8228297 17:1.5293598 18:0.0 # docid:365
0 qid:9139 1:3.8647308 2:1.8047148 3:2.6058545 4:0.0 9:0.7036993 10:0.0 11:0.0 16:0.8228297 17:1.5293598 18:0.0 # docid:659
0 qid:9139 1:3.8647308 2:2.986409 3:2.6058545 4:1.586613 9:0.5097329 10:0.0 11:0.0 16:1.7952101 17:0.0 18:0.0 # docid:715
0 qid:9139 1:3.8647308 2:3.5948327 3:6.7621536 4:6.27161 9:0.5097329 10:0.0 11:0.0 16:2.6180398 17:4.476358 18:1.6654812 # docid:3
0 qid:9139 1:3.8647308 2:2.4610536 3:5.529829 4:5.0811443 9:0.5097329 10:0.0 11:0.0 16:2.9446998 17:4.476358 18:0.0 # docid:17
0 qid:9139 1:3.8647308 2:3.0205586 3:2.6058545 4:1.586613 9:0.44799113 10:0.0 11:0.0 16:0.9242326 17:0.0 18:0.0 # docid:246
0 qid:9139 1:3.8647308 2:3.1184635 3:1.3735301 4:1.586613 9:0.5912134 10:0.0 11:0.0 16:2.708942 17:0.0 18:0.0 # docid:305
0 qid:9139 1:3.8647308 2:1.8760924 3:2.4687333 4:1.3338537 9:0.5097329 10:0.0 11:0.0 16:0.9242326 17:0.0 18:0.0 # docid:320
1 qid:9139 1:3.8647308 2:1.0731597 3:1.2376966 4:0.0 9:0.5912134 10:0.0 11:0.0 16:0.8228297 17:0.0 18:0.0 # docid:426
0 qid:9139 1:3.8647308 2:0.9161813 3:1.3735301 4:1.4923486 9:0.7036993 10:0.0 11:0.0 16:0.8228297 17:1.5293598 18:1.6654812 # docid:702
0 qid:9139 1:3.8647308 2:0.9161813 3:2.5424814 4:3.4253109 9:0.7036993 10:0.0 11:0.0 16:0.8228297 17:1.5293598 18:1.428417 # docid:703
0 qid:9139 1:3.8647308 2:0.9161813 3:1.3735301 4:1.586613 9:0.5097329 10:0.0 11:0.0 16:0.0 17:0.0 18:0.0 # docid:713
3 qid:9125 1:17.64639 2:7.248839 3:21.70566 4:21.198551 9:1.9602447 10:7.364913 11:0.0 16:1.9488457 17:0.0 18:0.0 # docid:372
3 qid:9125 1:16.86401 2:8.803445 3:16.878063 4:9.540428 9:0.44799113 10:0.0 11:0.0 16:4.371697 17:6.0891614 18:0.0 # docid:374
3 qid:9125 1:15.730073 2:6.410419 3:14.914606 4:14.308617 9:1.6900854 10:6.0764995 11:0.0 16:0.0 17:0.0 18:0.0 # docid:371
3 qid:9125 1:9.458509 2:7.5634007 3:6.1450553 4:4.225712 9:1.0373815 10:0.0 11:0.0 16:1.7122545 17:0.0 18:0.0 # docid:375
0 qid:9125 1:7.340327 2:2.0696177 3:0.0 4:0.0 9:0.7036993 10:0.0 11:0.0 16:0.0 17:0.0 18:0.0 # docid:475
0 qid:9125 1:7.2361526 2:4.534623 3:0.0 4:0.0 9:0.44799113 10:0.0 11:0.0 16:0.5651028 17:0.0 18:0.0 # docid:354
0 qid:9125 1:6.8991914 2:6.4156017 3:0.0 4:0.0 9:0.5912134 10:0.0 11:0.0 16:1.9488457 17:0.0 18:0.0 # docid:191
0 qid:9125 1:6.8991914 2:5.9173417 3:0.0 4:0.0 9:0.5912134 10:0.0 11:0.0 16:1.9488457 17:0.0 18:0.0 # docid:192
0 qid:9125 1:6.845907 2:5.472553 3:0.0 4:0.0 9:0.0 10:0.0 11:0.0 16:3.6611004 17:0.0 18:0.0 # docid:740
0 qid:9125 1:6.845907 2:5.472553 3:0.0 4:0.0 9:0.0 10:0.0 11:0.0 16:3.6611004 17:0.0 18:0.0 # docid:735
0 qid:9125 1:6.749649 2:4.7871766 3:0.0 4:0.0 9:1.0373815 10:0.0 11:0.0 16:1.7122545 17:0.0 18:0.0 # docid:225
0 qid:9125 1:6.6407123 2:3.7439516 3:0.0 4:0.0 9:0.7036993 10:0.0 11:0.0 16:2.3899472 17:0.0 18:0.0 # docid:380
0 qid:9125 1:6.6196046 2:3.7307956 3:0.0 4:0.0 9:0.6415746 10:0.0 11:0.0 16:0.0 17:0.0 18:0.0 # docid:262
0 qid:9125 1:6.616373 2:6.4252214 3:0.0 4:0.0 9:0.44799113 10:0.0 11:0.0 16:2.3899472 17:0.0 18:0.0 # docid:746
0 qid:9125 1:6.5699883 2:3.6840992 3:0.0 4:0.0 9:0.5912134 10:0.0 11:0.0 16:1.9488457 17:0.0 18:0.0 # docid:510
0 qid:9125 1:6.5699883 2:5.4054193 3:0.0 4:0.0 9:1.6900854 10:0.0 11:0.0 16:4.1022015 17:0.0 18:0.0 # docid:549
0 qid:9125 1:6.5499897 2:4.5442786 3:0.0 4:0.0 9:0.44799113 10:0.0 11:0.0 16:0.44110143 17:0.0 18:0.0 # docid:352
0 qid:9125 1:6.292878 2:4.8720083 3:0.0 4:0.0 9:1.3690312 10:0.0 11:0.0 16:1.9488457 17:0.0 18:0.0 # docid:303
0 qid:9125 1:6.292878 2:5.2124557 3:0.0 4:0.0 9:0.5912134 10:0.0 11:0.0 16:2.3899472 17:0.0 18:0.0 # docid:301
0 qid:9125 1:6.292878 2:4.06799 3:0.0 4:0.0 9:0.0 10:0.0 11:0.0 16:0.49546134 17:0.0 18:0.0 # docid:795
0 qid:9125 1:6.2429867 2:5.2772474 3:0.0 4:0.0 9:1.1803526 10:0.0 11:0.0 16:2.3899472 17:0.0 18:0.0 # docid:508
0 qid:9125 1:6.2429867 2:3.7331917 3:0.0 4:0.0 9:1.0373815 10:0.0 11:0.0 16:2.6844769 17:0.0 18:0.0 # docid:624
0 qid:9125 1:5.979669 2:5.427178 3:0.0 4:0.0 9:0.44799113 10:0.0 11:0.0 16:2.6594424 17:0.0 18:0.0 # docid:758
0 qid:9125 1:5.979669 2:6.289303 3:0.0 4:0.0 9:1.1803526 10:0.0 11:0.0 16:1.9488457 17:0.0 18:0.0 # docid:302
0 qid:9125 1:5.979669 2:3.429574 3:0.0 4:0.0 9:0.5097329 10:0.0 11:0.0 16:0.44110143 17:0.0 18:0.0 # docid:376
0 qid:9125 1:5.7701626 2:5.065899 3:0.0 4:0.0 9:0.5097329 10:0.0 11:0.0 16:0.44110143 17:0.0 18:0.0 # docid:824
1 qid:9125 1:5.696161 2:3.2247643 3:0.0 4:0.0 9:0.5097329 10:0.0 11:0.0 16:0.0 17:0.0 18:0.0 # docid:373
0 qid:9125 1:5.48297 2:6.222885 3:0.0 4:0.0 9:0.0 10:0.0 11:0.0 16:1.9488457 17:0.0 18:0.0 # docid:737
0 qid:9125 1:5.48297 2:3.429574 3:0.0 4:0.0 9:0.6415746 10:0.0 11:0.0 16:2.3899472 17:0.0 18:0.0 # docid:846
0 qid:9125 1:5.48297 2:5.2679386 3:0.0 4:0.0 9:0.6415746 10:0.0 11:0.0 16:1.9488457 17:0.0 18:0.0 # docid:841
0 qid:9125 1:5.48297 2:4.9418173 3:0.0 4:0.0 9:1.0373815 10:0.0 11:0.0 16:0.0 17:0.0 18:0.0 # docid:233
0 qid:9125 1:5.48297 2:5.641969 3:0.0 4:0.0 9:0.44799113 10:0.0 11:0.0 16:0.0 17:0.0 18:0.0 # docid:285
0 qid:9125 1:4.9233136 2:3.4018717 3:0.0 4:0.0 9:0.0 10:0.0 11:0.0 16:0.0 17:0.0 18:0.0 # docid:819
0 qid:9125 1:4.9090424 2:4.480418 3:0.0 4:0.0 9:0.7036993 10:0.0 11:0.0 16:1.7122545 17:0.0 18:0.0 # docid:359
0 qid:9125 1:4.9090424 2:4.4898868 3:0.0 4:0.0 9:0.7036993 10:0.0 11:0.0 16:2.6594424 17:0.0 18:0.0 # docid:678
0 qid:9125 1:4.6519117 2:2.5855432 3:0.0 4:0.0 9:1.1803526 10:0.0 11:0.0 16:0.44110143 17:0.0 18:0.0 # docid:53
0 qid:9125 1:4.63526 2:3.4667244 3:2.4562864 4:0.0 9:0.7036993 10:0.0 11:0.0 16:2.3284712 17:2.5131984 18:0.0 # docid:526
0 qid:9125 1:4.5527883 2:7.5498166 3:0.0 4:0.0 9:0.0 10:0.0 11:0.0 16:2.3899472 17:0.0 18:0.0 # docid:253
0 qid:9125 1:4.4194994 2:2.7038286 3:0.0 4:0.0 9:0.5912134 10:0.0 11:0.0 16:2.6594424 17:0.0 18:0.0 # docid:414
0 qid:9125 1:4.37905 2:3.9495995 3:2.3028073 4:0.0 9:0.0 10:0.0 11:0.0 16:0.0 17:0.0 18:0.0 # docid:185
0 qid:9125 1:4.37905 2:2.8839338 3:0.0 4:0.0 9:0.5912134 10:0.0 11:0.0 16:1.7122545 17:0.0 18:0.0 # docid:527
