"id","qb_question","qb_answer","qb_choice1","qb_choice2","qb_choice3","qb_topic_id"
1,"The Olympics team is aiming * a gold medal next year.","for","about","with","after",1
2,"She has a talent * art.","for","about","with","of",1
3,"I felt sorry * my colleagues who lost their jobs.","for","about","with","by",1
4,"Everybody knows the reason * his failures.","for","about","with","by",1
5,"Martin took the car out * a drive.","for","about","with","in",1
6,"We are waiting * the bus.","for","about","with","by",1
7,"He shouted * help when he was stuck in the lift.","for","about","with","in",1
8,"I do not know the reason * his unhappiness.","for","about","with","by",1
9,"Sixty per cent the population voted * the people's party.","for","about","with","by",1
10,"I will be in Tokyo * two weeks.","for","about","around","by",1
11,"It is very late. I am going * bed soon.","to","for","na","na",1
12,"I am very tired so I am going * take a nap.","to","with","na","na",1
13,"The book clearly belongs * him as his name is written on it.","to","with","na","na",1
14,"There must be a mistake because this does not belong * me.","to","with","na","na",1
15,"My friend knows the answer * the question.","to","for","na","na",1
16,"I have come * the conclusion that he is a liar.","to","with","na","na",1
17,"I will apologise * him for my remarks.","to","with","na","na",1
18,"His marriage * the pop star did not last very long.","to","with","na","na",1
19,"There is something about her that appeals * everyone.","to","with","na","na",1
20,"Everyone prays for a peaceful end * this situation.","to","with","na","na",1
21,"He was frustrated * himself for repeating the mistake.","with","about","na","na",1
22,"She was angry * herself for making the mistake.","with","about","na","na",1
23,"I solved the problem * much help from my friends.","with","by","na","na",1
24,"I completed the task * a little help from my classmates.","with","by","na","na",1
25,"I will have a word * him after the meeting.","with","by","na","na",1
26,"He is moody because he had an argument * his boss.","with","by","na","na",1
27,"He was happy * with performance at the games.","with","by","na","na",1
28,"I do not agree * your politics but we can still work together.","with","by","na","na",1
29,"My wife is angry * me for breaking her favourite glass.","with","by","na","na",1
30,"You must do this course * the right attitude if you want to succeed.","with","by","na","na",1
31,"She has always been afraid * the dark.","of","with","na","na",1
32,"He was accused * a crime he did not commit.","of","with","na","na",1
33,"I am very concerned about the safety * my workers.","of","with","na","na",1
34,"The school consisted almost entirely * Asian students.","of","with","na","na",1
35,"I was in awe * her achievements.","of","with","na","na",1
36,"The manner * his death was very unusual.","of","with","na","na",1
37,"This burger is made entirely * vegetables.","of","by","na","na",1
38,"The scope * her work was very broad.","of","with","na","na",1
39,"Do not underestimate the love * a mother for her child.","of","by","na","na",1
40,"I am a member * this country club.","of","with","na","na",1
41,"The police was asking questions * last night's incident.","about","for","na","na",1
42,"He kept asking me * the previous week's incident.","about","for","na","na",1
43,"The brochure gives more information * the event.","about","for","na","na",1
44,"Stay behind after the briefing for more information * the course.","about","for","na","na",1
45,"I am worried * the health of my parents.","about","with","na","na",1
46,"She has no qualms * taking advantage of her colleagues.","about","for","na","na",1
47,"There is something * her that I find very odd.","about","with","na","na",1
48,"I am not sure * this. I need to check.","about","with","na","na",1
49,"This movie is * the loss of innocence.","about","for","na","na",1
50,"This argument is * fairness, not money.","about","for","na","na",1
51,"The children loved the Christmas presents they received * their grandmother.","from","by","na","na",1
52,"The child loved the presents she got * her mum.","from","by","na","na",1
53,"The noise comes * within the stadium as there is a concert.","from","by","na","na",1
54,"They heard a loud noise coming * the back of the house.","from","by","na","na",1
55,"He picked up the coins * underneath the sofa cushions.","from","by","na","na",1
56,"She took the money * the drawer to pay for the goods.","from","by","na","na",1
57,"I am still recovering * the effects of my illness.","from","by","na","na",1
58,"Wearing a hat is a good way to shield your face * the sun.","from","against","na","na",1
59,"The project was far * completion when he joined the team.","from","to","na","na",1
60,"Thank you for your consideration. I look forward to hearing * you.","from","by","na","na",1
61,"He sat on the chair * the window to look at the clouds.","by","over","na","na",1
62,"They were sitting * the river looking at the ducks.","by","over","na","na",1
63,"I was shocked * his reaction.","by","over","na","na",1
64,"This book is written * a famous novelist.","by","from","na","na",1
65,"Many people travel to work * train.","by","from","na","na",1
66,"I go to school * bus everyday.","by","from","na","na",1
67,"* using this method, you can solve the problem.","By","From","na","na",1
68,"* following the instructions, I managed to work this out.","By","From","na","na",1
69,"* the time he started working hard, it was too late.","By","From","na","na",1
70,"* then, it was already past midnight.","By","From","na","na",1
71,"* the moment, I am not sure.","At","In","na","na",1
72,"* the end of the day, the decision is yours.","At","In","na","na",1
73,"She lost her ring * the beach this morning.","at","in","na","na",1
74,"He lost his phone * the mall this afternoon.","at","in","na","na",1
75,"I worked * the library during the holidays.","at","in","na","na",1
76,"Find me * the cafe when your meeting ends.","at","around","na","na",1
77,"Be careful. There are pieces of glass * the end of the corridor.","at","in","na","na",1
78,"You need to write your name * the top right hand corner.","at","in","na","na",1
79,"The children laughed * the clown when he fell down clumsily.","at","with","na","na",1
80,"I was looking * the painting when the fire broke out at the art gallery.","at","for","na","na",1
81,"The waiter laid out the dishes * the table.","on","in","onto","na",1
82,"The chef laid out the ingredients * the countertop.","on","in","onto","na",1
83,"She left muddy footprints * the clean floor.","on","in","onto","na",1
84,"He left his half-eaten plate * the table.","on","in","onto","na",1
85,"He slept * the bench at the park last night.","on","in","onto","na",1
86,"She sat * the grass and looked up at the sky.","on","in","onto","na",1
87,"I will get to the conference * time if I walk faster.","on","in","under","na",1
88,"He will reach the cinema * time if he takes a cab.","on","in","under","na",1
89,"There is a red stain * your shirt.","on","in","onto","na",1
90,"I will hang the picture * this wall.","on","in","onto","na",1
91,"There is some leftover dinner * the fridge.","in","on","into","na",1
92,"There is still some food * the kitchen.","in","on","into","na",1
93,"There are no boxes left * the storeroom.","in","on","into","na",1
94,"I made some coffee. It is * the pantry.","in","on","into","na",1
95,"There is something moving * the water.","in","on","into","na",1
96,"I put my clothes * the suitcase.","in","on","into","na",1
97,"If you want to participate * the activity you need to read the rules first.","in","on","about","na",1
98,"I have decided to take part * the competition.","in","on","about","na",1
99,"For the science fair Jenny built a robot that can walk * a straight line.","in","on","about","na",1
100,"The boomerang flies * a loop and returns to its thrower.","in","on","about","na",1
101,"The baby climbed * the sofa and reached out for the toy.","onto","into","over","na",1
102,"The cat jumped * the countertop to look for food.","onto","into","over","na",1
