java -jar RankLib-2.14.jar -train ../data/experiment/after_train.txt -test ../data/experiment/after_test.txt -validate ../data/experiment/after_validate.txt -ranker 6 -metric2t NDCG@10 -metric2T NDCG@10 -save ../model/experiment/model_after.txt


Discard orig. features
Training data:	../data/experiment/after_train.txt
Test data:	../data/experiment/after_test.txt
Validation data:	../data/experiment/after_validate.txt
Feature vector representation: Dense.
Ranking method:	LambdaMART
Feature description file:	Unspecified. All features will be used.
Train metric:	NDCG@10
Test metric:	NDCG@10
Feature normalization: No
Model file: ../model/experiment/model_after.txt

[+] LambdaMART's Parameters:
No. of trees: 1000
No. of leaves: 10
No. of threshold candidates: 256
Min leaf support: 1
Learning rate: 0.1
Stop early: 100 rounds without performance gain on validation data

Reading feature file [../data/experiment/after_train.txt]... [Done.]            
(152 ranked lists, 7600 entries read)
Reading feature file [../data/experiment/after_validate.txt]... [Done.]            
(75 ranked lists, 3750 entries read)
Reading feature file [../data/experiment/after_test.txt]... [Done.]            
(77 ranked lists, 3850 entries read)
Initializing... [Done]
---------------------------------
Training starts...
---------------------------------
#iter   | NDCG@10-T | NDCG@10-V | 
---------------------------------
1       | 0.5116    | 0.5172    | 
2       | 0.5148    | 0.5206    | 
3       | 0.5173    | 0.5185    | 
4       | 0.5196    | 0.5211    | 
5       | 0.5224    | 0.5263    | 
6       | 0.532     | 0.5297    | 
7       | 0.5331    | 0.53      | 
8       | 0.5358    | 0.5294    | 
9       | 0.5535    | 0.5474    | 
10      | 0.5565    | 0.5521    | 
11      | 0.5601    | 0.5525    | 
12      | 0.5684    | 0.5531    | 
13      | 0.5764    | 0.5595    | 
14      | 0.5785    | 0.5616    | 
15      | 0.5843    | 0.5625    | 
16      | 0.5819    | 0.558     | 
17      | 0.5834    | 0.5628    | 
18      | 0.5834    | 0.5638    | 
19      | 0.5863    | 0.565     | 
20      | 0.5854    | 0.5622    | 
21      | 0.5854    | 0.5665    | 
22      | 0.5876    | 0.5679    | 
23      | 0.5887    | 0.5695    | 
24      | 0.5943    | 0.5716    | 
25      | 0.5967    | 0.5706    | 
26      | 0.598     | 0.5757    | 
27      | 0.5989    | 0.5768    | 
28      | 0.598     | 0.576     | 
29      | 0.5999    | 0.5776    | 
30      | 0.6041    | 0.5748    | 
31      | 0.6056    | 0.5774    | 
32      | 0.608     | 0.5769    | 
33      | 0.609     | 0.5782    | 
34      | 0.6086    | 0.5793    | 
35      | 0.6111    | 0.5832    | 
36      | 0.6102    | 0.5812    | 
37      | 0.6125    | 0.5842    | 
38      | 0.6125    | 0.5853    | 
39      | 0.6136    | 0.5893    | 
40      | 0.6148    | 0.5907    | 
41      | 0.6141    | 0.5961    | 
42      | 0.6147    | 0.598     | 
43      | 0.6169    | 0.5972    | 
44      | 0.6173    | 0.598     | 
45      | 0.6162    | 0.5986    | 
46      | 0.6173    | 0.5988    | 
47      | 0.6174    | 0.5991    | 
48      | 0.6177    | 0.5996    | 
49      | 0.6223    | 0.599     | 
50      | 0.6202    | 0.5994    | 
51      | 0.6227    | 0.5992    | 
52      | 0.6245    | 0.6       | 
53      | 0.6249    | 0.6001    | 
54      | 0.6265    | 0.5993    | 
55      | 0.6288    | 0.598     | 
56      | 0.6313    | 0.5981    | 
57      | 0.6314    | 0.5984    | 
58      | 0.6321    | 0.5986    | 
59      | 0.6314    | 0.5999    | 
60      | 0.6325    | 0.5989    | 
61      | 0.6325    | 0.5975    | 
62      | 0.6353    | 0.5967    | 
63      | 0.6358    | 0.5979    | 
64      | 0.6377    | 0.5971    | 
65      | 0.6391    | 0.5974    | 
66      | 0.6391    | 0.5958    | 
67      | 0.6395    | 0.5961    | 
68      | 0.6392    | 0.5949    | 
69      | 0.6399    | 0.5947    | 
70      | 0.6421    | 0.5971    | 
71      | 0.6413    | 0.5986    | 
72      | 0.6425    | 0.5944    | 
73      | 0.6439    | 0.5976    | 
74      | 0.6439    | 0.6001    | 
75      | 0.6444    | 0.6006    | 
76      | 0.6455    | 0.6012    | 
77      | 0.6474    | 0.6008    | 
78      | 0.6467    | 0.6011    | 
79      | 0.6472    | 0.6012    | 
80      | 0.6478    | 0.6021    | 
81      | 0.6477    | 0.5992    | 
82      | 0.6479    | 0.6013    | 
83      | 0.6484    | 0.603     | 
84      | 0.6489    | 0.6035    | 
85      | 0.6487    | 0.6047    | 
86      | 0.6469    | 0.6067    | 
87      | 0.6465    | 0.6049    | 
88      | 0.6456    | 0.6047    | 
89      | 0.6453    | 0.6046    | 
90      | 0.6445    | 0.6046    | 
91      | 0.6444    | 0.6022    | 
92      | 0.6444    | 0.6022    | 
93      | 0.6463    | 0.605     | 
94      | 0.6463    | 0.6057    | 
95      | 0.6475    | 0.6041    | 
96      | 0.6477    | 0.6067    | 
97      | 0.6477    | 0.6062    | 
98      | 0.6472    | 0.6056    | 
99      | 0.6483    | 0.6049    | 
100     | 0.6501    | 0.6046    | 
101     | 0.6519    | 0.6048    | 
102     | 0.6518    | 0.6049    | 
103     | 0.6505    | 0.6042    | 
104     | 0.6522    | 0.6048    | 
105     | 0.6518    | 0.6079    | 
106     | 0.6527    | 0.6084    | 
107     | 0.6522    | 0.6081    | 
108     | 0.6537    | 0.607     | 
109     | 0.6546    | 0.6087    | 
110     | 0.655     | 0.61      | 
111     | 0.6548    | 0.6105    | 
112     | 0.6548    | 0.6109    | 
113     | 0.6559    | 0.6121    | 
114     | 0.6572    | 0.6151    | 
115     | 0.66      | 0.6136    | 
116     | 0.6593    | 0.6152    | 
117     | 0.6591    | 0.6159    | 
118     | 0.6593    | 0.6161    | 
119     | 0.6592    | 0.6157    | 
120     | 0.6594    | 0.6155    | 
121     | 0.6607    | 0.615     | 
122     | 0.6611    | 0.6161    | 
123     | 0.6601    | 0.6176    | 
124     | 0.6594    | 0.6153    | 
125     | 0.6605    | 0.6159    | 
126     | 0.6608    | 0.6165    | 
127     | 0.6623    | 0.6166    | 
128     | 0.6614    | 0.616     | 
129     | 0.6632    | 0.6127    | 
130     | 0.6632    | 0.613     | 
131     | 0.6635    | 0.6127    | 
132     | 0.6654    | 0.6131    | 
133     | 0.6664    | 0.6187    | 
134     | 0.6665    | 0.6187    | 
135     | 0.6666    | 0.6193    | 
136     | 0.6654    | 0.619     | 
137     | 0.6657    | 0.6206    | 
138     | 0.6655    | 0.6208    | 
139     | 0.6675    | 0.6189    | 
140     | 0.6677    | 0.621     | 
141     | 0.6671    | 0.6204    | 
142     | 0.6656    | 0.6209    | 
143     | 0.6667    | 0.6227    | 
144     | 0.6658    | 0.6212    | 
145     | 0.6667    | 0.6213    | 
146     | 0.6675    | 0.6219    | 
147     | 0.6678    | 0.6232    | 
148     | 0.6679    | 0.6231    | 
149     | 0.6681    | 0.6227    | 
150     | 0.6677    | 0.6222    | 
151     | 0.6699    | 0.6225    | 
152     | 0.6706    | 0.6233    | 
153     | 0.6709    | 0.6227    | 
154     | 0.6702    | 0.6237    | 
155     | 0.6699    | 0.6229    | 
156     | 0.6711    | 0.6242    | 
157     | 0.6706    | 0.6238    | 
158     | 0.6712    | 0.6251    | 
159     | 0.6698    | 0.6241    | 
160     | 0.6699    | 0.6229    | 
161     | 0.6702    | 0.6239    | 
162     | 0.6711    | 0.6237    | 
163     | 0.6713    | 0.6237    | 
164     | 0.6717    | 0.6239    | 
165     | 0.6717    | 0.6238    | 
166     | 0.6725    | 0.6227    | 
167     | 0.672     | 0.6252    | 
168     | 0.6719    | 0.6237    | 
169     | 0.6718    | 0.624     | 
170     | 0.6728    | 0.6241    | 
171     | 0.6723    | 0.6245    | 
172     | 0.6724    | 0.6239    | 
173     | 0.6737    | 0.6218    | 
174     | 0.6738    | 0.622     | 
175     | 0.6736    | 0.622     | 
176     | 0.6736    | 0.622     | 
177     | 0.6739    | 0.6216    | 
178     | 0.6745    | 0.6222    | 
179     | 0.6753    | 0.6213    | 
180     | 0.6758    | 0.622     | 
181     | 0.677     | 0.624     | 
182     | 0.6777    | 0.6242    | 
183     | 0.6779    | 0.6227    | 
184     | 0.6779    | 0.6234    | 
185     | 0.6784    | 0.6232    | 
186     | 0.6781    | 0.6253    | 
187     | 0.6785    | 0.6228    | 
188     | 0.6806    | 0.6249    | 
189     | 0.6799    | 0.6259    | 
190     | 0.6794    | 0.6248    | 
191     | 0.681     | 0.6251    | 
192     | 0.6816    | 0.6255    | 
193     | 0.6828    | 0.6254    | 
194     | 0.682     | 0.6247    | 
195     | 0.6818    | 0.6233    | 
196     | 0.6821    | 0.6234    | 
197     | 0.6832    | 0.6236    | 
198     | 0.6824    | 0.6234    | 
199     | 0.6826    | 0.6249    | 
200     | 0.6827    | 0.6245    | 
201     | 0.6832    | 0.6235    | 
202     | 0.6823    | 0.6244    | 
203     | 0.6823    | 0.6232    | 
204     | 0.6828    | 0.623     | 
205     | 0.6835    | 0.6253    | 
206     | 0.6835    | 0.6259    | 
207     | 0.684     | 0.6222    | 
208     | 0.684     | 0.6248    | 
209     | 0.6852    | 0.6245    | 
210     | 0.6849    | 0.6236    | 
211     | 0.6856    | 0.6244    | 
212     | 0.6854    | 0.6235    | 
213     | 0.685     | 0.6238    | 
214     | 0.6855    | 0.6247    | 
215     | 0.6845    | 0.6258    | 
216     | 0.6846    | 0.6267    | 
217     | 0.6856    | 0.6262    | 
218     | 0.6866    | 0.6258    | 
219     | 0.6866    | 0.6256    | 
220     | 0.6866    | 0.625     | 
221     | 0.6868    | 0.6248    | 
222     | 0.688     | 0.6242    | 
223     | 0.6885    | 0.6247    | 
224     | 0.6898    | 0.6245    | 
225     | 0.6895    | 0.6254    | 
226     | 0.6895    | 0.6243    | 
227     | 0.689     | 0.625     | 
228     | 0.6902    | 0.6238    | 
229     | 0.6909    | 0.6247    | 
230     | 0.6914    | 0.6245    | 
231     | 0.6921    | 0.6252    | 
232     | 0.6916    | 0.6235    | 
233     | 0.6918    | 0.624     | 
234     | 0.6921    | 0.6245    | 
235     | 0.6918    | 0.6239    | 
236     | 0.6918    | 0.6253    | 
237     | 0.6918    | 0.625     | 
238     | 0.6926    | 0.6259    | 
239     | 0.693     | 0.627     | 
240     | 0.692     | 0.6273    | 
241     | 0.6922    | 0.6275    | 
242     | 0.693     | 0.6274    | 
243     | 0.693     | 0.6262    | 
244     | 0.693     | 0.6252    | 
245     | 0.6929    | 0.6265    | 
