java -jar RankLib-2.14.jar -train ../data/experiment/no_ngram_train.txt -test ../data/experiment/no_ngram_test.txt -validate ../data/experiment/no_ngram_validate.txt -ranker 6 -metric2t NDCG@10 -metric2T NDCG@10 -save ../model/experiment/model_no_ngram.txt

Discard orig. features
Training data:	../data/experiment/no_ngram_train.txt
Test data:	../data/experiment/no_ngram_test.txt
Validation data:	../data/experiment/no_ngram_validate.txt
Feature vector representation: Dense.
Ranking method:	LambdaMART
Feature description file:	Unspecified. All features will be used.
Train metric:	NDCG@10
Test metric:	NDCG@10
Feature normalization: No
Model file: ../model/experiment/model_no_ngram.txt

[+] LambdaMART's Parameters:
No. of trees: 1000
No. of leaves: 10
No. of threshold candidates: 256
Min leaf support: 1
Learning rate: 0.1
Stop early: 100 rounds without performance gain on validation data

Reading feature file [../data/experiment/no_ngram_train.txt]... [Done.]            
(152 ranked lists, 7600 entries read)
Reading feature file [../data/experiment/no_ngram_validate.txt]... [Done.]            
(75 ranked lists, 3750 entries read)
Reading feature file [../data/experiment/no_ngram_test.txt]... [Done.]            
(77 ranked lists, 3850 entries read)
Initializing... [Done]
---------------------------------
Training starts...
---------------------------------
#iter   | NDCG@10-T | NDCG@10-V | 
---------------------------------
1       | 0.8445    | 0.812     | 
2       | 0.8857    | 0.8587    | 
3       | 0.8988    | 0.8751    | 
4       | 0.8992    | 0.8752    | 
5       | 0.8992    | 0.8752    | 
6       | 0.8995    | 0.8757    | 
7       | 0.8998    | 0.8757    | 
8       | 0.8998    | 0.8757    | 
9       | 0.8998    | 0.8757    | 
10      | 0.8996    | 0.8757    | 
11      | 0.9086    | 0.8801    | 
12      | 0.9086    | 0.8801    | 
13      | 0.9086    | 0.8801    | 
14      | 0.9086    | 0.8801    | 
15      | 0.9143    | 0.8937    | 
16      | 0.9152    | 0.8953    | 
17      | 0.9165    | 0.8956    | 
18      | 0.9184    | 0.898     | 
19      | 0.9188    | 0.8986    | 
20      | 0.9262    | 0.905     | 
21      | 0.929     | 0.9073    | 
22      | 0.9304    | 0.9093    | 
23      | 0.9314    | 0.9108    | 
24      | 0.9317    | 0.9108    | 
25      | 0.9323    | 0.9113    | 
26      | 0.9323    | 0.9113    | 
27      | 0.9327    | 0.9115    | 
28      | 0.9333    | 0.9118    | 
29      | 0.9334    | 0.9118    | 
30      | 0.934     | 0.9124    | 
31      | 0.934     | 0.9124    | 
32      | 0.934     | 0.9124    | 
33      | 0.9352    | 0.9127    | 
34      | 0.9353    | 0.9127    | 
35      | 0.9367    | 0.9121    | 
36      | 0.9384    | 0.9129    | 
37      | 0.9381    | 0.9129    | 
38      | 0.9386    | 0.9138    | 
39      | 0.9394    | 0.9145    | 
40      | 0.9398    | 0.9149    | 
41      | 0.94      | 0.9143    | 
42      | 0.9414    | 0.9147    | 
43      | 0.9419    | 0.9147    | 
44      | 0.9414    | 0.9147    | 
45      | 0.9416    | 0.9155    | 
46      | 0.9419    | 0.9162    | 
47      | 0.9422    | 0.9163    | 
48      | 0.9429    | 0.9167    | 
49      | 0.9432    | 0.9165    | 
50      | 0.9435    | 0.9169    | 
51      | 0.9435    | 0.9167    | 
52      | 0.9434    | 0.9167    | 
53      | 0.9436    | 0.917     | 
54      | 0.9438    | 0.917     | 
55      | 0.9438    | 0.9175    | 
56      | 0.9438    | 0.9175    | 
57      | 0.9433    | 0.9173    | 
58      | 0.9434    | 0.9172    | 
59      | 0.9436    | 0.9183    | 
60      | 0.9435    | 0.9182    | 
61      | 0.9436    | 0.9182    | 
62      | 0.9435    | 0.9182    | 
63      | 0.9442    | 0.9187    | 
64      | 0.9447    | 0.9187    | 
65      | 0.9438    | 0.9187    | 
66      | 0.9443    | 0.9187    | 
67      | 0.9446    | 0.9189    | 
68      | 0.9447    | 0.9185    | 
69      | 0.9447    | 0.9175    | 
70      | 0.9445    | 0.918     | 
71      | 0.9442    | 0.9179    | 
72      | 0.9443    | 0.9179    | 
73      | 0.9448    | 0.918     | 
74      | 0.9445    | 0.9179    | 
75      | 0.945     | 0.9178    | 
76      | 0.9452    | 0.917     | 
77      | 0.9452    | 0.917     | 
78      | 0.9454    | 0.917     | 
79      | 0.9463    | 0.917     | 
80      | 0.9455    | 0.9174    | 
81      | 0.9459    | 0.9179    | 
82      | 0.9461    | 0.9179    | 
83      | 0.9465    | 0.9184    | 
84      | 0.9464    | 0.9182    | 
85      | 0.9468    | 0.9182    | 
86      | 0.947     | 0.9182    | 
87      | 0.947     | 0.9182    | 
88      | 0.9471    | 0.9182    | 
89      | 0.9466    | 0.9182    | 
90      | 0.9466    | 0.9183    | 
91      | 0.9466    | 0.9182    | 
92      | 0.9469    | 0.9183    | 
93      | 0.9467    | 0.9183    | 
94      | 0.9468    | 0.9188    | 
95      | 0.9475    | 0.9183    | 
96      | 0.9481    | 0.9183    | 
97      | 0.948     | 0.9187    | 
98      | 0.948     | 0.9196    | 
99      | 0.9481    | 0.9196    | 
100     | 0.9482    | 0.9191    | 
101     | 0.9484    | 0.9191    | 
102     | 0.9488    | 0.9186    | 
103     | 0.949     | 0.9186    | 
104     | 0.9489    | 0.9186    | 
105     | 0.9489    | 0.9192    | 
106     | 0.9493    | 0.9187    | 
107     | 0.9496    | 0.9187    | 
108     | 0.9493    | 0.9192    | 
109     | 0.9493    | 0.9192    | 
110     | 0.9496    | 0.9192    | 
111     | 0.9497    | 0.9192    | 
112     | 0.9497    | 0.9192    | 
113     | 0.95      | 0.9192    | 
114     | 0.9499    | 0.9193    | 
115     | 0.9499    | 0.9193    | 
116     | 0.9501    | 0.9199    | 
117     | 0.9501    | 0.9198    | 
118     | 0.9503    | 0.9198    | 
119     | 0.9503    | 0.9199    | 
120     | 0.9499    | 0.9199    | 
121     | 0.9502    | 0.9199    | 
122     | 0.9505    | 0.9199    | 
123     | 0.951     | 0.9199    | 
124     | 0.9508    | 0.9199    | 
125     | 0.9507    | 0.92      | 
126     | 0.9507    | 0.92      | 
127     | 0.951     | 0.92      | 
128     | 0.951     | 0.9195    | 
129     | 0.9509    | 0.9204    | 
130     | 0.9509    | 0.9205    | 
131     | 0.951     | 0.9205    | 
132     | 0.951     | 0.9209    | 
133     | 0.951     | 0.9209    | 
134     | 0.9508    | 0.9209    | 
135     | 0.9509    | 0.9209    | 
136     | 0.9509    | 0.921     | 
137     | 0.9509    | 0.9214    | 
138     | 0.9511    | 0.921     | 
139     | 0.951     | 0.921     | 
140     | 0.9511    | 0.921     | 
141     | 0.9511    | 0.921     | 
142     | 0.9519    | 0.921     | 
143     | 0.9517    | 0.9215    | 
144     | 0.9519    | 0.9215    | 
145     | 0.9519    | 0.9215    | 
146     | 0.952     | 0.9215    | 
147     | 0.9518    | 0.9214    | 
148     | 0.9518    | 0.9215    | 
149     | 0.9518    | 0.9216    | 
150     | 0.952     | 0.9216    | 
151     | 0.9518    | 0.9216    | 
152     | 0.9518    | 0.9215    | 
153     | 0.9519    | 0.9216    | 
154     | 0.9521    | 0.9216    | 
155     | 0.9521    | 0.9216    | 
156     | 0.9521    | 0.9216    | 
157     | 0.9523    | 0.9216    | 
158     | 0.9523    | 0.9216    | 
159     | 0.952     | 0.9217    | 
160     | 0.9521    | 0.9217    | 
161     | 0.9524    | 0.9217    | 
162     | 0.9524    | 0.9217    | 
163     | 0.9524    | 0.9217    | 
164     | 0.9524    | 0.9217    | 
165     | 0.9524    | 0.9217    | 
166     | 0.9524    | 0.9217    | 
167     | 0.9526    | 0.9217    | 
168     | 0.9526    | 0.9222    | 
169     | 0.9526    | 0.9222    | 
170     | 0.9526    | 0.9222    | 
171     | 0.9526    | 0.9222    | 
172     | 0.9526    | 0.9222    | 
173     | 0.9526    | 0.9226    | 
174     | 0.9526    | 0.9226    | 
175     | 0.9526    | 0.9226    | 
176     | 0.9526    | 0.9226    | 
177     | 0.9526    | 0.9226    | 
178     | 0.9526    | 0.9226    | 
179     | 0.9526    | 0.9222    | 
180     | 0.9526    | 0.9222    | 
181     | 0.9526    | 0.9222    | 
182     | 0.9526    | 0.9222    | 
183     | 0.9526    | 0.9226    | 
184     | 0.9526    | 0.9226    | 
185     | 0.9526    | 0.9226    | 
186     | 0.9526    | 0.9226    | 
187     | 0.9528    | 0.9226    | 
188     | 0.9528    | 0.9226    | 
189     | 0.9528    | 0.9231    | 
190     | 0.9528    | 0.9231    | 
191     | 0.9528    | 0.9231    | 
192     | 0.9528    | 0.9231    | 
193     | 0.9528    | 0.923     | 
194     | 0.9528    | 0.923     | 
195     | 0.953     | 0.923     | 
196     | 0.953     | 0.923     | 
197     | 0.953     | 0.9231    | 
198     | 0.953     | 0.9235    | 
199     | 0.953     | 0.9235    | 
200     | 0.953     | 0.9235    | 
201     | 0.953     | 0.9235    | 
202     | 0.953     | 0.9235    | 
203     | 0.953     | 0.9235    | 
204     | 0.953     | 0.9235    | 
205     | 0.953     | 0.9235    | 
206     | 0.953     | 0.9235    | 
207     | 0.953     | 0.9235    | 
208     | 0.953     | 0.9235    | 
209     | 0.953     | 0.9235    | 
210     | 0.9532    | 0.9235    | 
211     | 0.9532    | 0.9235    | 
212     | 0.9533    | 0.9235    | 
213     | 0.9533    | 0.9235    | 
214     | 0.9533    | 0.9235    | 
215     | 0.9533    | 0.9235    | 
216     | 0.9533    | 0.9235    | 
217     | 0.9533    | 0.9235    | 
218     | 0.9533    | 0.9235    | 
219     | 0.9533    | 0.9235    | 
220     | 0.9533    | 0.9235    | 
221     | 0.9533    | 0.9235    | 
222     | 0.9533    | 0.9235    | 
223     | 0.9532    | 0.9235    | 
224     | 0.9532    | 0.9235    | 
225     | 0.9532    | 0.9235    | 
226     | 0.9532    | 0.9235    | 
227     | 0.9534    | 0.9235    | 
228     | 0.9534    | 0.9236    | 
229     | 0.9534    | 0.9235    | 
230     | 0.9534    | 0.9235    | 
231     | 0.9534    | 0.9235    | 
232     | 0.9534    | 0.9235    | 
233     | 0.9534    | 0.9236    | 
234     | 0.9534    | 0.9236    | 
235     | 0.9534    | 0.9236    | 
236     | 0.9534    | 0.9231    | 
237     | 0.9534    | 0.9231    | 
238     | 0.9534    | 0.9231    | 
239     | 0.9534    | 0.9231    | 
240     | 0.9534    | 0.9231    | 
241     | 0.9534    | 0.9231    | 
242     | 0.9534    | 0.9231    | 
243     | 0.9534    | 0.9231    | 
244     | 0.9534    | 0.9231    | 
245     | 0.9532    | 0.9231    | 
246     | 0.9532    | 0.9231    | 
247     | 0.9534    | 0.9231    | 
248     | 0.9532    | 0.923     | 
249     | 0.9534    | 0.9231    | 
250     | 0.9532    | 0.9231    | 
251     | 0.9534    | 0.9231    | 
252     | 0.9534    | 0.9231    | 
253     | 0.9537    | 0.923     | 
254     | 0.9537    | 0.923     | 
255     | 0.9537    | 0.923     | 
256     | 0.9537    | 0.923     | 
257     | 0.9537    | 0.923     | 
258     | 0.9537    | 0.923     | 
259     | 0.9537    | 0.923     | 
260     | 0.9537    | 0.923     | 
261     | 0.9535    | 0.923     | 
262     | 0.9537    | 0.923     | 
263     | 0.9537    | 0.923     | 
264     | 0.9537    | 0.923     | 
265     | 0.9537    | 0.923     | 
266     | 0.9537    | 0.923     | 
267     | 0.9537    | 0.923     | 
268     | 0.9537    | 0.923     | 
269     | 0.9537    | 0.923     | 
270     | 0.9537    | 0.923     | 
271     | 0.9537    | 0.923     | 
272     | 0.9537    | 0.923     | 
273     | 0.9537    | 0.923     | 
274     | 0.9537    | 0.9234    | 
275     | 0.9537    | 0.9234    | 
276     | 0.9537    | 0.9229    | 
277     | 0.9537    | 0.9234    | 
278     | 0.9537    | 0.9231    | 
279     | 0.9537    | 0.9235    | 
280     | 0.9537    | 0.9235    | 
281     | 0.9537    | 0.9235    | 
282     | 0.9537    | 0.9235    | 
283     | 0.9537    | 0.9235    | 
284     | 0.9537    | 0.9239    | 
285     | 0.9537    | 0.9235    | 
286     | 0.9537    | 0.924     | 
287     | 0.9537    | 0.924     | 
288     | 0.9537    | 0.924     | 
289     | 0.9537    | 0.924     | 
290     | 0.9537    | 0.924     | 
291     | 0.9537    | 0.9239    | 
292     | 0.9537    | 0.924     | 
293     | 0.9537    | 0.924     | 
294     | 0.9537    | 0.9239    | 
295     | 0.9537    | 0.924     | 
296     | 0.9537    | 0.924     | 
297     | 0.9537    | 0.924     | 
298     | 0.9537    | 0.924     | 
299     | 0.9537    | 0.924     | 
300     | 0.9537    | 0.924     | 
301     | 0.9537    | 0.924     | 
302     | 0.9537    | 0.924     | 
303     | 0.9537    | 0.924     | 
304     | 0.9537    | 0.924     | 
305     | 0.9537    | 0.924     | 
306     | 0.9537    | 0.924     | 
307     | 0.9537    | 0.924     | 
308     | 0.9537    | 0.924     | 
309     | 0.9537    | 0.924     | 
310     | 0.9537    | 0.924     | 
311     | 0.9539    | 0.924     | 
312     | 0.9539    | 0.924     | 
313     | 0.9539    | 0.924     | 
314     | 0.9539    | 0.924     | 
315     | 0.9539    | 0.924     | 
316     | 0.9539    | 0.924     | 
317     | 0.9539    | 0.924     | 
318     | 0.9539    | 0.924     | 
319     | 0.9539    | 0.924     | 
320     | 0.9539    | 0.924     | 
321     | 0.9539    | 0.924     | 
322     | 0.9539    | 0.924     | 
323     | 0.9539    | 0.924     | 
324     | 0.9539    | 0.924     | 
325     | 0.9539    | 0.924     | 
326     | 0.9539    | 0.924     | 
327     | 0.9539    | 0.924     | 
328     | 0.9539    | 0.924     | 
329     | 0.9539    | 0.9241    | 
330     | 0.9539    | 0.924     | 
331     | 0.9539    | 0.9241    | 
332     | 0.9539    | 0.9241    | 
333     | 0.9539    | 0.9241    | 
334     | 0.9539    | 0.9241    | 
335     | 0.9539    | 0.9241    | 
336     | 0.9539    | 0.9241    | 
337     | 0.9539    | 0.9241    | 
338     | 0.9539    | 0.9241    | 
339     | 0.9539    | 0.9241    | 
340     | 0.9539    | 0.924     | 
