java -jar RankLib-2.14.jar -train ../data/experiment/no_parsetree_train.txt -test ../data/experiment/no_parsetree_test.txt -validate ../data/experiment/no_parsetree_validate.txt -ranker 6 -metric2t NDCG@10 -metric2T NDCG@10 -save ../model/experiment/model_no_parsetree.txt

Discard orig. features
Training data:	../data/experiment/no_parsetree_train.txt
Test data:	../data/experiment/no_parsetree_test.txt
Validation data:	../data/experiment/no_parsetree_validate.txt
Feature vector representation: Dense.
Ranking method:	LambdaMART
Feature description file:	Unspecified. All features will be used.
Train metric:	NDCG@10
Test metric:	NDCG@10
Feature normalization: No
Model file: ../model/experiment/model_no_parsetree.txt

[+] LambdaMART's Parameters:
No. of trees: 1000
No. of leaves: 10
No. of threshold candidates: 256
Min leaf support: 1
Learning rate: 0.1
Stop early: 100 rounds without performance gain on validation data

Reading feature file [../data/experiment/no_parsetree_train.txt]... [Done.]            
(152 ranked lists, 7600 entries read)
Reading feature file [../data/experiment/no_parsetree_validate.txt]... [Done.]            
(75 ranked lists, 3750 entries read)
Reading feature file [../data/experiment/no_parsetree_test.txt]... [Done.]            
(77 ranked lists, 3850 entries read)
Initializing... [Done]
---------------------------------
Training starts...
---------------------------------
#iter   | NDCG@10-T | NDCG@10-V | 
---------------------------------
1       | 0.8445    | 0.812     | 
2       | 0.8857    | 0.8587    | 
3       | 0.8988    | 0.8751    | 
4       | 0.8992    | 0.8752    | 
5       | 0.8992    | 0.8752    | 
6       | 0.8997    | 0.8757    | 
7       | 0.8998    | 0.8757    | 
8       | 0.8998    | 0.8757    | 
9       | 0.8998    | 0.8757    | 
10      | 0.8998    | 0.8757    | 
11      | 0.9008    | 0.8768    | 
12      | 0.9086    | 0.8801    | 
13      | 0.9086    | 0.8801    | 
14      | 0.9097    | 0.8821    | 
15      | 0.9146    | 0.8939    | 
16      | 0.9147    | 0.894     | 
17      | 0.9149    | 0.894     | 
18      | 0.9172    | 0.8978    | 
19      | 0.9176    | 0.8979    | 
20      | 0.9249    | 0.9041    | 
21      | 0.9264    | 0.9047    | 
22      | 0.928     | 0.9065    | 
23      | 0.9305    | 0.9101    | 
24      | 0.9316    | 0.9108    | 
25      | 0.9319    | 0.9113    | 
26      | 0.9321    | 0.9113    | 
27      | 0.9326    | 0.9116    | 
28      | 0.9335    | 0.9118    | 
29      | 0.9337    | 0.912     | 
30      | 0.9338    | 0.912     | 
31      | 0.9338    | 0.912     | 
32      | 0.9339    | 0.9119    | 
33      | 0.9351    | 0.9118    | 
34      | 0.9352    | 0.9119    | 
35      | 0.9351    | 0.9119    | 
36      | 0.9375    | 0.9124    | 
37      | 0.9376    | 0.9124    | 
38      | 0.938     | 0.9124    | 
39      | 0.9386    | 0.9126    | 
40      | 0.9389    | 0.9127    | 
41      | 0.9383    | 0.9126    | 
42      | 0.9391    | 0.9134    | 
43      | 0.9397    | 0.9139    | 
44      | 0.9393    | 0.9145    | 
45      | 0.9398    | 0.915     | 
46      | 0.9396    | 0.915     | 
47      | 0.9396    | 0.9149    | 
48      | 0.9402    | 0.9162    | 
49      | 0.9404    | 0.9163    | 
50      | 0.9406    | 0.9162    | 
51      | 0.9405    | 0.9162    | 
52      | 0.941     | 0.9172    | 
53      | 0.9421    | 0.9172    | 
54      | 0.9425    | 0.918     | 
55      | 0.9426    | 0.9177    | 
56      | 0.9428    | 0.9177    | 
57      | 0.9425    | 0.9177    | 
58      | 0.9431    | 0.9182    | 
59      | 0.9424    | 0.9181    | 
60      | 0.9424    | 0.9185    | 
61      | 0.9425    | 0.9188    | 
62      | 0.943     | 0.9184    | 
63      | 0.9432    | 0.9189    | 
64      | 0.9433    | 0.9188    | 
65      | 0.9428    | 0.9188    | 
66      | 0.943     | 0.9188    | 
67      | 0.943     | 0.9188    | 
68      | 0.9429    | 0.9183    | 
69      | 0.9428    | 0.918     | 
70      | 0.9426    | 0.918     | 
71      | 0.943     | 0.918     | 
72      | 0.9437    | 0.9186    | 
73      | 0.9436    | 0.9188    | 
74      | 0.9439    | 0.9185    | 
75      | 0.9436    | 0.9188    | 
76      | 0.9441    | 0.9189    | 
77      | 0.9449    | 0.919     | 
78      | 0.9449    | 0.9186    | 
79      | 0.9452    | 0.9187    | 
80      | 0.9452    | 0.9187    | 
81      | 0.9451    | 0.9188    | 
82      | 0.945     | 0.9188    | 
83      | 0.9452    | 0.9193    | 
84      | 0.9453    | 0.9193    | 
85      | 0.9453    | 0.9186    | 
86      | 0.9453    | 0.9186    | 
87      | 0.9455    | 0.9186    | 
88      | 0.9455    | 0.9194    | 
89      | 0.9456    | 0.9194    | 
90      | 0.9458    | 0.9199    | 
91      | 0.9465    | 0.9204    | 
92      | 0.9465    | 0.9205    | 
93      | 0.947     | 0.92      | 
94      | 0.9469    | 0.9201    | 
95      | 0.9469    | 0.9202    | 
96      | 0.947     | 0.9202    | 
97      | 0.9468    | 0.9203    | 
98      | 0.9472    | 0.9204    | 
99      | 0.9472    | 0.9207    | 
100     | 0.9472    | 0.9215    | 
101     | 0.9467    | 0.9216    | 
102     | 0.9471    | 0.9215    | 
103     | 0.9472    | 0.9215    | 
104     | 0.9475    | 0.9212    | 
105     | 0.9477    | 0.9212    | 
106     | 0.9481    | 0.9212    | 
107     | 0.9477    | 0.9212    | 
108     | 0.9483    | 0.9212    | 
109     | 0.9482    | 0.9217    | 
110     | 0.9482    | 0.9217    | 
111     | 0.9484    | 0.9221    | 
112     | 0.9482    | 0.9216    | 
113     | 0.9482    | 0.9216    | 
114     | 0.9485    | 0.9218    | 
115     | 0.9485    | 0.9218    | 
116     | 0.9487    | 0.9222    | 
117     | 0.9486    | 0.9222    | 
118     | 0.9482    | 0.9226    | 
119     | 0.9487    | 0.9231    | 
120     | 0.9489    | 0.9226    | 
121     | 0.9492    | 0.9227    | 
122     | 0.9491    | 0.9227    | 
123     | 0.9495    | 0.9223    | 
124     | 0.9495    | 0.9222    | 
125     | 0.9493    | 0.9223    | 
126     | 0.9494    | 0.9223    | 
127     | 0.9495    | 0.9223    | 
128     | 0.9495    | 0.9225    | 
129     | 0.9495    | 0.9225    | 
130     | 0.9493    | 0.9225    | 
131     | 0.9499    | 0.9226    | 
132     | 0.9499    | 0.9226    | 
133     | 0.9502    | 0.9226    | 
134     | 0.9501    | 0.9226    | 
135     | 0.9497    | 0.9231    | 
136     | 0.9499    | 0.9232    | 
137     | 0.9497    | 0.9232    | 
138     | 0.95      | 0.9233    | 
139     | 0.9495    | 0.9231    | 
140     | 0.95      | 0.9233    | 
141     | 0.9504    | 0.9233    | 
142     | 0.9505    | 0.9231    | 
143     | 0.9501    | 0.9231    | 
144     | 0.951     | 0.9233    | 
145     | 0.9508    | 0.9233    | 
146     | 0.9508    | 0.9234    | 
147     | 0.9508    | 0.9234    | 
148     | 0.9508    | 0.9234    | 
149     | 0.9509    | 0.9236    | 
150     | 0.9509    | 0.9234    | 
151     | 0.9509    | 0.9237    | 
152     | 0.9508    | 0.9234    | 
153     | 0.9509    | 0.9238    | 
154     | 0.9509    | 0.9238    | 
155     | 0.9511    | 0.9234    | 
156     | 0.9511    | 0.9234    | 
157     | 0.9509    | 0.9233    | 
158     | 0.9512    | 0.9238    | 
159     | 0.9513    | 0.9238    | 
160     | 0.9513    | 0.9238    | 
161     | 0.9512    | 0.9238    | 
162     | 0.9513    | 0.9238    | 
163     | 0.9513    | 0.9238    | 
164     | 0.9513    | 0.9238    | 
165     | 0.9516    | 0.9239    | 
166     | 0.9515    | 0.9238    | 
167     | 0.9518    | 0.9238    | 
168     | 0.9518    | 0.9238    | 
169     | 0.9518    | 0.9238    | 
170     | 0.9523    | 0.9238    | 
171     | 0.9523    | 0.9238    | 
172     | 0.9525    | 0.9238    | 
173     | 0.9526    | 0.9238    | 
174     | 0.9525    | 0.9238    | 
175     | 0.9525    | 0.9243    | 
176     | 0.9526    | 0.9244    | 
177     | 0.9526    | 0.9244    | 
178     | 0.9526    | 0.9244    | 
179     | 0.9526    | 0.9244    | 
180     | 0.9526    | 0.9244    | 
181     | 0.9523    | 0.9244    | 
182     | 0.9523    | 0.9244    | 
183     | 0.9523    | 0.9244    | 
184     | 0.9523    | 0.9247    | 
185     | 0.9523    | 0.9247    | 
186     | 0.9523    | 0.9247    | 
187     | 0.9523    | 0.9251    | 
188     | 0.9523    | 0.9252    | 
189     | 0.9523    | 0.9252    | 
190     | 0.9523    | 0.9257    | 
191     | 0.9523    | 0.9252    | 
192     | 0.9526    | 0.9252    | 
193     | 0.9526    | 0.9253    | 
194     | 0.9526    | 0.9253    | 
195     | 0.9526    | 0.9252    | 
196     | 0.9526    | 0.9257    | 
197     | 0.9526    | 0.9253    | 
198     | 0.9526    | 0.9253    | 
199     | 0.9526    | 0.9253    | 
200     | 0.9526    | 0.9258    | 
201     | 0.9526    | 0.9257    | 
202     | 0.9526    | 0.9257    | 
203     | 0.9526    | 0.9258    | 
204     | 0.9526    | 0.9258    | 
205     | 0.9526    | 0.9258    | 
206     | 0.9526    | 0.9258    | 
207     | 0.9526    | 0.9258    | 
208     | 0.9526    | 0.9258    | 
209     | 0.9526    | 0.9258    | 
210     | 0.9526    | 0.9258    | 
211     | 0.9526    | 0.9258    | 
212     | 0.9526    | 0.9258    | 
213     | 0.9526    | 0.9259    | 
214     | 0.9526    | 0.9259    | 
215     | 0.9526    | 0.9259    | 
216     | 0.9529    | 0.9259    | 
217     | 0.9529    | 0.9259    | 
218     | 0.9529    | 0.9259    | 
219     | 0.9529    | 0.9259    | 
220     | 0.9529    | 0.9259    | 
221     | 0.9529    | 0.9259    | 
222     | 0.9529    | 0.9259    | 
223     | 0.9529    | 0.9259    | 
224     | 0.9529    | 0.9259    | 
225     | 0.9529    | 0.9258    | 
226     | 0.9529    | 0.9258    | 
227     | 0.9531    | 0.9258    | 
228     | 0.9531    | 0.9258    | 
229     | 0.9531    | 0.9258    | 
230     | 0.9531    | 0.9258    | 
231     | 0.9531    | 0.9258    | 
232     | 0.9531    | 0.9258    | 
233     | 0.9531    | 0.9258    | 
234     | 0.9531    | 0.9258    | 
235     | 0.9531    | 0.9258    | 
236     | 0.9531    | 0.9258    | 
237     | 0.9532    | 0.9258    | 
238     | 0.9532    | 0.9259    | 
239     | 0.9532    | 0.9259    | 
240     | 0.9532    | 0.9259    | 
241     | 0.9532    | 0.9259    | 
242     | 0.9532    | 0.9259    | 
243     | 0.9532    | 0.9259    | 
244     | 0.9532    | 0.9259    | 
245     | 0.9532    | 0.9259    | 
246     | 0.9532    | 0.9259    | 
247     | 0.9532    | 0.9259    | 
248     | 0.9532    | 0.9259    | 
249     | 0.9532    | 0.9259    | 
250     | 0.9531    | 0.9259    | 
251     | 0.9531    | 0.9259    | 
252     | 0.9531    | 0.9259    | 
253     | 0.9531    | 0.9259    | 
254     | 0.9532    | 0.9259    | 
255     | 0.9532    | 0.9259    | 
256     | 0.9532    | 0.9259    | 
257     | 0.9532    | 0.9259    | 
258     | 0.9532    | 0.9259    | 
259     | 0.9532    | 0.9259    | 
260     | 0.9531    | 0.9259    | 
261     | 0.9532    | 0.9259    | 
262     | 0.9532    | 0.9259    | 
263     | 0.9532    | 0.9259    | 
264     | 0.9532    | 0.9259    | 
265     | 0.9532    | 0.9259    | 
266     | 0.9532    | 0.9259    | 
267     | 0.9532    | 0.9259    | 
268     | 0.9532    | 0.9259    | 
269     | 0.9532    | 0.9259    | 
270     | 0.9532    | 0.9259    | 
271     | 0.9532    | 0.9259    | 
272     | 0.9532    | 0.9259    | 
273     | 0.9532    | 0.9259    | 
274     | 0.9532    | 0.9259    | 
275     | 0.9532    | 0.9259    | 
276     | 0.9532    | 0.9259    | 
277     | 0.9532    | 0.9259    | 
278     | 0.9532    | 0.9259    | 
279     | 0.9532    | 0.9259    | 
280     | 0.9532    | 0.9259    | 
281     | 0.9532    | 0.9259    | 
282     | 0.9532    | 0.9259    | 
283     | 0.9532    | 0.9259    | 
284     | 0.9532    | 0.9259    | 
285     | 0.9532    | 0.9259    | 
286     | 0.9532    | 0.9259    | 
287     | 0.9534    | 0.9259    | 
288     | 0.9534    | 0.9259    | 
289     | 0.9534    | 0.9259    | 
290     | 0.9534    | 0.9259    | 
291     | 0.9534    | 0.9259    | 
292     | 0.9534    | 0.9259    | 
293     | 0.9534    | 0.9259    | 
294     | 0.9534    | 0.9259    | 
295     | 0.9534    | 0.9259    | 
296     | 0.9534    | 0.9264    | 
297     | 0.9532    | 0.9264    | 
298     | 0.9532    | 0.9259    | 
299     | 0.9534    | 0.9259    | 
300     | 0.9534    | 0.9259    | 
301     | 0.9534    | 0.9259    | 
302     | 0.9534    | 0.9264    | 
303     | 0.9534    | 0.9264    | 
304     | 0.9534    | 0.9259    | 
305     | 0.9534    | 0.9259    | 
306     | 0.9534    | 0.9264    | 
307     | 0.9534    | 0.926     | 
308     | 0.9534    | 0.926     | 
309     | 0.9534    | 0.926     | 
310     | 0.9534    | 0.926     | 
311     | 0.9534    | 0.926     | 
312     | 0.9534    | 0.926     | 
313     | 0.9534    | 0.926     | 
314     | 0.9534    | 0.926     | 
315     | 0.9534    | 0.926     | 
316     | 0.9534    | 0.926     | 
317     | 0.9534    | 0.926     | 
318     | 0.9534    | 0.926     | 
319     | 0.9534    | 0.926     | 
320     | 0.9534    | 0.926     | 
321     | 0.9534    | 0.926     | 
322     | 0.9534    | 0.926     | 
323     | 0.9534    | 0.926     | 
324     | 0.9534    | 0.926     | 
325     | 0.9534    | 0.9259    | 
326     | 0.9534    | 0.926     | 
327     | 0.9534    | 0.9265    | 
328     | 0.9536    | 0.9265    | 
329     | 0.9536    | 0.9265    | 
330     | 0.9536    | 0.9265    | 
331     | 0.9536    | 0.9265    | 
332     | 0.9536    | 0.9265    | 
333     | 0.9536    | 0.9265    | 
334     | 0.9536    | 0.9265    | 
335     | 0.9536    | 0.9265    | 
