java -jar RankLib-2.14.jar -train ../data/experiment/ss_before_after_train.txt -test ../data/experiment/ss_before_after_test.txt -validate ../data/experiment/ss_before_after_validate.txt -ranker 6 -metric2t NDCG@10 -metric2T NDCG@10 -save ../model/experiment/model_ss_before_after.txt


Discard orig. features
Training data:	../data/experiment/ss_before_after_train.txt
Test data:	../data/experiment/ss_before_after_test.txt
Validation data:	../data/experiment/ss_before_after_validate.txt
Feature vector representation: Dense.
Ranking method:	LambdaMART
Feature description file:	Unspecified. All features will be used.
Train metric:	NDCG@10
Test metric:	NDCG@10
Feature normalization: No
Model file: ../model/experiment/model_ss_before_after.txt

[+] LambdaMART's Parameters:
No. of trees: 1000
No. of leaves: 10
No. of threshold candidates: 256
Min leaf support: 1
Learning rate: 0.1
Stop early: 100 rounds without performance gain on validation data

Reading feature file [../data/experiment/ss_before_after_train.txt]... [Done.]            
(152 ranked lists, 7600 entries read)
Reading feature file [../data/experiment/ss_before_after_validate.txt]... [Done.]            
(75 ranked lists, 3750 entries read)
Reading feature file [../data/experiment/ss_before_after_test.txt]... [Done.]            
(77 ranked lists, 3850 entries read)
Initializing... [Done]
---------------------------------
Training starts...
---------------------------------
#iter   | NDCG@10-T | NDCG@10-V | 
---------------------------------
1       | 0.5225    | 0.522     | 
2       | 0.5232    | 0.5285    | 
3       | 0.5236    | 0.5237    | 
4       | 0.5236    | 0.5237    | 
5       | 0.5236    | 0.5237    | 
6       | 0.5328    | 0.5316    | 
7       | 0.5367    | 0.5335    | 
8       | 0.5648    | 0.5464    | 
9       | 0.5719    | 0.5505    | 
10      | 0.5769    | 0.555     | 
11      | 0.58      | 0.5637    | 
12      | 0.5794    | 0.5662    | 
13      | 0.5832    | 0.5678    | 
14      | 0.5921    | 0.5715    | 
15      | 0.5911    | 0.5738    | 
16      | 0.5919    | 0.5718    | 
17      | 0.5975    | 0.5722    | 
18      | 0.6019    | 0.584     | 
19      | 0.6042    | 0.5864    | 
20      | 0.6056    | 0.5863    | 
21      | 0.6089    | 0.591     | 
22      | 0.6121    | 0.5908    | 
23      | 0.613     | 0.5894    | 
24      | 0.6139    | 0.5853    | 
25      | 0.6186    | 0.5913    | 
26      | 0.6213    | 0.5967    | 
27      | 0.6236    | 0.6009    | 
28      | 0.6246    | 0.6044    | 
29      | 0.6276    | 0.6082    | 
30      | 0.6326    | 0.6134    | 
31      | 0.6325    | 0.6154    | 
32      | 0.6344    | 0.6202    | 
33      | 0.636     | 0.6182    | 
34      | 0.6395    | 0.6208    | 
35      | 0.6448    | 0.6198    | 
36      | 0.6444    | 0.6179    | 
37      | 0.6477    | 0.6197    | 
38      | 0.6514    | 0.6224    | 
39      | 0.6549    | 0.623     | 
40      | 0.6537    | 0.6245    | 
41      | 0.6586    | 0.6279    | 
42      | 0.66      | 0.6279    | 
43      | 0.6626    | 0.6301    | 
44      | 0.662     | 0.6313    | 
45      | 0.6638    | 0.6352    | 
46      | 0.6647    | 0.6355    | 
