java -jar RankLib-2.14.jar -train ../data/experiment/unigram_pos_train.txt -test ../data/experiment/unigram_pos_test.txt -validate ../data/experiment/unigram_pos_validate.txt -ranker 6 -metric2t NDCG@10 -metric2T NDCG@10 -save ../model/experiment/model_unigram_pos.txt

Discard orig. features
Training data:	../data/experiment/unigram_pos_train.txt
Test data:	../data/experiment/unigram_pos_test.txt
Validation data:	../data/experiment/unigram_pos_validate.txt
Feature vector representation: Dense.
Ranking method:	LambdaMART
Feature description file:	Unspecified. All features will be used.
Train metric:	NDCG@10
Test metric:	NDCG@10
Feature normalization: No
Model file: ../model/experiment/model_unigram_pos.txt

[+] LambdaMART's Parameters:
No. of trees: 1000
No. of leaves: 10
No. of threshold candidates: 256
Min leaf support: 1
Learning rate: 0.1
Stop early: 100 rounds without performance gain on validation data

Reading feature file [../data/experiment/unigram_pos_train.txt]... [Done.]            
(152 ranked lists, 7600 entries read)
Reading feature file [../data/experiment/unigram_pos_validate.txt]... [Done.]            
(75 ranked lists, 3750 entries read)
Reading feature file [../data/experiment/unigram_pos_test.txt]... [Done.]            
(77 ranked lists, 3850 entries read)
Initializing... [Done]
---------------------------------
Training starts...
---------------------------------
#iter   | NDCG@10-T | NDCG@10-V | 
---------------------------------
1       | 0.5151    | 0.5087    | 
2       | 0.515     | 0.5135    | 
3       | 0.517     | 0.5172    | 
4       | 0.5195    | 0.5193    | 
5       | 0.5187    | 0.5192    | 
6       | 0.5219    | 0.5217    | 
7       | 0.5229    | 0.5229    | 
8       | 0.5268    | 0.5261    | 
9       | 0.5287    | 0.5271    | 
10      | 0.5305    | 0.5278    | 
11      | 0.5313    | 0.5308    | 
12      | 0.5317    | 0.5327    | 
13      | 0.5322    | 0.5307    | 
14      | 0.533     | 0.5306    | 
15      | 0.5351    | 0.5328    | 
16      | 0.5361    | 0.5335    | 
17      | 0.5347    | 0.5305    | 
18      | 0.5408    | 0.5302    | 
19      | 0.5421    | 0.5306    | 
20      | 0.5424    | 0.5317    | 
21      | 0.5429    | 0.5312    | 
22      | 0.5428    | 0.5297    | 
23      | 0.5439    | 0.5288    | 
24      | 0.5454    | 0.5321    | 
25      | 0.5445    | 0.5357    | 
26      | 0.5461    | 0.5315    | 
27      | 0.5467    | 0.5319    | 
28      | 0.5519    | 0.5363    | 
29      | 0.5516    | 0.5363    | 
30      | 0.5519    | 0.5376    | 
31      | 0.551     | 0.5351    | 
32      | 0.5528    | 0.538     | 
33      | 0.5501    | 0.5397    | 
34      | 0.5517    | 0.5369    | 
35      | 0.552     | 0.5362    | 
36      | 0.5543    | 0.5394    | 
37      | 0.5552    | 0.5405    | 
38      | 0.5578    | 0.5406    | 
39      | 0.5566    | 0.5386    | 
40      | 0.5571    | 0.5414    | 
41      | 0.5582    | 0.5404    | 
42      | 0.5602    | 0.541     | 
43      | 0.5608    | 0.5389    | 
44      | 0.5612    | 0.5427    | 
45      | 0.5606    | 0.5436    | 
46      | 0.5608    | 0.545     | 
47      | 0.562     | 0.5456    | 
48      | 0.5626    | 0.5463    | 
49      | 0.5632    | 0.5471    | 
50      | 0.5631    | 0.5416    | 
51      | 0.5654    | 0.5422    | 
52      | 0.566     | 0.5413    | 
53      | 0.5658    | 0.5411    | 
54      | 0.567     | 0.5418    | 
55      | 0.5703    | 0.5408    | 
56      | 0.572     | 0.5406    | 
57      | 0.5727    | 0.5422    | 
58      | 0.5712    | 0.5404    | 
59      | 0.5725    | 0.54      | 
60      | 0.5725    | 0.5421    | 
61      | 0.5727    | 0.5401    | 
62      | 0.5738    | 0.5415    | 
63      | 0.573     | 0.5405    | 
64      | 0.5741    | 0.543     | 
65      | 0.5732    | 0.5449    | 
66      | 0.5754    | 0.5427    | 
67      | 0.5764    | 0.5447    | 
68      | 0.5768    | 0.5443    | 
69      | 0.5767    | 0.5426    | 
70      | 0.5767    | 0.5433    | 
71      | 0.5768    | 0.5423    | 
72      | 0.5786    | 0.5423    | 
73      | 0.5796    | 0.5426    | 
