java -jar RankLib-2.14.jar -train ../data/experiment/ss_train.txt -test ../data/experiment/ss_test.txt -validate ../data/experiment/ss_validate.txt -ranker 6 -metric2t NDCG@10 -metric2T NDCG@10 -save ../model/experiment/model_ss.txt

Discard orig. features
Training data:	../data/experiment/ss_train.txt
Test data:	../data/experiment/ss_test.txt
Validation data:	../data/experiment/ss_validate.txt
Feature vector representation: Dense.
Ranking method:	LambdaMART
Feature description file:	Unspecified. All features will be used.
Train metric:	NDCG@10
Test metric:	NDCG@10
Feature normalization: No
Model file: ../model/experiment/model_ss.txt

[+] LambdaMART's Parameters:
No. of trees: 1000
No. of leaves: 10
No. of threshold candidates: 256
Min leaf support: 1
Learning rate: 0.1
Stop early: 100 rounds without performance gain on validation data

Reading feature file [../data/experiment/ss_train.txt]... [Done.]            
(152 ranked lists, 7600 entries read)
Reading feature file [../data/experiment/ss_validate.txt]... [Done.]            
(75 ranked lists, 3750 entries read)
Reading feature file [../data/experiment/ss_test.txt]... [Done.]            
(77 ranked lists, 3850 entries read)
Initializing... [Done]
---------------------------------
Training starts...
---------------------------------
#iter   | NDCG@10-T | NDCG@10-V | 
---------------------------------
1       | 0.5279    | 0.5244    | 
2       | 0.5276    | 0.5304    | 
3       | 0.5276    | 0.5302    | 
4       | 0.5276    | 0.5302    | 
5       | 0.5284    | 0.5302    | 
6       | 0.5408    | 0.5359    | 
7       | 0.5468    | 0.5357    | 
8       | 0.5505    | 0.5335    | 
9       | 0.5505    | 0.5334    | 
10      | 0.5508    | 0.5347    | 
11      | 0.5553    | 0.535     | 
12      | 0.5538    | 0.537     | 
13      | 0.5552    | 0.5337    | 
14      | 0.5594    | 0.5359    | 
15      | 0.5625    | 0.5366    | 
16      | 0.5593    | 0.5373    | 
17      | 0.5593    | 0.5346    | 
18      | 0.5617    | 0.5367    | 
19      | 0.562     | 0.5384    | 
20      | 0.5643    | 0.5394    | 
21      | 0.5657    | 0.5401    | 
22      | 0.5676    | 0.5438    | 
23      | 0.5691    | 0.5465    | 
24      | 0.5727    | 0.5497    | 
25      | 0.5729    | 0.5502    | 
26      | 0.5731    | 0.5479    | 
27      | 0.5732    | 0.55      | 
28      | 0.5752    | 0.5507    | 
29      | 0.5758    | 0.5582    | 
30      | 0.5772    | 0.5579    | 
31      | 0.5799    | 0.5565    | 
32      | 0.5787    | 0.5562    | 
33      | 0.5803    | 0.5569    | 
34      | 0.5809    | 0.557     | 
35      | 0.5823    | 0.5563    | 
36      | 0.5843    | 0.5577    | 
37      | 0.586     | 0.5586    | 
38      | 0.5866    | 0.5581    | 
39      | 0.5854    | 0.5569    | 
40      | 0.5862    | 0.5571    | 
41      | 0.5874    | 0.5579    | 
42      | 0.589     | 0.5576    | 
43      | 0.5901    | 0.5578    | 
44      | 0.5901    | 0.5588    | 
45      | 0.5899    | 0.5583    | 
46      | 0.591     | 0.5603    | 
47      | 0.5911    | 0.5615    | 
48      | 0.5917    | 0.5604    | 
49      | 0.5926    | 0.5626    | 
50      | 0.594     | 0.5625    | 
51      | 0.5944    | 0.5634    | 
52      | 0.5959    | 0.566     | 
53      | 0.5978    | 0.5671    | 
54      | 0.6       | 0.5695    | 
55      | 0.6004    | 0.5711    | 
56      | 0.6013    | 0.5709    | 
57      | 0.6015    | 0.5688    | 
58      | 0.6013    | 0.5689    | 
59      | 0.6025    | 0.569     | 
60      | 0.5999    | 0.5693    | 
61      | 0.6028    | 0.5694    | 
62      | 0.6045    | 0.5696    | 
63      | 0.6047    | 0.5704    | 
64      | 0.6053    | 0.5712    | 
65      | 0.6073    | 0.5693    | 
66      | 0.6097    | 0.5688    | 
67      | 0.6116    | 0.5688    | 
68      | 0.6125    | 0.5709    | 
69      | 0.6122    | 0.5739    | 
70      | 0.6121    | 0.573     | 
71      | 0.613     | 0.5729    | 
72      | 0.6128    | 0.5709    | 
73      | 0.6134    | 0.5708    | 
74      | 0.6138    | 0.5694    | 
75      | 0.6143    | 0.5715    | 
76      | 0.6152    | 0.5715    | 
77      | 0.6143    | 0.5708    | 
78      | 0.6151    | 0.5709    | 
79      | 0.6168    | 0.5724    | 
80      | 0.6176    | 0.5729    | 
81      | 0.6182    | 0.5729    | 
82      | 0.6173    | 0.5775    | 
83      | 0.6176    | 0.5782    | 
84      | 0.6186    | 0.5753    | 
85      | 0.6173    | 0.5778    | 
86      | 0.618     | 0.58      | 
87      | 0.6179    | 0.5801    | 
88      | 0.6183    | 0.5811    | 
89      | 0.6198    | 0.577     | 
90      | 0.6194    | 0.5775    | 
91      | 0.6195    | 0.5778    | 
92      | 0.6213    | 0.5783    | 
93      | 0.6215    | 0.5782    | 
94      | 0.6228    | 0.5774    | 
95      | 0.6224    | 0.5778    | 
96      | 0.6226    | 0.5785    | 
97      | 0.6241    | 0.5784    | 
