java -jar RankLib-2.14.jar -train ../data/experiment/pos_train.txt -test ../data/experiment/pos_test.txt -validate ../data/experiment/pos_validate.txt -ranker 6 -metric2t MAP -metric2T MAP -save ../model/experiment/model_pos.txt -gmax 1

Discard orig. features
Training data:	../data/experiment/pos_train.txt
Test data:	../data/experiment/pos_test.txt
Validation data:	../data/experiment/pos_validate.txt
Feature vector representation: Dense.
Ranking method:	LambdaMART
Feature description file:	Unspecified. All features will be used.
Train metric:	MAP
Test metric:	MAP
Feature normalization: No
Model file: ../model/experiment/model_pos.txt

[+] LambdaMART's Parameters:
No. of trees: 1000
No. of leaves: 10
No. of threshold candidates: 256
Min leaf support: 1
Learning rate: 0.1
Stop early: 100 rounds without performance gain on validation data

Reading feature file [../data/experiment/pos_train.txt]... [Done.]            
(152 ranked lists, 7600 entries read)
Reading feature file [../data/experiment/pos_validate.txt]... [Done.]            
(75 ranked lists, 3750 entries read)
Reading feature file [../data/experiment/pos_test.txt]... [Done.]            
(77 ranked lists, 3850 entries read)
Initializing... [Done]
---------------------------------
Training starts...
---------------------------------
#iter   | MAP-T     | MAP-V     | 
---------------------------------
1       | 0.4341    | 0.4364    | 
2       | 0.4456    | 0.4395    | 
3       | 0.5063    | 0.4949    | 
4       | 0.5385    | 0.5283    | 
5       | 0.538     | 0.5216    | 
6       | 0.5424    | 0.5265    | 
7       | 0.5405    | 0.5163    | 
8       | 0.5428    | 0.5139    | 
9       | 0.545     | 0.5152    | 
10      | 0.5472    | 0.5224    | 
11      | 0.5474    | 0.5212    | 
12      | 0.5482    | 0.5203    | 
13      | 0.5467    | 0.5182    | 
14      | 0.5491    | 0.5197    | 
15      | 0.5612    | 0.5327    | 
16      | 0.5636    | 0.5354    | 
17      | 0.5635    | 0.5345    | 
18      | 0.5654    | 0.5316    | 
19      | 0.569     | 0.5336    | 
20      | 0.5682    | 0.5315    | 
21      | 0.5696    | 0.5338    | 
22      | 0.5708    | 0.5498    | 
23      | 0.572     | 0.5476    | 
24      | 0.5747    | 0.5487    | 
25      | 0.5768    | 0.5511    | 
26      | 0.5807    | 0.5523    | 
27      | 0.5828    | 0.5543    | 
28      | 0.5836    | 0.5585    | 
29      | 0.5849    | 0.5567    | 
30      | 0.5855    | 0.5614    | 
31      | 0.5864    | 0.5588    | 
32      | 0.5886    | 0.5614    | 
33      | 0.5926    | 0.5589    | 
34      | 0.5922    | 0.5596    | 
35      | 0.5927    | 0.5594    | 
36      | 0.5933    | 0.5645    | 
37      | 0.5948    | 0.5687    | 
38      | 0.5951    | 0.5677    | 
39      | 0.5971    | 0.5701    | 
40      | 0.596     | 0.5702    | 
41      | 0.596     | 0.5714    | 
42      | 0.5969    | 0.571     | 
43      | 0.5953    | 0.5712    | 
44      | 0.5979    | 0.5696    | 
45      | 0.5969    | 0.5684    | 
46      | 0.5972    | 0.5713    | 
47      | 0.5993    | 0.573     | 
48      | 0.597     | 0.5721    | 
49      | 0.5994    | 0.5749    | 
50      | 0.6019    | 0.573     | 
51      | 0.6006    | 0.5692    | 
52      | 0.603     | 0.57      | 
53      | 0.6019    | 0.5813    | 
54      | 0.6046    | 0.5829    | 
55      | 0.6066    | 0.5841    | 
56      | 0.6054    | 0.5842    | 
57      | 0.6061    | 0.5847    | 
58      | 0.6062    | 0.5852    | 
59      | 0.6051    | 0.5864    | 
60      | 0.604     | 0.5861    | 
61      | 0.6073    | 0.5879    | 
