java -jar RankLib-2.14.jar -train ../data/experiment/ans_train.txt -test ../data/experiment/ans_test.txt -validate ../data/experiment/ans_validate.txt -ranker 6 -metric2t NDCG@10 -metric2T NDCG@10 -save ../model/experiment/model_ans.txt

Discard orig. features
Training data:	../data/experiment/ans_train.txt
Test data:	../data/experiment/ans_test.txt
Validation data:	../data/experiment/ans_validate.txt
Feature vector representation: Dense.
Ranking method:	LambdaMART
Feature description file:	Unspecified. All features will be used.
Train metric:	NDCG@10
Test metric:	NDCG@10
Feature normalization: No
Model file: ../model/experiment/model_ans.txt

[+] LambdaMART's Parameters:
No. of trees: 1000
No. of leaves: 10
No. of threshold candidates: 256
Min leaf support: 1
Learning rate: 0.1
Stop early: 100 rounds without performance gain on validation data

Reading feature file [../data/experiment/ans_train.txt]... [Done.]            
(152 ranked lists, 7600 entries read)
Reading feature file [../data/experiment/ans_validate.txt]... [Done.]            
(75 ranked lists, 3750 entries read)
Reading feature file [../data/experiment/ans_test.txt]... [Done.]            
(77 ranked lists, 3850 entries read)
Initializing... [Done]
---------------------------------
Training starts...
---------------------------------
#iter   | NDCG@10-T | NDCG@10-V | 
---------------------------------
1       | 0.8445    | 0.812     | 
2       | 0.8877    | 0.8628    | 
3       | 0.8991    | 0.8751    | 
4       | 0.8997    | 0.8752    | 
5       | 0.8997    | 0.8752    | 
6       | 0.8998    | 0.8754    | 
7       | 0.9       | 0.8754    | 
8       | 0.9       | 0.8754    | 
9       | 0.8998    | 0.8754    | 
10      | 0.9083    | 0.8798    | 
11      | 0.9083    | 0.8798    | 
12      | 0.9085    | 0.88      | 
13      | 0.9086    | 0.88      | 
14      | 0.9133    | 0.8925    | 
15      | 0.9156    | 0.8951    | 
16      | 0.9162    | 0.8954    | 
17      | 0.9178    | 0.8983    | 
18      | 0.9187    | 0.8997    | 
19      | 0.919     | 0.8999    | 
20      | 0.9255    | 0.9037    | 
21      | 0.9263    | 0.9046    | 
22      | 0.928     | 0.9075    | 
23      | 0.9298    | 0.9083    | 
24      | 0.9304    | 0.9088    | 
25      | 0.9308    | 0.909     | 
26      | 0.9312    | 0.909     | 
27      | 0.9317    | 0.9091    | 
28      | 0.9324    | 0.9098    | 
29      | 0.9325    | 0.9101    | 
30      | 0.9327    | 0.9106    | 
31      | 0.9329    | 0.911     | 
32      | 0.933     | 0.9117    | 
33      | 0.9334    | 0.9113    | 
34      | 0.9343    | 0.9113    | 
35      | 0.9345    | 0.9117    | 
36      | 0.9345    | 0.9117    | 
37      | 0.9345    | 0.9117    | 
38      | 0.9347    | 0.9117    | 
39      | 0.9347    | 0.9117    | 
40      | 0.9347    | 0.9117    | 
41      | 0.9348    | 0.9117    | 
42      | 0.935     | 0.9117    | 
43      | 0.935     | 0.9117    | 
44      | 0.935     | 0.9117    | 
45      | 0.9352    | 0.9126    | 
46      | 0.9357    | 0.9128    | 
47      | 0.9363    | 0.9128    | 
48      | 0.9363    | 0.9129    | 
49      | 0.9363    | 0.9132    | 
50      | 0.936     | 0.9132    | 
