java -jar RankLib-2.14.jar -train ../data/experiment/before_train.txt -test ../data/experiment/before_test.txt -validate ../data/experiment/before_validate.txt -ranker 6 -metric2t NDCG@10 -metric2T NDCG@10 -save ../model/experiment/model_before.txt

Discard orig. features
Training data:	../data/experiment/before_train.txt
Test data:	../data/experiment/before_test.txt
Validation data:	../data/experiment/before_validate.txt
Feature vector representation: Dense.
Ranking method:	LambdaMART
Feature description file:	Unspecified. All features will be used.
Train metric:	NDCG@10
Test metric:	NDCG@10
Feature normalization: No
Model file: ../model/experiment/model_before.txt

[+] LambdaMART's Parameters:
No. of trees: 1000
No. of leaves: 10
No. of threshold candidates: 256
Min leaf support: 1
Learning rate: 0.1
Stop early: 100 rounds without performance gain on validation data

Reading feature file [../data/experiment/before_train.txt]... [Done.]            
(152 ranked lists, 7600 entries read)
Reading feature file [../data/experiment/before_validate.txt]... [Done.]            
(75 ranked lists, 3750 entries read)
Reading feature file [../data/experiment/before_test.txt]... [Done.]            
(77 ranked lists, 3850 entries read)
Initializing... [Done]
---------------------------------
Training starts...
---------------------------------
#iter   | NDCG@10-T | NDCG@10-V | 
---------------------------------
1       | 0.5246    | 0.5187    | 
2       | 0.5248    | 0.5244    | 
3       | 0.5251    | 0.5253    | 
4       | 0.5252    | 0.5253    | 
5       | 0.5308    | 0.5304    | 
6       | 0.5373    | 0.5377    | 
7       | 0.5411    | 0.5395    | 
8       | 0.5475    | 0.5391    | 
9       | 0.556     | 0.5408    | 
10      | 0.56      | 0.5442    | 
11      | 0.5619    | 0.546     | 
12      | 0.5648    | 0.547     | 
13      | 0.5663    | 0.5479    | 
14      | 0.5663    | 0.5478    | 
15      | 0.5662    | 0.5503    | 
16      | 0.5679    | 0.547     | 
17      | 0.5703    | 0.5458    | 
18      | 0.5715    | 0.5525    | 
19      | 0.5732    | 0.5516    | 
20      | 0.574     | 0.5529    | 
21      | 0.5723    | 0.5527    | 
22      | 0.5723    | 0.5504    | 
23      | 0.5757    | 0.5513    | 
24      | 0.5786    | 0.5552    | 
25      | 0.5788    | 0.56      | 
26      | 0.5788    | 0.5598    | 
27      | 0.5819    | 0.5589    | 
28      | 0.5824    | 0.5607    | 
29      | 0.5844    | 0.5618    | 
30      | 0.5874    | 0.5626    | 
31      | 0.5886    | 0.5603    | 
32      | 0.5893    | 0.5602    | 
33      | 0.5911    | 0.5579    | 
34      | 0.5936    | 0.5611    | 
35      | 0.5946    | 0.5612    | 
36      | 0.5932    | 0.5617    | 
37      | 0.5948    | 0.5662    | 
38      | 0.5942    | 0.5673    | 
39      | 0.5965    | 0.5694    | 
40      | 0.5962    | 0.5686    | 
41      | 0.5993    | 0.5687    | 
42      | 0.6002    | 0.5695    | 
43      | 0.6003    | 0.5672    | 
44      | 0.6017    | 0.5673    | 
45      | 0.6015    | 0.5673    | 
46      | 0.6047    | 0.5695    | 
47      | 0.6064    | 0.5704    | 
48      | 0.6067    | 0.5706    | 
49      | 0.6088    | 0.5716    | 
50      | 0.6087    | 0.5708    | 
51      | 0.6103    | 0.573     | 
52      | 0.6108    | 0.5716    | 
53      | 0.6126    | 0.574     | 
54      | 0.6132    | 0.5723    | 
55      | 0.6142    | 0.57      | 
56      | 0.6151    | 0.5726    | 
57      | 0.6149    | 0.5733    | 
58      | 0.6191    | 0.5753    | 
59      | 0.6205    | 0.5746    | 
60      | 0.6222    | 0.5752    | 
61      | 0.6219    | 0.5746    | 
62      | 0.622     | 0.5771    | 
63      | 0.6203    | 0.5762    | 
64      | 0.621     | 0.5757    | 
65      | 0.622     | 0.5785    | 
66      | 0.6236    | 0.5767    | 
67      | 0.6245    | 0.5776    | 
68      | 0.6262    | 0.5779    | 
69      | 0.6263    | 0.5787    | 
70      | 0.6245    | 0.5778    | 
71      | 0.6249    | 0.5778    | 
72      | 0.6245    | 0.5772    | 
73      | 0.6244    | 0.5765    | 
74      | 0.6255    | 0.5779    | 
75      | 0.6268    | 0.579     | 
76      | 0.6264    | 0.5789    | 
77      | 0.6272    | 0.578     | 
78      | 0.6275    | 0.5777    | 
79      | 0.6308    | 0.5795    | 
80      | 0.6299    | 0.5799    | 
81      | 0.6284    | 0.581     | 
82      | 0.6292    | 0.582     | 
83      | 0.6299    | 0.5819    | 
84      | 0.629     | 0.5825    | 
85      | 0.6302    | 0.5822    | 
86      | 0.6298    | 0.5835    | 
87      | 0.6297    | 0.5836    | 
88      | 0.6304    | 0.5839    | 
89      | 0.6307    | 0.5836    | 
90      | 0.6301    | 0.584     | 
91      | 0.6307    | 0.585     | 
92      | 0.6315    | 0.5847    | 
93      | 0.6319    | 0.5848    | 
94      | 0.6329    | 0.5872    | 
95      | 0.6332    | 0.5879    | 
96      | 0.6326    | 0.587     | 
97      | 0.6322    | 0.5854    | 
98      | 0.6337    | 0.5847    | 
99      | 0.6331    | 0.5852    | 
100     | 0.6342    | 0.5862    | 
101     | 0.6347    | 0.5874    | 
102     | 0.6362    | 0.5873    | 
103     | 0.6368    | 0.5861    | 
104     | 0.6382    | 0.5879    | 
105     | 0.6378    | 0.5889    | 
106     | 0.6398    | 0.5891    | 
107     | 0.6393    | 0.589     | 
108     | 0.6392    | 0.5892    | 
109     | 0.6409    | 0.5894    | 
110     | 0.642     | 0.5886    | 
111     | 0.6444    | 0.5894    | 
112     | 0.6455    | 0.5901    | 
113     | 0.6448    | 0.5892    | 
114     | 0.6452    | 0.5893    | 
115     | 0.6468    | 0.589     | 
116     | 0.647     | 0.589     | 
117     | 0.6478    | 0.5898    | 
118     | 0.6471    | 0.5898    | 
119     | 0.6459    | 0.5888    | 
120     | 0.6465    | 0.5892    | 
121     | 0.6464    | 0.5895    | 
122     | 0.6456    | 0.5884    | 
123     | 0.6457    | 0.5883    | 
124     | 0.6467    | 0.5879    | 
125     | 0.6467    | 0.5883    | 
126     | 0.6465    | 0.5882    | 
127     | 0.646     | 0.5879    | 
128     | 0.6472    | 0.5879    | 
129     | 0.6479    | 0.5878    | 
130     | 0.6481    | 0.5891    | 
131     | 0.6486    | 0.5909    | 
132     | 0.6493    | 0.5919    | 
133     | 0.6494    | 0.592     | 
134     | 0.6493    | 0.5911    | 
135     | 0.6524    | 0.5914    | 
136     | 0.6516    | 0.5925    | 
