java -jar RankLib-2.14.jar -train ../data/experiment/before_after_train.txt -test ../data/experiment/before_after_test.txt -validate ../data/experiment/before_after_validate.txt -ranker 6 -metric2t NDCG@10 -metric2T NDCG@10 -save ../model/experiment/model_before_after.txt

Discard orig. features
Training data:	../data/experiment/before_after_train.txt
Test data:	../data/experiment/before_after_test.txt
Validation data:	../data/experiment/before_after_validate.txt
Feature vector representation: Dense.
Ranking method:	LambdaMART
Feature description file:	Unspecified. All features will be used.
Train metric:	NDCG@10
Test metric:	NDCG@10
Feature normalization: No
Model file: ../model/experiment/model_before_after.txt

[+] LambdaMART's Parameters:
No. of trees: 1000
No. of leaves: 10
No. of threshold candidates: 256
Min leaf support: 1
Learning rate: 0.1
Stop early: 100 rounds without performance gain on validation data

Reading feature file [../data/experiment/before_after_train.txt]... [Done.]            
(152 ranked lists, 7600 entries read)
Reading feature file [../data/experiment/before_after_validate.txt]... [Done.]            
(75 ranked lists, 3750 entries read)
Reading feature file [../data/experiment/before_after_test.txt]... [Done.]            
(77 ranked lists, 3850 entries read)
Initializing... [Done]
---------------------------------
Training starts...
---------------------------------
#iter   | NDCG@10-T | NDCG@10-V | 
---------------------------------
1       | 0.5246    | 0.5187    | 
2       | 0.5268    | 0.5244    | 
3       | 0.527     | 0.5244    | 
4       | 0.527     | 0.5244    | 
5       | 0.547     | 0.5377    | 
6       | 0.5526    | 0.5385    | 
7       | 0.5653    | 0.5461    | 
8       | 0.5727    | 0.5561    | 
9       | 0.5733    | 0.5592    | 
10      | 0.5833    | 0.5615    | 
11      | 0.5855    | 0.5675    | 
12      | 0.5897    | 0.5668    | 
13      | 0.589     | 0.5681    | 
14      | 0.5899    | 0.5725    | 
15      | 0.5922    | 0.5738    | 
16      | 0.5962    | 0.5711    | 
17      | 0.5982    | 0.5729    | 
18      | 0.6021    | 0.5687    | 
19      | 0.6007    | 0.5755    | 
20      | 0.6021    | 0.5842    | 
21      | 0.6064    | 0.582     | 
22      | 0.6101    | 0.5885    | 
23      | 0.6113    | 0.5837    | 
24      | 0.6172    | 0.5861    | 
25      | 0.6176    | 0.5883    | 
26      | 0.6207    | 0.5943    | 
27      | 0.6222    | 0.592     | 
28      | 0.6233    | 0.5949    | 
29      | 0.6274    | 0.5963    | 
30      | 0.6338    | 0.596     | 
31      | 0.6338    | 0.5994    | 
32      | 0.6381    | 0.6028    | 
33      | 0.6383    | 0.6032    | 
34      | 0.6424    | 0.6065    | 
35      | 0.6444    | 0.6081    | 
36      | 0.6453    | 0.6097    | 
37      | 0.6483    | 0.6142    | 
38      | 0.6506    | 0.616     | 
39      | 0.6519    | 0.6185    | 
40      | 0.6549    | 0.618     | 
41      | 0.6569    | 0.615     | 
42      | 0.657     | 0.6176    | 
43      | 0.6572    | 0.6164    | 
44      | 0.6583    | 0.6181    | 
45      | 0.659     | 0.6169    | 
46      | 0.6605    | 0.617     | 
47      | 0.6604    | 0.6168    | 
48      | 0.6624    | 0.6185    | 
49      | 0.6624    | 0.6171    | 
50      | 0.663     | 0.6192    | 
51      | 0.6636    | 0.6186    | 
52      | 0.6637    | 0.6187    | 
53      | 0.6632    | 0.6197    | 
54      | 0.6612    | 0.6184    | 
55      | 0.6625    | 0.617     | 
56      | 0.6649    | 0.616     | 
57      | 0.666     | 0.6181    | 
58      | 0.6677    | 0.6162    | 
59      | 0.6697    | 0.6184    | 
60      | 0.6706    | 0.6184    | 
61      | 0.6715    | 0.6186    | 
62      | 0.6718    | 0.6207    | 
63      | 0.6732    | 0.6206    | 
64      | 0.6763    | 0.6216    | 
65      | 0.6773    | 0.6214    | 
66      | 0.68      | 0.6216    | 
67      | 0.6791    | 0.6246    | 
68      | 0.6791    | 0.6264    | 
69      | 0.68      | 0.6245    | 
70      | 0.6819    | 0.627     | 
71      | 0.6831    | 0.6281    | 
72      | 0.6849    | 0.6273    | 
73      | 0.6858    | 0.6281    | 
74      | 0.6859    | 0.6257    | 
75      | 0.6868    | 0.6302    | 
76      | 0.6868    | 0.6301    | 
77      | 0.6885    | 0.627     | 
78      | 0.6908    | 0.6272    | 
79      | 0.6906    | 0.6284    | 
80      | 0.6905    | 0.6291    | 
81      | 0.6927    | 0.6298    | 
82      | 0.692     | 0.6285    | 
83      | 0.6925    | 0.6294    | 
84      | 0.6928    | 0.6267    | 
85      | 0.6926    | 0.6266    | 
86      | 0.6943    | 0.6301    | 
87      | 0.6949    | 0.6306    | 
88      | 0.6964    | 0.6272    | 
89      | 0.6958    | 0.6289    | 
90      | 0.6969    | 0.6301    | 
91      | 0.6965    | 0.6305    | 
92      | 0.6983    | 0.6312    | 
93      | 0.6975    | 0.6308    | 
94      | 0.6995    | 0.6307    | 
95      | 0.7009    | 0.6291    | 
96      | 0.7026    | 0.6302    | 
97      | 0.7022    | 0.633     | 
98      | 0.7028    | 0.6327    | 
99      | 0.703     | 0.6331    | 
100     | 0.7046    | 0.6321    | 
101     | 0.7056    | 0.6318    | 
102     | 0.7058    | 0.6335    | 
103     | 0.7059    | 0.6321    | 
104     | 0.707     | 0.6323    | 
105     | 0.7066    | 0.6329    | 
106     | 0.7075    | 0.6335    | 
107     | 0.7074    | 0.634     | 
108     | 0.7082    | 0.6341    | 
109     | 0.7094    | 0.6334    | 
110     | 0.7093    | 0.6342    | 
111     | 0.7095    | 0.6336    | 
112     | 0.7093    | 0.6336    | 
113     | 0.7093    | 0.6351    | 
114     | 0.7096    | 0.6357    | 
115     | 0.7101    | 0.6366    | 
116     | 0.7114    | 0.6364    | 
117     | 0.7119    | 0.6364    | 
118     | 0.7105    | 0.6378    | 
119     | 0.7115    | 0.6378    | 
120     | 0.7121    | 0.6383    | 
121     | 0.7138    | 0.6383    | 
122     | 0.7136    | 0.6378    | 
123     | 0.7135    | 0.6377    | 
124     | 0.7151    | 0.6385    | 
125     | 0.7161    | 0.6377    | 
126     | 0.7186    | 0.6347    | 
127     | 0.7183    | 0.6361    | 
128     | 0.7176    | 0.6374    | 
129     | 0.7183    | 0.6422    | 
130     | 0.7191    | 0.6425    | 
131     | 0.7216    | 0.6418    | 
132     | 0.7212    | 0.6425    | 
133     | 0.722     | 0.6427    | 
134     | 0.7222    | 0.6421    | 
135     | 0.7223    | 0.6422    | 
136     | 0.7222    | 0.6435    | 
137     | 0.7226    | 0.6406    | 
138     | 0.7225    | 0.6401    | 
139     | 0.7224    | 0.6407    | 
140     | 0.7227    | 0.6398    | 
141     | 0.7227    | 0.64      | 
142     | 0.7242    | 0.6404    | 
143     | 0.726     | 0.642     | 
144     | 0.7268    | 0.6422    | 
145     | 0.7252    | 0.6436    | 
146     | 0.7277    | 0.645     | 
