java -jar RankLib-2.14.jar -train ../data/experiment/before_last_after_first_train.txt -test ../data/experiment/before_last_after_first_test.txt -validate ../data/experiment/before_last_after_first_validate.txt -ranker 6 -metric2t NDCG@10 -metric2T NDCG@10 -save ../model/experiment/model_before_last_after_first.txt


Discard orig. features
Training data:	../data/experiment/before_last_after_first_train.txt
Test data:	../data/experiment/before_last_after_first_test.txt
Validation data:	../data/experiment/before_last_after_first_validate.txt
Feature vector representation: Dense.
Ranking method:	LambdaMART
Feature description file:	Unspecified. All features will be used.
Train metric:	NDCG@10
Test metric:	NDCG@10
Feature normalization: No
Model file: ../model/experiment/model_before_last_after_first.txt

[+] LambdaMART's Parameters:
No. of trees: 1000
No. of leaves: 10
No. of threshold candidates: 256
Min leaf support: 1
Learning rate: 0.1
Stop early: 100 rounds without performance gain on validation data

Reading feature file [../data/experiment/before_last_after_first_train.txt]... [Done.]            
(152 ranked lists, 7600 entries read)
Reading feature file [../data/experiment/before_last_after_first_validate.txt]... [Done.]            
(75 ranked lists, 3750 entries read)
Reading feature file [../data/experiment/before_last_after_first_test.txt]... [Done.]            
(77 ranked lists, 3850 entries read)
Initializing... [Done]
---------------------------------
Training starts...
---------------------------------
#iter   | NDCG@10-T | NDCG@10-V | 
---------------------------------
1       | 0.524     | 0.524     | 
2       | 0.5265    | 0.5255    | 
3       | 0.5259    | 0.5207    | 
4       | 0.5234    | 0.5213    | 
5       | 0.5307    | 0.5272    | 
6       | 0.5416    | 0.5386    | 
7       | 0.5476    | 0.5347    | 
8       | 0.5519    | 0.5389    | 
9       | 0.5542    | 0.5395    | 
10      | 0.556     | 0.5395    | 
11      | 0.5586    | 0.5407    | 
12      | 0.5581    | 0.5412    | 
13      | 0.5627    | 0.5387    | 
14      | 0.5625    | 0.5402    | 
15      | 0.5625    | 0.5381    | 
16      | 0.5643    | 0.5421    | 
17      | 0.5627    | 0.5456    | 
18      | 0.563     | 0.5484    | 
19      | 0.5677    | 0.5489    | 
20      | 0.5696    | 0.5528    | 
21      | 0.5714    | 0.5543    | 
22      | 0.5746    | 0.5573    | 
23      | 0.5747    | 0.5577    | 
24      | 0.5781    | 0.5597    | 
25      | 0.5801    | 0.5628    | 
26      | 0.5813    | 0.5636    | 
27      | 0.5809    | 0.5604    | 
28      | 0.5813    | 0.5636    | 
29      | 0.5811    | 0.5643    | 
30      | 0.5827    | 0.5652    | 
31      | 0.5842    | 0.566     | 
32      | 0.583     | 0.5634    | 
33      | 0.5839    | 0.5639    | 
34      | 0.5839    | 0.5649    | 
35      | 0.5842    | 0.5647    | 
36      | 0.5849    | 0.5674    | 
37      | 0.5854    | 0.5663    | 
38      | 0.584     | 0.5664    | 
39      | 0.585     | 0.5665    | 
40      | 0.5872    | 0.565     | 
41      | 0.5877    | 0.5637    | 
42      | 0.5889    | 0.565     | 
43      | 0.5894    | 0.564     | 
44      | 0.5889    | 0.5656    | 
45      | 0.5902    | 0.5645    | 
46      | 0.5903    | 0.5652    | 
47      | 0.5908    | 0.5612    | 
48      | 0.5904    | 0.561     | 
49      | 0.5902    | 0.5612    | 
50      | 0.5924    | 0.5628    | 
51      | 0.5924    | 0.5615    | 
52      | 0.5928    | 0.5621    | 
53      | 0.5934    | 0.5608    | 
54      | 0.5941    | 0.5619    | 
55      | 0.5939    | 0.5613    | 
56      | 0.5929    | 0.5608    | 
57      | 0.5923    | 0.5618    | 
58      | 0.5924    | 0.5621    | 
59      | 0.5939    | 0.561     | 
60      | 0.5952    | 0.561     | 
61      | 0.5964    | 0.5653    | 
62      | 0.5956    | 0.5654    | 
63      | 0.596     | 0.5658    | 
64      | 0.5939    | 0.5653    | 
65      | 0.5926    | 0.5638    | 
66      | 0.5948    | 0.5629    | 
67      | 0.5946    | 0.5633    | 
68      | 0.5937    | 0.562     | 
69      | 0.5944    | 0.5605    | 
70      | 0.5962    | 0.5645    | 
71      | 0.5946    | 0.5615    | 
72      | 0.5939    | 0.5645    | 
73      | 0.5938    | 0.5645    | 
74      | 0.596     | 0.5681    | 
75      | 0.5953    | 0.5648    | 
76      | 0.5961    | 0.5658    | 
77      | 0.5959    | 0.5658    | 
78      | 0.596     | 0.5647    | 
79      | 0.5954    | 0.5669    | 
80      | 0.5951    | 0.5646    | 
81      | 0.5985    | 0.5682    | 
82      | 0.5982    | 0.5683    | 
83      | 0.5995    | 0.5683    | 
84      | 0.5992    | 0.5674    | 
85      | 0.5991    | 0.5659    | 
86      | 0.5998    | 0.566     | 
87      | 0.5997    | 0.5657    | 
88      | 0.6001    | 0.5651    | 
89      | 0.6008    | 0.5653    | 
90      | 0.5992    | 0.5641    | 
91      | 0.5991    | 0.5647    | 
92      | 0.5976    | 0.5634    | 
93      | 0.5974    | 0.5636    | 
94      | 0.5974    | 0.5628    | 
95      | 0.5976    | 0.5633    | 
96      | 0.5981    | 0.5641    | 
97      | 0.5977    | 0.5631    | 
98      | 0.5983    | 0.5642    | 
99      | 0.5993    | 0.5653    | 
100     | 0.5991    | 0.5651    | 
101     | 0.5999    | 0.5648    | 
102     | 0.5998    | 0.5651    | 
103     | 0.5994    | 0.5654    | 
104     | 0.6       | 0.5652    | 
105     | 0.6019    | 0.5654    | 
106     | 0.6015    | 0.5654    | 
107     | 0.601     | 0.5654    | 
108     | 0.6019    | 0.5653    | 
109     | 0.6011    | 0.5654    | 
110     | 0.6009    | 0.5652    | 
111     | 0.6008    | 0.5652    | 
112     | 0.6021    | 0.5653    | 
113     | 0.6032    | 0.5669    | 
114     | 0.6031    | 0.5678    | 
115     | 0.6019    | 0.5667    | 
116     | 0.6022    | 0.567     | 
117     | 0.6018    | 0.5672    | 
118     | 0.6029    | 0.5686    | 
119     | 0.602     | 0.5675    | 
120     | 0.6025    | 0.5679    | 
121     | 0.6032    | 0.5682    | 
122     | 0.6028    | 0.5672    | 
123     | 0.6029    | 0.5672    | 
124     | 0.602     | 0.565     | 
