java -jar RankLib-2.14.jar -train ../data/experiment/ss_ans_train.txt -test ../data/experiment/ss_ans_test.txt -validate ../data/experiment/ss_ans_validate.txt -ranker 6 -metric2t NDCG@10 -metric2T NDCG@10 -save ../model/experiment/model_ss_ans.txt

Discard orig. features
Training data:	../data/experiment/ss_ans_train.txt
Test data:	../data/experiment/ss_ans_test.txt
Validation data:	../data/experiment/ss_ans_validate.txt
Feature vector representation: Dense.
Ranking method:	LambdaMART
Feature description file:	Unspecified. All features will be used.
Train metric:	NDCG@10
Test metric:	NDCG@10
Feature normalization: No
Model file: ../model/experiment/model_ss_ans.txt

[+] LambdaMART's Parameters:
No. of trees: 1000
No. of leaves: 10
No. of threshold candidates: 256
Min leaf support: 1
Learning rate: 0.1
Stop early: 100 rounds without performance gain on validation data

Reading feature file [../data/experiment/ss_ans_train.txt]... [Done.]            
(152 ranked lists, 7600 entries read)
Reading feature file [../data/experiment/ss_ans_validate.txt]... [Done.]            
(75 ranked lists, 3750 entries read)
Reading feature file [../data/experiment/ss_ans_test.txt]... [Done.]            
(77 ranked lists, 3850 entries read)
Initializing... [Done]
---------------------------------
Training starts...
---------------------------------
#iter   | NDCG@10-T | NDCG@10-V | 
---------------------------------
1       | 0.8445    | 0.812     | 
2       | 0.8877    | 0.8628    | 
3       | 0.8991    | 0.8751    | 
4       | 0.8997    | 0.8752    | 
5       | 0.8997    | 0.8752    | 
6       | 0.9       | 0.8757    | 
7       | 0.9003    | 0.8757    | 
8       | 0.9003    | 0.8757    | 
9       | 0.9086    | 0.8801    | 
10      | 0.9086    | 0.8801    | 
11      | 0.9086    | 0.8801    | 
12      | 0.9086    | 0.8801    | 
13      | 0.9088    | 0.8804    | 
14      | 0.9088    | 0.8804    | 
15      | 0.9161    | 0.8957    | 
16      | 0.9192    | 0.9007    | 
17      | 0.9198    | 0.901     | 
18      | 0.9199    | 0.901     | 
19      | 0.9199    | 0.901     | 
20      | 0.9274    | 0.9047    | 
21      | 0.9299    | 0.9073    | 
22      | 0.9302    | 0.908     | 
23      | 0.9305    | 0.9085    | 
24      | 0.9309    | 0.9085    | 
25      | 0.9314    | 0.909     | 
26      | 0.9329    | 0.9112    | 
27      | 0.933     | 0.9112    | 
28      | 0.9336    | 0.9116    | 
29      | 0.9339    | 0.9116    | 
30      | 0.9339    | 0.9117    | 
31      | 0.9341    | 0.9119    | 
32      | 0.9341    | 0.9119    | 
33      | 0.9342    | 0.9116    | 
34      | 0.9343    | 0.9118    | 
35      | 0.9358    | 0.9122    | 
36      | 0.9359    | 0.9122    | 
37      | 0.9359    | 0.9122    | 
38      | 0.9359    | 0.912     | 
39      | 0.9364    | 0.912     | 
40      | 0.9369    | 0.9128    | 
41      | 0.9379    | 0.914     | 
42      | 0.9387    | 0.9134    | 
43      | 0.9392    | 0.9147    | 
44      | 0.9397    | 0.9147    | 
45      | 0.94      | 0.9147    | 
46      | 0.9403    | 0.9148    | 
47      | 0.94      | 0.9152    | 
48      | 0.94      | 0.9149    | 
