java -jar RankLib-2.14.jar -train ../data/experiment/model1_train.txt -test ../data/experiment/model1_test.txt -validate ../data/experiment/model1_validate.txt -ranker 6 -metric2t MAP -metric2T MAP -save ../model/experiment/model1.txt -gmax 1

Discard orig. features
Training data:	../data/experiment/model1_train.txt
Test data:	../data/experiment/model1_test.txt
Validation data:	../data/experiment/model1_validate.txt
Feature vector representation: Dense.
Ranking method:	LambdaMART
Feature description file:	Unspecified. All features will be used.
Train metric:	MAP
Test metric:	MAP
Feature normalization: No
Model file: ../model/experiment/model1.txt

[+] LambdaMART's Parameters:
No. of trees: 1000
No. of leaves: 10
No. of threshold candidates: 256
Min leaf support: 1
Learning rate: 0.1
Stop early: 100 rounds without performance gain on validation data

Reading feature file [../data/experiment/model1_train.txt]... [Done.]            
(152 ranked lists, 7600 entries read)
Reading feature file [../data/experiment/model1_validate.txt]... [Done.]            
(75 ranked lists, 3750 entries read)
Reading feature file [../data/experiment/model1_test.txt]... [Done.]            
(77 ranked lists, 3850 entries read)
Initializing... [Done]
---------------------------------
Training starts...
---------------------------------
#iter   | MAP-T     | MAP-V     | 
---------------------------------
1       | 0.4262    | 0.4343    | 
2       | 0.7336    | 0.745     | 
3       | 0.7346    | 0.745     | 
4       | 0.7346    | 0.745     | 
5       | 0.7603    | 0.7754    | 
6       | 0.7894    | 0.8033    | 
7       | 0.8144    | 0.8252    | 
8       | 0.8181    | 0.8247    | 
9       | 0.8161    | 0.8217    | 
10      | 0.818     | 0.825     | 
11      | 0.8227    | 0.8273    | 
12      | 0.8238    | 0.828     | 
13      | 0.8237    | 0.828     | 
14      | 0.8615    | 0.8664    | 
15      | 0.8687    | 0.8629    | 
16      | 0.8724    | 0.8686    | 
17      | 0.8661    | 0.8633    | 
18      | 0.8654    | 0.8653    | 
19      | 0.8672    | 0.8683    | 
20      | 0.8747    | 0.8762    | 
21      | 0.8759    | 0.8767    | 
22      | 0.8777    | 0.877     | 
23      | 0.8781    | 0.877     | 
24      | 0.8799    | 0.8777    | 
25      | 0.8796    | 0.8767    | 
26      | 0.8797    | 0.877     | 
27      | 0.8789    | 0.877     | 
28      | 0.8795    | 0.8781    | 
29      | 0.8826    | 0.8799    | 
30      | 0.8852    | 0.8813    | 
31      | 0.8879    | 0.8827    | 
32      | 0.8868    | 0.8832    | 
33      | 0.8864    | 0.883     | 
34      | 0.8862    | 0.8845    | 
35      | 0.8865    | 0.889     | 
36      | 0.8876    | 0.8895    | 
37      | 0.891     | 0.8947    | 
38      | 0.8945    | 0.8963    | 
39      | 0.8956    | 0.8985    | 
40      | 0.8969    | 0.9069    | 
41      | 0.8988    | 0.909     | 
42      | 0.9006    | 0.9111    | 
43      | 0.9015    | 0.9112    | 
44      | 0.9015    | 0.9111    | 
45      | 0.9011    | 0.9112    | 
46      | 0.8955    | 0.9003    | 
47      | 0.8957    | 0.9006    | 
48      | 0.8966    | 0.9023    | 
49      | 0.8971    | 0.903     | 
50      | 0.8974    | 0.9041    | 
51      | 0.8979    | 0.9046    | 
52      | 0.8982    | 0.9046    | 
53      | 0.8982    | 0.9048    | 
54      | 0.8985    | 0.905     | 
55      | 0.899     | 0.905     | 
56      | 0.8999    | 0.9045    | 
57      | 0.8999    | 0.9044    | 
58      | 0.9       | 0.9045    | 
59      | 0.9       | 0.9044    | 
60      | 0.9001    | 0.9049    | 
61      | 0.9105    | 0.9198    | 
62      | 0.9104    | 0.9198    | 
63      | 0.9104    | 0.9198    | 
64      | 0.9104    | 0.9198    | 
65      | 0.9103    | 0.9198    | 
66      | 0.9103    | 0.9201    | 
67      | 0.9103    | 0.9201    | 
68      | 0.9105    | 0.9201    | 
69      | 0.9105    | 0.9201    | 
70      | 0.9105    | 0.9201    | 
71      | 0.9105    | 0.9201    | 
72      | 0.9105    | 0.9201    | 
73      | 0.9105    | 0.9201    | 
74      | 0.9105    | 0.9201    | 
75      | 0.9105    | 0.9201    | 
76      | 0.9105    | 0.9201    | 
77      | 0.9105    | 0.9201    | 
78      | 0.9105    | 0.9201    | 
79      | 0.9105    | 0.9201    | 
80      | 0.9105    | 0.9178    | 
81      | 0.9105    | 0.9178    | 
82      | 0.9105    | 0.9178    | 
83      | 0.9105    | 0.9178    | 
84      | 0.9105    | 0.9178    | 
85      | 0.9104    | 0.9178    | 
86      | 0.9104    | 0.9178    | 
87      | 0.9104    | 0.9178    | 
88      | 0.9103    | 0.9178    | 
89      | 0.9103    | 0.9178    | 
90      | 0.9119    | 0.9188    | 
91      | 0.9119    | 0.9188    | 
92      | 0.9109    | 0.9182    | 
93      | 0.9109    | 0.9182    | 
94      | 0.9109    | 0.9174    | 
95      | 0.9135    | 0.9193    | 
96      | 0.9135    | 0.9193    | 
97      | 0.9135    | 0.9193    | 
98      | 0.9135    | 0.9193    | 
99      | 0.9135    | 0.9193    | 
100     | 0.9135    | 0.9193    | 
101     | 0.9135    | 0.9193    | 
102     | 0.9134    | 0.9193    | 
103     | 0.9134    | 0.9193    | 
104     | 0.9134    | 0.9193    | 
105     | 0.9134    | 0.9193    | 
106     | 0.9131    | 0.9175    | 
107     | 0.9131    | 0.9175    | 
108     | 0.9131    | 0.9175    | 
109     | 0.9131    | 0.9175    | 
110     | 0.9131    | 0.9175    | 
111     | 0.9131    | 0.9175    | 
112     | 0.9131    | 0.9175    | 
113     | 0.9131    | 0.9175    | 
114     | 0.9131    | 0.9175    | 
115     | 0.9146    | 0.9188    | 
116     | 0.9139    | 0.9183    | 
117     | 0.9139    | 0.9182    | 
118     | 0.9139    | 0.9182    | 
119     | 0.9149    | 0.9189    | 
120     | 0.9147    | 0.9189    | 
121     | 0.9141    | 0.9185    | 
122     | 0.9141    | 0.9184    | 
123     | 0.9141    | 0.9184    | 
124     | 0.9142    | 0.9184    | 
125     | 0.9143    | 0.9181    | 
126     | 0.9143    | 0.9181    | 
127     | 0.9143    | 0.9181    | 
128     | 0.9143    | 0.9189    | 
129     | 0.9146    | 0.9196    | 
130     | 0.9144    | 0.9196    | 
131     | 0.9141    | 0.9187    | 
132     | 0.9141    | 0.9187    | 
133     | 0.9141    | 0.9187    | 
134     | 0.9143    | 0.92      | 
135     | 0.9145    | 0.9202    | 
136     | 0.9145    | 0.9202    | 
137     | 0.9139    | 0.9196    | 
138     | 0.9139    | 0.9196    | 
139     | 0.9139    | 0.9196    | 
140     | 0.9139    | 0.9196    | 
141     | 0.9139    | 0.9196    | 
142     | 0.9139    | 0.9196    | 
143     | 0.9143    | 0.9196    | 
144     | 0.9141    | 0.9198    | 
145     | 0.9137    | 0.9194    | 
146     | 0.913     | 0.9186    | 
147     | 0.913     | 0.9193    | 
148     | 0.913     | 0.9193    | 
149     | 0.913     | 0.9193    | 
150     | 0.913     | 0.9193    | 
151     | 0.913     | 0.9193    | 
152     | 0.913     | 0.9193    | 
153     | 0.913     | 0.9193    | 
154     | 0.913     | 0.9193    | 
155     | 0.913     | 0.9215    | 
156     | 0.913     | 0.9215    | 
157     | 0.913     | 0.9215    | 
158     | 0.913     | 0.9215    | 
159     | 0.913     | 0.9215    | 
160     | 0.913     | 0.9215    | 
161     | 0.913     | 0.9215    | 
162     | 0.913     | 0.9215    | 
163     | 0.913     | 0.9215    | 
164     | 0.913     | 0.9215    | 
165     | 0.913     | 0.9215    | 
166     | 0.913     | 0.9215    | 
167     | 0.913     | 0.9215    | 
168     | 0.913     | 0.9215    | 
169     | 0.913     | 0.9215    | 
170     | 0.913     | 0.9215    | 
171     | 0.913     | 0.9215    | 
172     | 0.913     | 0.9215    | 
173     | 0.913     | 0.9215    | 
174     | 0.913     | 0.9215    | 
175     | 0.913     | 0.9215    | 
176     | 0.913     | 0.9215    | 
177     | 0.913     | 0.9215    | 
178     | 0.913     | 0.9215    | 
179     | 0.913     | 0.9215    | 
180     | 0.913     | 0.9215    | 
181     | 0.913     | 0.9215    | 
182     | 0.913     | 0.9215    | 
183     | 0.913     | 0.9215    | 
184     | 0.913     | 0.9215    | 
185     | 0.913     | 0.9215    | 
186     | 0.913     | 0.9215    | 
187     | 0.913     | 0.9215    | 
188     | 0.913     | 0.9215    | 
189     | 0.913     | 0.9215    | 
190     | 0.913     | 0.9215    | 
191     | 0.913     | 0.9215    | 
192     | 0.913     | 0.9215    | 
193     | 0.913     | 0.9215    | 
194     | 0.913     | 0.9215    | 
195     | 0.913     | 0.9215    | 
196     | 0.913     | 0.9215    | 
197     | 0.913     | 0.9215    | 
198     | 0.913     | 0.9215    | 
199     | 0.913     | 0.9215    | 
200     | 0.913     | 0.9215    | 
201     | 0.913     | 0.9215    | 
202     | 0.913     | 0.9215    | 
203     | 0.913     | 0.9215    | 
204     | 0.913     | 0.9215    | 
205     | 0.913     | 0.9215    | 
206     | 0.913     | 0.9215    | 
207     | 0.913     | 0.9215    | 
208     | 0.913     | 0.9215    | 
209     | 0.913     | 0.9215    | 
210     | 0.913     | 0.9215    | 
211     | 0.913     | 0.9215    | 
212     | 0.913     | 0.9215    | 
213     | 0.913     | 0.9215    | 
214     | 0.913     | 0.9215    | 
215     | 0.913     | 0.9215    | 
216     | 0.913     | 0.9215    | 
217     | 0.913     | 0.9215    | 
218     | 0.913     | 0.9215    | 
219     | 0.913     | 0.9215    | 
220     | 0.913     | 0.9215    | 
221     | 0.913     | 0.9215    | 
222     | 0.913     | 0.9215    | 
223     | 0.913     | 0.9215    | 
224     | 0.913     | 0.9215    | 
225     | 0.913     | 0.9215    | 
226     | 0.913     | 0.9215    | 
227     | 0.913     | 0.9215    | 
228     | 0.913     | 0.9215    | 
229     | 0.913     | 0.9215    | 
230     | 0.913     | 0.9215    | 
231     | 0.913     | 0.9215    | 
232     | 0.913     | 0.9215    | 
233     | 0.913     | 0.9215    | 
234     | 0.913     | 0.9215    | 
235     | 0.913     | 0.9215    | 
236     | 0.913     | 0.9215    | 
237     | 0.913     | 0.9215    | 
238     | 0.913     | 0.9215    | 
239     | 0.913     | 0.9215    | 
240     | 0.913     | 0.9215    | 
241     | 0.913     | 0.9215    | 
242     | 0.913     | 0.9215    | 
243     | 0.913     | 0.9215    | 
244     | 0.913     | 0.9215    | 
245     | 0.913     | 0.9215    | 
246     | 0.913     | 0.9215    | 
247     | 0.913     | 0.9215    | 
248     | 0.913     | 0.9215    | 
249     | 0.913     | 0.9215    | 
250     | 0.913     | 0.9215    | 
251     | 0.913     | 0.9215    | 
252     | 0.913     | 0.9215    | 
253     | 0.913     | 0.9215    | 
254     | 0.913     | 0.9215    | 
255     | 0.913     | 0.9215    | 
256     | 0.913     | 0.9215    | 
---------------------------------
Finished sucessfully.
MAP on training data: 0.913
MAP on validation data: 0.9215
---------------------------------
MAP on test data: 0.8549

Model saved to: ../model/experiment/model1.txt
