NOTE
Two test results are shown here, for two different metrics during training:
1. NDCG@10 (result: 0.9710)
2. ERR@10 (result: 0.9674) (RankLib's default metric)



java -jar RankLib-2.14.jar -train ../data/final/model2_train.txt -test ../data/final/model2_test.txt -validate ../data/final/model2_validate.txt -ranker 6 -metric2t NDCG@10 -metric2T NDCG@10 -save ../model/final/model2.txt 

Discard orig. features
Training data:	../data/training/model2_train.txt
Test data:	../data/training/model2_test.txt
Validation data:	../data/training/model2_validate.txt
Feature vector representation: Dense.
Ranking method:	LambdaMART
Feature description file:	Unspecified. All features will be used.
Train metric:	NDCG@10
Test metric:	NDCG@10
Feature normalization: No
Model file: ../model/final/model2.txt

[+] LambdaMART's Parameters:
No. of trees: 1000
No. of leaves: 10
No. of threshold candidates: 256
Min leaf support: 1
Learning rate: 0.1
Stop early: 100 rounds without performance gain on validation data

Reading feature file [../data/training/model2_train.txt]... [Done.]            
(152 ranked lists, 7600 entries read)
Reading feature file [../data/training/model2_validate.txt]... [Done.]            
(75 ranked lists, 3750 entries read)
Reading feature file [../data/training/model2_test.txt]... [Done.]            
(77 ranked lists, 3850 entries read)
Initializing... [Done]
---------------------------------
Training starts...
---------------------------------
#iter   | NDCG@10-T | NDCG@10-V | 
---------------------------------
1       | 0.8445    | 0.812     | 
2       | 0.8857    | 0.8587    | 
3       | 0.8988    | 0.8751    | 
4       | 0.8992    | 0.8752    | 
5       | 0.8992    | 0.8752    | 
6       | 0.8993    | 0.8754    | 
7       | 0.8995    | 0.8754    | 
8       | 0.8995    | 0.8757    | 
9       | 0.907     | 0.8797    | 
10      | 0.908     | 0.8808    | 
11      | 0.9091    | 0.8821    | 
12      | 0.9091    | 0.8821    | 
13      | 0.9091    | 0.8821    | 
14      | 0.9091    | 0.8821    | 
15      | 0.9095    | 0.8831    | 
16      | 0.9144    | 0.8945    | 
17      | 0.915     | 0.8945    | 
18      | 0.917     | 0.8971    | 
19      | 0.9181    | 0.8984    | 
20      | 0.9256    | 0.9047    | 
21      | 0.927     | 0.9056    | 
22      | 0.9277    | 0.9055    | 
23      | 0.9307    | 0.9101    | 
24      | 0.9317    | 0.9111    | 
25      | 0.9323    | 0.9116    | 
26      | 0.9328    | 0.9116    | 
27      | 0.9333    | 0.9119    | 
28      | 0.934     | 0.9122    | 
29      | 0.9341    | 0.9122    | 
30      | 0.9341    | 0.9122    | 
31      | 0.9338    | 0.9121    | 
32      | 0.9348    | 0.9121    | 
33      | 0.9352    | 0.9126    | 
34      | 0.9359    | 0.9122    | 
35      | 0.9359    | 0.9122    | 
36      | 0.9353    | 0.9122    | 
37      | 0.9353    | 0.9122    | 
38      | 0.9362    | 0.9118    | 
39      | 0.9363    | 0.912     | 
40      | 0.9368    | 0.9125    | 
41      | 0.9371    | 0.913     | 
42      | 0.938     | 0.9136    | 
43      | 0.9383    | 0.914     | 
44      | 0.9388    | 0.9145    | 
45      | 0.9405    | 0.9142    | 
46      | 0.9407    | 0.9143    | 
47      | 0.9409    | 0.9149    | 
48      | 0.9415    | 0.9159    | 
49      | 0.9422    | 0.916     | 
50      | 0.9422    | 0.916     | 
51      | 0.9423    | 0.916     | 
52      | 0.9424    | 0.9168    | 
53      | 0.9431    | 0.9161    | 
54      | 0.9432    | 0.9171    | 
55      | 0.9432    | 0.9171    | 
56      | 0.9427    | 0.9166    | 
57      | 0.9424    | 0.9171    | 
58      | 0.9425    | 0.9172    | 
59      | 0.9425    | 0.9167    | 
60      | 0.9427    | 0.9167    | 
61      | 0.9427    | 0.9167    | 
62      | 0.9431    | 0.9167    | 
63      | 0.9431    | 0.9164    | 
64      | 0.943     | 0.9164    | 
65      | 0.9434    | 0.9181    | 
66      | 0.9434    | 0.9173    | 
67      | 0.9435    | 0.9171    | 
68      | 0.9439    | 0.9163    | 
69      | 0.9443    | 0.9161    | 
70      | 0.9441    | 0.9161    | 
71      | 0.9447    | 0.9161    | 
72      | 0.9439    | 0.916     | 
73      | 0.944     | 0.9159    | 
74      | 0.9449    | 0.916     | 
75      | 0.9453    | 0.9159    | 
76      | 0.9456    | 0.9165    | 
77      | 0.9454    | 0.9165    | 
78      | 0.9454    | 0.9164    | 
79      | 0.9458    | 0.9169    | 
80      | 0.9454    | 0.9169    | 
81      | 0.9456    | 0.9169    | 
82      | 0.9459    | 0.9169    | 
83      | 0.9455    | 0.9169    | 
84      | 0.9463    | 0.9169    | 
85      | 0.9471    | 0.9169    | 
86      | 0.9474    | 0.9169    | 
87      | 0.9469    | 0.917     | 
88      | 0.9472    | 0.917     | 
89      | 0.9473    | 0.917     | 
90      | 0.9472    | 0.9175    | 
91      | 0.9473    | 0.9175    | 
92      | 0.9478    | 0.9175    | 
93      | 0.9483    | 0.9175    | 
94      | 0.9485    | 0.918     | 
95      | 0.9482    | 0.9183    | 
96      | 0.9481    | 0.9183    | 
97      | 0.9487    | 0.9187    | 
98      | 0.9488    | 0.9187    | 
99      | 0.9488    | 0.9183    | 
100     | 0.9489    | 0.9178    | 
101     | 0.9492    | 0.9187    | 
102     | 0.9487    | 0.9196    | 
103     | 0.9487    | 0.9196    | 
104     | 0.9492    | 0.9196    | 
105     | 0.949     | 0.9196    | 
106     | 0.9495    | 0.9191    | 
107     | 0.9491    | 0.9196    | 
108     | 0.9496    | 0.9196    | 
109     | 0.95      | 0.9196    | 
110     | 0.9497    | 0.9196    | 
111     | 0.95      | 0.9196    | 
112     | 0.9501    | 0.9196    | 
113     | 0.9505    | 0.9197    | 
114     | 0.9506    | 0.9197    | 
115     | 0.9506    | 0.9197    | 
116     | 0.9504    | 0.9197    | 
117     | 0.9504    | 0.9197    | 
118     | 0.9504    | 0.9197    | 
119     | 0.9503    | 0.9193    | 
120     | 0.9507    | 0.9193    | 
121     | 0.9508    | 0.9193    | 
122     | 0.9508    | 0.9198    | 
123     | 0.9508    | 0.9199    | 
124     | 0.9513    | 0.92      | 
125     | 0.9511    | 0.9199    | 
126     | 0.9516    | 0.9204    | 
127     | 0.9516    | 0.9205    | 
128     | 0.9517    | 0.9205    | 
129     | 0.9521    | 0.9205    | 
130     | 0.9521    | 0.9205    | 
131     | 0.9521    | 0.9205    | 
132     | 0.9521    | 0.9205    | 
133     | 0.9521    | 0.9205    | 
134     | 0.9522    | 0.9205    | 
135     | 0.9522    | 0.9206    | 
136     | 0.9522    | 0.9206    | 
137     | 0.9523    | 0.9206    | 
138     | 0.9523    | 0.9206    | 
139     | 0.9523    | 0.9206    | 
140     | 0.9523    | 0.9206    | 
141     | 0.9523    | 0.9207    | 
142     | 0.9523    | 0.9206    | 
143     | 0.9525    | 0.9206    | 
144     | 0.9525    | 0.9207    | 
145     | 0.9525    | 0.9207    | 
146     | 0.9526    | 0.9207    | 
147     | 0.9526    | 0.9207    | 
148     | 0.9526    | 0.9208    | 
149     | 0.9527    | 0.9208    | 
150     | 0.9527    | 0.9208    | 
151     | 0.9527    | 0.9216    | 
152     | 0.9527    | 0.9216    | 
153     | 0.9527    | 0.9216    | 
154     | 0.9527    | 0.9216    | 
155     | 0.9527    | 0.9221    | 
156     | 0.9527    | 0.922     | 
157     | 0.9527    | 0.922     | 
158     | 0.9528    | 0.9222    | 
159     | 0.9528    | 0.9222    | 
160     | 0.9526    | 0.9222    | 
161     | 0.9528    | 0.9222    | 
162     | 0.9528    | 0.9222    | 
163     | 0.9528    | 0.9222    | 
164     | 0.9528    | 0.9222    | 
165     | 0.9528    | 0.9222    | 
166     | 0.9528    | 0.9222    | 
167     | 0.9528    | 0.9223    | 
168     | 0.9528    | 0.9222    | 
169     | 0.9528    | 0.9222    | 
170     | 0.9528    | 0.9223    | 
171     | 0.9528    | 0.9223    | 
172     | 0.953     | 0.9223    | 
173     | 0.953     | 0.9223    | 
174     | 0.953     | 0.9223    | 
175     | 0.953     | 0.9223    | 
176     | 0.953     | 0.9223    | 
177     | 0.953     | 0.9223    | 
178     | 0.953     | 0.9223    | 
179     | 0.953     | 0.9223    | 
180     | 0.953     | 0.9224    | 
181     | 0.953     | 0.9224    | 
182     | 0.953     | 0.9223    | 
183     | 0.953     | 0.9223    | 
184     | 0.953     | 0.9223    | 
185     | 0.953     | 0.9223    | 
186     | 0.953     | 0.9224    | 
187     | 0.953     | 0.9224    | 
188     | 0.953     | 0.9224    | 
189     | 0.953     | 0.9224    | 
190     | 0.953     | 0.9224    | 
191     | 0.953     | 0.9224    | 
192     | 0.953     | 0.9227    | 
193     | 0.953     | 0.9227    | 
194     | 0.953     | 0.9224    | 
195     | 0.953     | 0.9232    | 
196     | 0.953     | 0.9232    | 
197     | 0.953     | 0.9235    | 
198     | 0.9531    | 0.9236    | 
199     | 0.953     | 0.9232    | 
200     | 0.9531    | 0.9236    | 
201     | 0.9531    | 0.9236    | 
202     | 0.9531    | 0.9236    | 
203     | 0.9531    | 0.9229    | 
204     | 0.9531    | 0.9229    | 
205     | 0.9529    | 0.9229    | 
206     | 0.9529    | 0.9236    | 
207     | 0.9531    | 0.9236    | 
208     | 0.9531    | 0.9236    | 
209     | 0.9531    | 0.9236    | 
210     | 0.9531    | 0.9236    | 
211     | 0.9531    | 0.9236    | 
212     | 0.9531    | 0.9236    | 
213     | 0.9531    | 0.9233    | 
214     | 0.9531    | 0.9233    | 
215     | 0.9531    | 0.9233    | 
216     | 0.9531    | 0.9233    | 
217     | 0.9531    | 0.9233    | 
218     | 0.9531    | 0.9233    | 
219     | 0.9531    | 0.9233    | 
220     | 0.9534    | 0.9233    | 
221     | 0.9534    | 0.9233    | 
222     | 0.9534    | 0.9233    | 
223     | 0.9534    | 0.9233    | 
224     | 0.9534    | 0.9236    | 
225     | 0.9534    | 0.9236    | 
226     | 0.9534    | 0.9236    | 
227     | 0.9534    | 0.9236    | 
228     | 0.9534    | 0.9236    | 
229     | 0.9534    | 0.9236    | 
230     | 0.9534    | 0.9236    | 
231     | 0.9534    | 0.9236    | 
232     | 0.9534    | 0.9236    | 
233     | 0.9534    | 0.9237    | 
234     | 0.9534    | 0.9241    | 
235     | 0.9534    | 0.9241    | 
236     | 0.9534    | 0.9241    | 
237     | 0.9534    | 0.9241    | 
238     | 0.9534    | 0.9241    | 
239     | 0.9534    | 0.9241    | 
240     | 0.9534    | 0.9241    | 
241     | 0.9534    | 0.9241    | 
242     | 0.9534    | 0.9241    | 
243     | 0.9534    | 0.9241    | 
244     | 0.9534    | 0.9241    | 
245     | 0.9534    | 0.9241    | 
246     | 0.9534    | 0.9241    | 
247     | 0.9534    | 0.9241    | 
248     | 0.9534    | 0.9241    | 
249     | 0.9534    | 0.9241    | 
250     | 0.9534    | 0.9246    | 
251     | 0.9534    | 0.9241    | 
252     | 0.9534    | 0.9241    | 
253     | 0.9534    | 0.9241    | 
254     | 0.9534    | 0.9246    | 
255     | 0.9534    | 0.9246    | 
256     | 0.9534    | 0.9246    | 
257     | 0.9534    | 0.9246    | 
258     | 0.9534    | 0.9246    | 
259     | 0.9534    | 0.9246    | 
260     | 0.9534    | 0.9246    | 
261     | 0.9534    | 0.9246    | 
262     | 0.9534    | 0.9246    | 
263     | 0.9534    | 0.9251    | 
264     | 0.9534    | 0.9251    | 
265     | 0.9534    | 0.9246    | 
266     | 0.9534    | 0.9246    | 
267     | 0.9534    | 0.9246    | 
268     | 0.9534    | 0.9246    | 
269     | 0.9534    | 0.9246    | 
270     | 0.9534    | 0.9251    | 
271     | 0.9534    | 0.9251    | 
272     | 0.9534    | 0.9251    | 
273     | 0.9534    | 0.9246    | 
274     | 0.9534    | 0.9246    | 
275     | 0.9534    | 0.9246    | 
276     | 0.9534    | 0.9251    | 
277     | 0.9534    | 0.9251    | 
278     | 0.9534    | 0.9251    | 
279     | 0.9534    | 0.9246    | 
280     | 0.9534    | 0.9246    | 
281     | 0.9534    | 0.9246    | 
282     | 0.9537    | 0.9246    | 
283     | 0.9537    | 0.9246    | 
284     | 0.9537    | 0.9246    | 
285     | 0.9537    | 0.9246    | 
286     | 0.9537    | 0.9246    | 
287     | 0.9537    | 0.9241    | 
288     | 0.9537    | 0.9246    | 
289     | 0.9537    | 0.9251    | 
290     | 0.9537    | 0.9251    | 
291     | 0.9537    | 0.9251    | 
292     | 0.9537    | 0.9251    | 
293     | 0.9537    | 0.9251    | 
294     | 0.9537    | 0.9251    | 
295     | 0.9537    | 0.9251    | 
296     | 0.9537    | 0.9251    | 
297     | 0.9537    | 0.9251    | 
298     | 0.9537    | 0.9251    | 
299     | 0.9537    | 0.9251    | 
300     | 0.9537    | 0.9251    | 
301     | 0.9537    | 0.9251    | 
302     | 0.9537    | 0.9251    | 
303     | 0.9537    | 0.9251    | 
304     | 0.9537    | 0.9251    | 
305     | 0.9537    | 0.9251    | 
306     | 0.9537    | 0.9251    | 
307     | 0.9537    | 0.9251    | 
308     | 0.9537    | 0.9251    | 
309     | 0.9537    | 0.9251    | 
310     | 0.9537    | 0.9251    | 
311     | 0.9537    | 0.9251    | 
312     | 0.9537    | 0.9251    | 
313     | 0.9537    | 0.9251    | 
314     | 0.9537    | 0.9251    | 
315     | 0.9537    | 0.9252    | 
316     | 0.9537    | 0.9252    | 
317     | 0.9537    | 0.9252    | 
318     | 0.9537    | 0.9252    | 
319     | 0.9537    | 0.9252    | 
320     | 0.9537    | 0.9252    | 
321     | 0.9537    | 0.9252    | 
322     | 0.9537    | 0.9252    | 
323     | 0.9537    | 0.9252    | 
324     | 0.9537    | 0.9252    | 
325     | 0.9539    | 0.9252    | 
326     | 0.9539    | 0.9252    | 
327     | 0.9539    | 0.9252    | 
328     | 0.9539    | 0.9252    | 
329     | 0.9539    | 0.9252    | 
330     | 0.9539    | 0.9252    | 
331     | 0.9539    | 0.9252    | 
332     | 0.9539    | 0.9252    | 
333     | 0.9539    | 0.9252    | 
334     | 0.9539    | 0.9252    | 
335     | 0.9539    | 0.9252    | 
