NOTE
Two test results are shown here, for two different metrics during training:
1. NDCG@10 (result: 0.8948)
2. ERR@10 (result: 0.9313) (RankLib's default metric)



java -jar RankLib-2.14.jar -train ../data/final/model2_train.txt -test ../data/final/model2_test.txt -validate ../data/final/model2_validate.txt -ranker 3 -metric2t NDCG@10 -metric2T NDCG@10 -save ../model_adarank/model2_adarank.txt


Discard orig. features
Training data:	../data/final/model2_train.txt
Test data:	../data/final/model2_test.txt
Validation data:	../data/final/model2_validate.txt
Feature vector representation: Dense.
Ranking method:	AdaRank
Feature description file:	Unspecified. All features will be used.
Train metric:	NDCG@10
Test metric:	NDCG@10
Feature normalization: No
Model file: ../model_adarank/model2_adarank.txt

[+] AdaRank's Parameters:
No. of rounds: 500
Train with 'enequeue': Yes
Tolerance: 0.002
Max Sel. Count: 5

Reading feature file [../data/final/model2_train.txt]... [Done.]            
(152 ranked lists, 7600 entries read)
Reading feature file [../data/final/model2_validate.txt]... [Done.]            
(75 ranked lists, 3750 entries read)
Reading feature file [../data/final/model2_test.txt]... [Done.]            
(77 ranked lists, 3850 entries read)
Initializing... [Done]
---------------------------
Training starts...
--------------------------------------------------------
#iter   | Sel. F.  | NDCG@10-T | NDCG@10-V | Status    | 
--------------------------------------------------------
1       | 23       | 0.8266    | 0.7971    | OK        | 
2       | 20       | 0.8809    | 0.8504    | OK        | 
3       | 20       |           |           | ROLLBACK  | 
4       | 23       | 0.8266    | 0.7971    | OK        | 
5       | 23       |           |           | ROLLBACK  | 
6       | 24       | 0.8395    | 0.8169    | OK        | 
7       | 24       |           |           | ROLLBACK  | 
8       | 21       | 0.8886    | 0.8579    | OK        | 
9       | 21       |           |           | ROLLBACK  | 
10      | 25       | 0.8509    | 0.8211    | OK        | 
11      | 22       | 0.9024    | 0.8695    | OK        | 
12      | 22       |           |           | ROLLBACK  | 
13      | 25       | 0.8523    | 0.8217    | OK        | 
14      | 25       |           |           | ROLLBACK  | 
15      | 28       | 0.8643    | 0.836     | OK        | 
16      | 28       |           |           | ROLLBACK  | 
17      | 26       | 0.8514    | 0.8258    | OK        | 
18      | 15       | 0.8568    | 0.823     | OK        | 
19      | 15       |           |           | ROLLBACK  | 
20      | 26       | 0.8513    | 0.8258    | OK        | 
21      | 26       |           |           | ROLLBACK  | 
22      | 8        | 0.8488    | 0.8204    | DAMN      | 
22      | 26       | 0.8513    | 0.8258    | OK        | 
23      | 26       | 0.8513    | 0.8258    | OK        | 
24      | 8        | 0.8485    | 0.8204    | DAMN      | 
24      | 15       | 0.8547    | 0.823     | OK        | 
25      | 15       | 0.856     | 0.823     | OK        | 
26      | 15       | 0.842     | 0.8022    | DAMN      | 
26      | 28       | 0.8659    | 0.8322    | OK        | 
27      | 28       | 0.866     | 0.8322    | OK        | 
28      | 28       | 0.8698    | 0.837     | OK        | 
29      | 28       | 0.8698    | 0.837     | OK        | 
30      | 28       | 0.8698    | 0.837     | OK        | 
31      | 28       | 0.8698    | 0.837     | OK        | 
32      | 28       | 0.8698    | 0.837     | OK        | 
33      | 28       | 0.8698    | 0.837     | F. REM.   | 
34      | 15       | 0.8698    | 0.837     | OK        | 
35      | 28       | 0.8698    | 0.837     | OK        | 
36      | 28       | 0.8698    | 0.837     | OK        | 
37      | 28       | 0.8698    | 0.837     | OK        | 
38      | 28       | 0.8698    | 0.837     | OK        | 
39      | 28       | 0.8698    | 0.837     | OK        | 
40      | 28       | 0.8698    | 0.837     | F. REM.   | 
41      | 15       | 0.8698    | 0.837     | OK        | 
42      | 28       | 0.8698    | 0.837     | OK        | 
43      | 28       | 0.8698    | 0.837     | OK        | 
