java -jar RankLib-2.14.jar -train ../data/baseline/baseline_model2_train.txt -test ../data/baseline/baseline_model2_test.txt -validate ../data/baseline/baseline_model2_validate.txt -ranker 6 -metric2t NDCG@10 -metric2T NDCG@10 -save ../model/baseline/baseline_model2.txt 

Discard orig. features
Training data:	../data/training/baseline_model2_train.txt
Test data:	../data/training/baseline_model2_test.txt
Validation data:	../data/training/baseline_model2_validate.txt
Feature vector representation: Dense.
Ranking method:	LambdaMART
Feature description file:	Unspecified. All features will be used.
Train metric:	NDCG@10
Test metric:	NDCG@10
Feature normalization: No
Model file: ../model/baseline/baseline_model2.txt

[+] LambdaMART's Parameters:
No. of trees: 1000
No. of leaves: 10
No. of threshold candidates: 256
Min leaf support: 1
Learning rate: 0.1
Stop early: 100 rounds without performance gain on validation data

Reading feature file [../data/training/baseline_model2_train.txt]... [Done.]            
(152 ranked lists, 7600 entries read)
Reading feature file [../data/training/baseline_model2_validate.txt]... [Done.]            
(75 ranked lists, 3750 entries read)
Reading feature file [../data/training/baseline_model2_test.txt]... [Done.]            
(77 ranked lists, 3850 entries read)
Initializing... [Done]
---------------------------------
Training starts...
---------------------------------
#iter   | NDCG@10-T | NDCG@10-V | 
---------------------------------
1       | 0.5117    | 0.5181    | 
2       | 0.5117    | 0.5167    | 
3       | 0.5115    | 0.5176    | 
4       | 0.5117    | 0.5184    | 
5       | 0.5115    | 0.5193    | 
6       | 0.5132    | 0.5149    | 
7       | 0.5138    | 0.5148    | 
8       | 0.5137    | 0.5143    | 
9       | 0.5137    | 0.5145    | 
10      | 0.5156    | 0.5169    | 
11      | 0.5159    | 0.5166    | 
12      | 0.518     | 0.5204    | 
13      | 0.5176    | 0.5184    | 
14      | 0.5185    | 0.5141    | 
15      | 0.5188    | 0.5147    | 
16      | 0.5191    | 0.5167    | 
17      | 0.5196    | 0.517     | 
18      | 0.5194    | 0.518     | 
19      | 0.5204    | 0.518     | 
20      | 0.5185    | 0.5171    | 
21      | 0.5199    | 0.5173    | 
22      | 0.52      | 0.5166    | 
23      | 0.5194    | 0.5183    | 
24      | 0.5207    | 0.5184    | 
25      | 0.521     | 0.5167    | 
26      | 0.5203    | 0.5166    | 
27      | 0.5221    | 0.517     | 
28      | 0.5233    | 0.5173    | 
29      | 0.523     | 0.5177    | 
30      | 0.5239    | 0.5173    | 
31      | 0.5255    | 0.5173    | 
32      | 0.5251    | 0.5173    | 
33      | 0.5254    | 0.5174    | 
34      | 0.5249    | 0.5176    | 
35      | 0.5267    | 0.5166    | 
36      | 0.5265    | 0.5194    | 
37      | 0.527     | 0.5194    | 
38      | 0.5272    | 0.5241    | 
39      | 0.5283    | 0.5238    | 
40      | 0.5291    | 0.5244    | 
41      | 0.5286    | 0.5236    | 
42      | 0.5291    | 0.5244    | 
43      | 0.529     | 0.5242    | 
44      | 0.5296    | 0.5253    | 
45      | 0.5288    | 0.5244    | 
46      | 0.5288    | 0.5244    | 
47      | 0.5297    | 0.5243    | 
48      | 0.5297    | 0.5245    | 
49      | 0.5303    | 0.5244    | 
50      | 0.5316    | 0.5244    | 
51      | 0.5316    | 0.5244    | 
52      | 0.5309    | 0.5235    | 
53      | 0.5302    | 0.5218    | 
54      | 0.5314    | 0.5218    | 
55      | 0.5314    | 0.5214    | 
56      | 0.5325    | 0.5209    | 
57      | 0.5325    | 0.5209    | 
58      | 0.5323    | 0.5209    | 
59      | 0.5323    | 0.5209    | 
60      | 0.5331    | 0.5209    | 
61      | 0.5334    | 0.5222    | 
62      | 0.5323    | 0.5223    | 
63      | 0.5328    | 0.5223    | 
64      | 0.5325    | 0.522     | 
65      | 0.5328    | 0.5222    | 
66      | 0.5328    | 0.522     | 
67      | 0.5329    | 0.522     | 
68      | 0.5328    | 0.5217    | 
69      | 0.5327    | 0.522     | 
70      | 0.533     | 0.522     | 
71      | 0.5328    | 0.5217    | 
72      | 0.533     | 0.522     | 
73      | 0.533     | 0.522     | 
74      | 0.5328    | 0.5217    | 
75      | 0.533     | 0.522     | 
76      | 0.533     | 0.522     | 
77      | 0.5318    | 0.522     | 
78      | 0.5313    | 0.5216    | 
79      | 0.5312    | 0.5216    | 
80      | 0.5314    | 0.5221    | 
81      | 0.5319    | 0.5224    | 
82      | 0.5318    | 0.5224    | 
83      | 0.5319    | 0.5224    | 
84      | 0.5317    | 0.522     | 
85      | 0.5316    | 0.5219    | 
86      | 0.5315    | 0.5216    | 
87      | 0.532     | 0.5216    | 
88      | 0.5329    | 0.5215    | 
89      | 0.5321    | 0.5213    | 
90      | 0.5321    | 0.5213    | 
91      | 0.5319    | 0.5209    | 
92      | 0.5321    | 0.5213    | 
93      | 0.5319    | 0.5206    | 
94      | 0.5321    | 0.5196    | 
95      | 0.5322    | 0.5197    | 
96      | 0.5329    | 0.5197    | 
97      | 0.5327    | 0.5207    | 
98      | 0.5333    | 0.5175    | 
99      | 0.5328    | 0.5175    | 
100     | 0.5333    | 0.519     | 
101     | 0.5333    | 0.519     | 
102     | 0.5331    | 0.519     | 
103     | 0.5331    | 0.5186    | 
104     | 0.5327    | 0.5186    | 
105     | 0.5326    | 0.5186    | 
106     | 0.5308    | 0.5212    | 
107     | 0.5308    | 0.5212    | 
108     | 0.5303    | 0.5211    | 
109     | 0.5315    | 0.5218    | 
110     | 0.5315    | 0.5218    | 
111     | 0.5317    | 0.5218    | 
112     | 0.5317    | 0.5218    | 
113     | 0.5322    | 0.5218    | 
114     | 0.5305    | 0.5222    | 
115     | 0.5301    | 0.5222    | 
116     | 0.5306    | 0.5213    | 
117     | 0.5304    | 0.5216    | 
118     | 0.5305    | 0.5212    | 
119     | 0.5305    | 0.5212    | 
120     | 0.5309    | 0.5226    | 
121     | 0.531     | 0.5226    | 
122     | 0.5309    | 0.5225    | 
123     | 0.5312    | 0.5228    | 
124     | 0.5314    | 0.5228    | 
125     | 0.5313    | 0.5228    | 
126     | 0.5313    | 0.523     | 
127     | 0.5315    | 0.5236    | 
128     | 0.5327    | 0.5219    | 
129     | 0.5326    | 0.5218    | 
130     | 0.5325    | 0.522     | 
131     | 0.5325    | 0.522     | 
132     | 0.5325    | 0.522     | 
133     | 0.5318    | 0.5216    | 
134     | 0.5318    | 0.5216    | 
135     | 0.532     | 0.5214    | 
136     | 0.5324    | 0.5211    | 
137     | 0.5323    | 0.5211    | 
138     | 0.5319    | 0.5211    | 
139     | 0.5322    | 0.5223    | 
140     | 0.5322    | 0.5213    | 
141     | 0.5316    | 0.5202    | 
142     | 0.5313    | 0.5197    | 
143     | 0.5316    | 0.5197    | 
144     | 0.5316    | 0.5197    | 
145     | 0.5318    | 0.5197    | 
---------------------------------
Finished sucessfully.
NDCG@10 on training data: 0.5296
NDCG@10 on validation data: 0.5253
---------------------------------
NDCG@10 on test data: 0.5479

Model saved to: ../model/baseline/baseline_model2.txt
