java -jar RankLib-2.14.jar -train ../data/experiment/ans_before_after_train.txt -test ../data/experiment/ans_before_after_test.txt -validate ../data/experiment/ans_before_after_validate.txt -ranker 6 -metric2t NDCG@10 -metric2T NDCG@10 -save ../model/experiment/model_ans_before_after.txt

Discard orig. features
Training data:	../data/experiment/ans_before_after_train.txt
Test data:	../data/experiment/ans_before_after_test.txt
Validation data:	../data/experiment/ans_before_after_validate.txt
Feature vector representation: Dense.
Ranking method:	LambdaMART
Feature description file:	Unspecified. All features will be used.
Train metric:	NDCG@10
Test metric:	NDCG@10
Feature normalization: No
Model file: ../model/experiment/model_ans_before_after.txt

[+] LambdaMART's Parameters:
No. of trees: 1000
No. of leaves: 10
No. of threshold candidates: 256
Min leaf support: 1
Learning rate: 0.1
Stop early: 100 rounds without performance gain on validation data

Reading feature file [../data/experiment/ans_before_after_train.txt]... [Done.]            
(152 ranked lists, 7600 entries read)
Reading feature file [../data/experiment/ans_before_after_validate.txt]... [Done.]            
(75 ranked lists, 3750 entries read)
Reading feature file [../data/experiment/ans_before_after_test.txt]... [Done.]            
(77 ranked lists, 3850 entries read)
Initializing... [Done]
---------------------------------
Training starts...
---------------------------------
#iter   | NDCG@10-T | NDCG@10-V | 
---------------------------------
1       | 0.8445    | 0.812     | 
2       | 0.8857    | 0.8587    | 
3       | 0.8988    | 0.8751    | 
4       | 0.8992    | 0.8752    | 
5       | 0.8992    | 0.8752    | 
6       | 0.8995    | 0.8757    | 
7       | 0.8998    | 0.8757    | 
8       | 0.8998    | 0.8757    | 
9       | 0.8998    | 0.8757    | 
10      | 0.8996    | 0.8757    | 
11      | 0.9008    | 0.8768    | 
12      | 0.9086    | 0.8801    | 
13      | 0.9086    | 0.8801    | 
14      | 0.9096    | 0.8821    | 
15      | 0.9146    | 0.8935    | 
16      | 0.9147    | 0.8939    | 
17      | 0.9149    | 0.894     | 
18      | 0.9158    | 0.8955    | 
19      | 0.924     | 0.9027    | 
20      | 0.9246    | 0.9031    | 
21      | 0.9272    | 0.9049    | 
22      | 0.9286    | 0.9069    | 
23      | 0.9307    | 0.9101    | 
24      | 0.9316    | 0.9108    | 
25      | 0.9321    | 0.9113    | 
26      | 0.9322    | 0.9115    | 
27      | 0.9327    | 0.9127    | 
28      | 0.9331    | 0.9127    | 
29      | 0.9328    | 0.9122    | 
30      | 0.9332    | 0.9122    | 
31      | 0.9334    | 0.9114    | 
32      | 0.9336    | 0.9118    | 
33      | 0.9344    | 0.9118    | 
34      | 0.9354    | 0.9118    | 
35      | 0.9354    | 0.9118    | 
36      | 0.9352    | 0.9115    | 
37      | 0.9351    | 0.9118    | 
38      | 0.9356    | 0.9119    | 
39      | 0.9363    | 0.913     | 
40      | 0.937     | 0.913     | 
41      | 0.9371    | 0.9137    | 
42      | 0.9389    | 0.9134    | 
43      | 0.9392    | 0.9135    | 
44      | 0.9398    | 0.9141    | 
45      | 0.9401    | 0.9146    | 
46      | 0.9401    | 0.9146    | 
47      | 0.941     | 0.916     | 
48      | 0.9412    | 0.9148    | 
49      | 0.9411    | 0.9148    | 
50      | 0.9412    | 0.9157    | 
51      | 0.9411    | 0.9157    | 
52      | 0.9415    | 0.9157    | 
53      | 0.9405    | 0.9153    | 
54      | 0.9405    | 0.9152    | 
55      | 0.9402    | 0.9153    | 
56      | 0.9405    | 0.9158    | 
57      | 0.9409    | 0.9157    | 
58      | 0.9411    | 0.9155    | 
59      | 0.941     | 0.9156    | 
60      | 0.9411    | 0.9157    | 
61      | 0.9409    | 0.9158    | 
62      | 0.9414    | 0.9162    | 
63      | 0.9414    | 0.9158    | 
64      | 0.9417    | 0.9159    | 
65      | 0.942     | 0.9159    | 
66      | 0.9424    | 0.9159    | 
67      | 0.9424    | 0.9165    | 
68      | 0.9429    | 0.9168    | 
69      | 0.9434    | 0.9176    | 
70      | 0.943     | 0.9176    | 
71      | 0.9437    | 0.9178    | 
72      | 0.9437    | 0.9177    | 
73      | 0.944     | 0.9169    | 
74      | 0.944     | 0.9174    | 
75      | 0.9443    | 0.9174    | 
76      | 0.9445    | 0.9173    | 
77      | 0.9445    | 0.9173    | 
78      | 0.9448    | 0.9173    | 
79      | 0.9449    | 0.9173    | 
80      | 0.945     | 0.9178    | 
81      | 0.9452    | 0.9178    | 
82      | 0.9457    | 0.9178    | 
83      | 0.9457    | 0.9178    | 
84      | 0.9462    | 0.9187    | 
85      | 0.9463    | 0.9187    | 
86      | 0.9464    | 0.919     | 
87      | 0.9472    | 0.919     | 
88      | 0.9472    | 0.919     | 
89      | 0.9475    | 0.919     | 
90      | 0.9476    | 0.919     | 
91      | 0.9476    | 0.9194    | 
92      | 0.9478    | 0.9194    | 
93      | 0.9477    | 0.9194    | 
94      | 0.9476    | 0.9195    | 
95      | 0.9478    | 0.9195    | 
96      | 0.948     | 0.9199    | 
97      | 0.948     | 0.9199    | 
98      | 0.948     | 0.9195    | 
99      | 0.9478    | 0.92      | 
100     | 0.9477    | 0.92      | 
101     | 0.9478    | 0.92      | 
102     | 0.9479    | 0.92      | 
103     | 0.9482    | 0.9199    | 
104     | 0.9483    | 0.92      | 
105     | 0.9484    | 0.9195    | 
106     | 0.9486    | 0.9195    | 
107     | 0.9486    | 0.9195    | 
108     | 0.9486    | 0.9196    | 
109     | 0.9486    | 0.9196    | 
110     | 0.9486    | 0.9196    | 
111     | 0.9487    | 0.9196    | 
112     | 0.9489    | 0.9204    | 
113     | 0.9489    | 0.9199    | 
114     | 0.9493    | 0.9204    | 
115     | 0.9493    | 0.9204    | 
116     | 0.9493    | 0.9204    | 
117     | 0.9488    | 0.9208    | 
118     | 0.9492    | 0.9214    | 
119     | 0.9492    | 0.9214    | 
120     | 0.9492    | 0.9214    | 
121     | 0.9489    | 0.9214    | 
122     | 0.9494    | 0.9214    | 
123     | 0.9498    | 0.9215    | 
124     | 0.9498    | 0.9215    | 
125     | 0.9498    | 0.9215    | 
126     | 0.9501    | 0.921     | 
127     | 0.9497    | 0.921     | 
128     | 0.9504    | 0.921     | 
129     | 0.9504    | 0.921     | 
130     | 0.9504    | 0.921     | 
131     | 0.9506    | 0.9215    | 
132     | 0.95      | 0.9215    | 
133     | 0.9502    | 0.922     | 
134     | 0.9502    | 0.9221    | 
135     | 0.9506    | 0.9221    | 
136     | 0.9502    | 0.922     | 
137     | 0.9502    | 0.922     | 
138     | 0.9507    | 0.922     | 
139     | 0.9506    | 0.922     | 
140     | 0.9506    | 0.9224    | 
141     | 0.9502    | 0.922     | 
142     | 0.9502    | 0.922     | 
143     | 0.9506    | 0.922     | 
144     | 0.9507    | 0.922     | 
145     | 0.9507    | 0.9224    | 
146     | 0.9507    | 0.9224    | 
147     | 0.9509    | 0.9221    | 
148     | 0.9509    | 0.9224    | 
149     | 0.9509    | 0.9224    | 
150     | 0.9509    | 0.9224    | 
151     | 0.9509    | 0.9224    | 
152     | 0.9505    | 0.9216    | 
153     | 0.9509    | 0.9216    | 
154     | 0.951     | 0.9216    | 
155     | 0.951     | 0.9216    | 
156     | 0.9504    | 0.9216    | 
157     | 0.9513    | 0.9225    | 
158     | 0.9513    | 0.9225    | 
159     | 0.9507    | 0.9225    | 
160     | 0.9513    | 0.9216    | 
161     | 0.9513    | 0.9216    | 
162     | 0.9513    | 0.9216    | 
163     | 0.9513    | 0.9216    | 
164     | 0.9513    | 0.9216    | 
165     | 0.9513    | 0.9225    | 
166     | 0.9511    | 0.9216    | 
167     | 0.9512    | 0.9216    | 
168     | 0.9514    | 0.9225    | 
169     | 0.9512    | 0.9225    | 
170     | 0.9515    | 0.9224    | 
171     | 0.9515    | 0.9216    | 
172     | 0.951     | 0.9216    | 
173     | 0.9512    | 0.9216    | 
174     | 0.951     | 0.9216    | 
175     | 0.9515    | 0.9225    | 
176     | 0.9517    | 0.9225    | 
177     | 0.9517    | 0.9225    | 
178     | 0.9517    | 0.9225    | 
179     | 0.9517    | 0.9225    | 
180     | 0.9517    | 0.9225    | 
181     | 0.9513    | 0.9225    | 
182     | 0.9517    | 0.9225    | 
183     | 0.9517    | 0.9225    | 
184     | 0.9517    | 0.9224    | 
185     | 0.9517    | 0.9224    | 
186     | 0.9517    | 0.9224    | 
187     | 0.9517    | 0.9224    | 
188     | 0.9517    | 0.9224    | 
189     | 0.9517    | 0.9224    | 
190     | 0.952     | 0.9224    | 
191     | 0.9521    | 0.9224    | 
192     | 0.9521    | 0.9225    | 
193     | 0.9521    | 0.9225    | 
194     | 0.9521    | 0.9225    | 
195     | 0.9521    | 0.9225    | 
196     | 0.9521    | 0.9225    | 
197     | 0.9521    | 0.9225    | 
198     | 0.9521    | 0.9225    | 
199     | 0.9517    | 0.9225    | 
200     | 0.9521    | 0.9225    | 
201     | 0.9521    | 0.9225    | 
202     | 0.9521    | 0.9225    | 
203     | 0.9521    | 0.9225    | 
204     | 0.9521    | 0.9226    | 
205     | 0.9521    | 0.9226    | 
206     | 0.9521    | 0.9226    | 
207     | 0.9521    | 0.9227    | 
208     | 0.9521    | 0.9227    | 
209     | 0.9521    | 0.9228    | 
210     | 0.9519    | 0.9228    | 
211     | 0.9522    | 0.9231    | 
212     | 0.9522    | 0.9232    | 
213     | 0.9522    | 0.9229    | 
214     | 0.9522    | 0.9229    | 
215     | 0.9522    | 0.9229    | 
216     | 0.9522    | 0.9229    | 
217     | 0.9522    | 0.9229    | 
218     | 0.9522    | 0.9229    | 
219     | 0.9522    | 0.9229    | 
220     | 0.9522    | 0.9229    | 
221     | 0.9522    | 0.9229    | 
222     | 0.9523    | 0.9229    | 
223     | 0.9525    | 0.9234    | 
224     | 0.9525    | 0.9234    | 
225     | 0.9525    | 0.9234    | 
226     | 0.9525    | 0.9234    | 
227     | 0.9525    | 0.9236    | 
228     | 0.9525    | 0.9236    | 
229     | 0.9525    | 0.9236    | 
230     | 0.9525    | 0.9236    | 
231     | 0.9525    | 0.9234    | 
232     | 0.9525    | 0.9235    | 
233     | 0.9525    | 0.9236    | 
234     | 0.9525    | 0.9236    | 
235     | 0.9526    | 0.9236    | 
236     | 0.9526    | 0.9236    | 
237     | 0.9526    | 0.9236    | 
238     | 0.9526    | 0.9236    | 
239     | 0.9526    | 0.9236    | 
240     | 0.9526    | 0.9236    | 
241     | 0.9526    | 0.9236    | 
242     | 0.9526    | 0.9236    | 
243     | 0.9526    | 0.9236    | 
244     | 0.9526    | 0.9236    | 
245     | 0.9526    | 0.9236    | 
246     | 0.9526    | 0.9241    | 
247     | 0.9526    | 0.9241    | 
248     | 0.9526    | 0.9232    | 
249     | 0.9526    | 0.9232    | 
250     | 0.9526    | 0.9241    | 
251     | 0.9526    | 0.9232    | 
252     | 0.9526    | 0.9232    | 
253     | 0.9526    | 0.9232    | 
254     | 0.9526    | 0.9241    | 
255     | 0.9526    | 0.9241    | 
256     | 0.9526    | 0.9241    | 
257     | 0.9526    | 0.9241    | 
258     | 0.9526    | 0.9241    | 
259     | 0.9526    | 0.9241    | 
260     | 0.9526    | 0.9241    | 
261     | 0.9526    | 0.9241    | 
262     | 0.9526    | 0.9241    | 
263     | 0.9526    | 0.9241    | 
264     | 0.9528    | 0.9233    | 
265     | 0.9528    | 0.9234    | 
266     | 0.9528    | 0.9234    | 
267     | 0.9528    | 0.9234    | 
268     | 0.9528    | 0.9234    | 
269     | 0.9528    | 0.9234    | 
270     | 0.9528    | 0.9234    | 
271     | 0.9528    | 0.9235    | 
272     | 0.9528    | 0.9235    | 
273     | 0.9528    | 0.9236    | 
274     | 0.9528    | 0.9236    | 
275     | 0.9528    | 0.9236    | 
276     | 0.9528    | 0.9235    | 
277     | 0.9528    | 0.9235    | 
278     | 0.9528    | 0.9243    | 
279     | 0.9528    | 0.9243    | 
280     | 0.9529    | 0.9243    | 
281     | 0.9529    | 0.9243    | 
282     | 0.9529    | 0.9243    | 
283     | 0.9529    | 0.9243    | 
284     | 0.9529    | 0.9244    | 
285     | 0.9529    | 0.9244    | 
286     | 0.9529    | 0.9244    | 
287     | 0.9529    | 0.9244    | 
288     | 0.9529    | 0.9244    | 
289     | 0.9529    | 0.9244    | 
290     | 0.9529    | 0.9244    | 
291     | 0.9529    | 0.9244    | 
292     | 0.9529    | 0.9244    | 
293     | 0.9529    | 0.9244    | 
294     | 0.9529    | 0.9244    | 
295     | 0.9529    | 0.9244    | 
296     | 0.9529    | 0.925     | 
297     | 0.9529    | 0.925     | 
298     | 0.9529    | 0.925     | 
299     | 0.9529    | 0.925     | 
300     | 0.9529    | 0.9249    | 
301     | 0.9529    | 0.925     | 
302     | 0.9529    | 0.925     | 
303     | 0.9529    | 0.925     | 
304     | 0.9529    | 0.925     | 
305     | 0.9529    | 0.925     | 
306     | 0.9529    | 0.925     | 
307     | 0.9529    | 0.925     | 
308     | 0.9529    | 0.925     | 
309     | 0.9529    | 0.9249    | 
310     | 0.9529    | 0.925     | 
311     | 0.9529    | 0.925     | 
312     | 0.9529    | 0.9249    | 
313     | 0.9529    | 0.9249    | 
314     | 0.9529    | 0.9249    | 
315     | 0.9529    | 0.9249    | 
316     | 0.9529    | 0.9249    | 
317     | 0.9529    | 0.9249    | 
318     | 0.9529    | 0.9249    | 
319     | 0.9529    | 0.9249    | 
320     | 0.9529    | 0.9249    | 
321     | 0.9529    | 0.9249    | 
322     | 0.9529    | 0.9249    | 
323     | 0.9529    | 0.9249    | 
324     | 0.9529    | 0.9249    | 
325     | 0.9529    | 0.9249    | 
326     | 0.9529    | 0.9249    | 
327     | 0.9532    | 0.9249    | 
328     | 0.9532    | 0.9249    | 
329     | 0.9532    | 0.9249    | 
330     | 0.9532    | 0.9249    | 
331     | 0.9532    | 0.9249    | 
332     | 0.9532    | 0.9249    | 
333     | 0.9532    | 0.9249    | 
334     | 0.9532    | 0.9249    | 
335     | 0.9532    | 0.9249    | 
336     | 0.9532    | 0.9249    | 
