java -jar RankLib-2.14.jar -train ../data/experiment/parsetree_train.txt -test ../data/experiment/parsetree_test.txt -validate ../data/experiment/parsetree_validate.txt -ranker 6 -metric2t NDCG@10 -metric2T NDCG@10 -save ../model/experiment/model_parsetree.txt

Discard orig. features
Training data:	../data/experiment/parsetree_train.txt
Test data:	../data/experiment/parsetree_test.txt
Validation data:	../data/experiment/parsetree_validate.txt
Feature vector representation: Dense.
Ranking method:	LambdaMART
Feature description file:	Unspecified. All features will be used.
Train metric:	NDCG@10
Test metric:	NDCG@10
Feature normalization: No
Model file: ../model/experiment/model_parsetree.txt

[+] LambdaMART's Parameters:
No. of trees: 1000
No. of leaves: 10
No. of threshold candidates: 256
Min leaf support: 1
Learning rate: 0.1
Stop early: 100 rounds without performance gain on validation data

Reading feature file [../data/experiment/parsetree_train.txt]... [Done.]            
(152 ranked lists, 7600 entries read)
Reading feature file [../data/experiment/parsetree_validate.txt]... [Done.]            
(75 ranked lists, 3750 entries read)
Reading feature file [../data/experiment/parsetree_test.txt]... [Done.]            
(77 ranked lists, 3850 entries read)
Initializing... [Done]
---------------------------------
Training starts...
---------------------------------
#iter   | NDCG@10-T | NDCG@10-V | 
---------------------------------
1       | 0.515     | 0.5123    | 
2       | 0.5218    | 0.5241    | 
3       | 0.5223    | 0.5259    | 
4       | 0.5242    | 0.5278    | 
5       | 0.5312    | 0.5293    | 
6       | 0.5392    | 0.5362    | 
7       | 0.5428    | 0.5392    | 
8       | 0.5439    | 0.5426    | 
9       | 0.5469    | 0.5469    | 
10      | 0.5526    | 0.5428    | 
11      | 0.5533    | 0.5481    | 
12      | 0.5572    | 0.55      | 
13      | 0.5633    | 0.5493    | 
14      | 0.564     | 0.55      | 
15      | 0.5672    | 0.5494    | 
16      | 0.5694    | 0.5502    | 
17      | 0.5697    | 0.5458    | 
18      | 0.5723    | 0.5474    | 
19      | 0.5703    | 0.5478    | 
20      | 0.5729    | 0.5478    | 
21      | 0.5738    | 0.5445    | 
22      | 0.5741    | 0.5461    | 
23      | 0.5745    | 0.5469    | 
24      | 0.5774    | 0.5469    | 
25      | 0.5795    | 0.5459    | 
26      | 0.5819    | 0.5472    | 
27      | 0.5823    | 0.5491    | 
28      | 0.5846    | 0.5511    | 
29      | 0.585     | 0.5532    | 
30      | 0.584     | 0.5564    | 
31      | 0.5861    | 0.558     | 
32      | 0.5862    | 0.5561    | 
33      | 0.5852    | 0.5545    | 
34      | 0.5877    | 0.5558    | 
35      | 0.5881    | 0.5555    | 
36      | 0.588     | 0.5557    | 
37      | 0.5901    | 0.5536    | 
38      | 0.589     | 0.5567    | 
39      | 0.5917    | 0.5583    | 
40      | 0.5927    | 0.5586    | 
41      | 0.5918    | 0.5582    | 
42      | 0.5931    | 0.5605    | 
43      | 0.5931    | 0.559     | 
44      | 0.5951    | 0.5592    | 
45      | 0.5963    | 0.5586    | 
46      | 0.5974    | 0.5585    | 
47      | 0.5973    | 0.5582    | 
48      | 0.5975    | 0.5594    | 
49      | 0.5971    | 0.5584    | 
50      | 0.599     | 0.5596    | 
51      | 0.5987    | 0.5575    | 
52      | 0.5996    | 0.5586    | 
53      | 0.599     | 0.5585    | 
54      | 0.5993    | 0.5567    | 
