java -jar RankLib-2.14.jar -train ../data/experiment/pos_train.txt -test ../data/experiment/pos_test.txt -validate ../data/experiment/pos_validate.txt -ranker 6 -metric2t NDCG@10 -metric2T NDCG@10 -save ../model/experiment/model_pos.txt

Discard orig. features
Training data:	../data/experiment/pos_train.txt
Test data:	../data/experiment/pos_test.txt
Validation data:	../data/experiment/pos_validate.txt
Feature vector representation: Dense.
Ranking method:	LambdaMART
Feature description file:	Unspecified. All features will be used.
Train metric:	NDCG@10
Test metric:	NDCG@10
Feature normalization: No
Model file: ../model/experiment/model_pos.txt

[+] LambdaMART's Parameters:
No. of trees: 1000
No. of leaves: 10
No. of threshold candidates: 256
Min leaf support: 1
Learning rate: 0.1
Stop early: 100 rounds without performance gain on validation data

Reading feature file [../data/experiment/pos_train.txt]... [Done.]            
(152 ranked lists, 7600 entries read)
Reading feature file [../data/experiment/pos_validate.txt]... [Done.]            
(75 ranked lists, 3750 entries read)
Reading feature file [../data/experiment/pos_test.txt]... [Done.]            
(77 ranked lists, 3850 entries read)
Initializing... [Done]
---------------------------------
Training starts...
---------------------------------
#iter   | NDCG@10-T | NDCG@10-V | 
---------------------------------
1       | 0.5237    | 0.5239    | 
2       | 0.5237    | 0.5255    | 
3       | 0.5261    | 0.5265    | 
4       | 0.5266    | 0.527     | 
5       | 0.5273    | 0.527     | 
6       | 0.5282    | 0.5287    | 
7       | 0.5327    | 0.5321    | 
8       | 0.5355    | 0.533     | 
9       | 0.5395    | 0.5377    | 
10      | 0.5419    | 0.5364    | 
11      | 0.543     | 0.5366    | 
12      | 0.5441    | 0.5387    | 
13      | 0.5429    | 0.5354    | 
14      | 0.548     | 0.535     | 
15      | 0.555     | 0.5383    | 
16      | 0.5569    | 0.5365    | 
17      | 0.5603    | 0.5427    | 
18      | 0.5621    | 0.5432    | 
19      | 0.5609    | 0.5442    | 
20      | 0.5626    | 0.543     | 
21      | 0.5647    | 0.5459    | 
22      | 0.5686    | 0.5469    | 
23      | 0.5669    | 0.5481    | 
24      | 0.5689    | 0.5479    | 
25      | 0.5721    | 0.5448    | 
26      | 0.5765    | 0.5502    | 
27      | 0.5758    | 0.5507    | 
28      | 0.5765    | 0.5523    | 
29      | 0.5764    | 0.5519    | 
30      | 0.5778    | 0.5546    | 
31      | 0.5817    | 0.5553    | 
32      | 0.5843    | 0.5549    | 
33      | 0.5869    | 0.555     | 
34      | 0.5863    | 0.5566    | 
35      | 0.5861    | 0.5573    | 
36      | 0.5889    | 0.5603    | 
37      | 0.589     | 0.56      | 
38      | 0.589     | 0.5625    | 
39      | 0.5909    | 0.5627    | 
40      | 0.5913    | 0.563     | 
41      | 0.5924    | 0.5591    | 
42      | 0.5935    | 0.5602    | 
43      | 0.5922    | 0.5603    | 
44      | 0.5942    | 0.5605    | 
45      | 0.5947    | 0.5594    | 
46      | 0.5979    | 0.5603    | 
47      | 0.5995    | 0.5601    | 
48      | 0.6004    | 0.5617    | 
49      | 0.6026    | 0.5664    | 
50      | 0.6049    | 0.5662    | 
51      | 0.6041    | 0.5699    | 
52      | 0.607     | 0.5708    | 
53      | 0.608     | 0.5722    | 
54      | 0.6079    | 0.5738    | 
55      | 0.6076    | 0.571     | 
56      | 0.6095    | 0.5728    | 
57      | 0.6115    | 0.5736    | 
58      | 0.6137    | 0.5742    | 
59      | 0.6142    | 0.5763    | 
60      | 0.6139    | 0.5752    | 
61      | 0.6164    | 0.5769    | 
62      | 0.6157    | 0.5773    | 
63      | 0.6176    | 0.5778    | 
64      | 0.6182    | 0.5765    | 
65      | 0.6189    | 0.5777    | 
66      | 0.6203    | 0.5758    | 
67      | 0.6202    | 0.5787    | 
68      | 0.6211    | 0.5771    | 
69      | 0.6215    | 0.5775    | 
70      | 0.622     | 0.5771    | 
71      | 0.6214    | 0.5768    | 
72      | 0.6203    | 0.577     | 
73      | 0.6209    | 0.5758    | 
74      | 0.6224    | 0.5771    | 
75      | 0.6231    | 0.578     | 
76      | 0.6245    | 0.5773    | 
77      | 0.625     | 0.5749    | 
78      | 0.6254    | 0.5817    | 
79      | 0.6262    | 0.5792    | 
80      | 0.6264    | 0.5788    | 
81      | 0.6285    | 0.5797    | 
82      | 0.6271    | 0.5826    | 
83      | 0.6291    | 0.5823    | 
84      | 0.6304    | 0.5817    | 
85      | 0.6304    | 0.5808    | 
86      | 0.6316    | 0.5825    | 
87      | 0.6316    | 0.5863    | 
88      | 0.6334    | 0.5875    | 
89      | 0.634     | 0.5874    | 
90      | 0.6338    | 0.5857    | 
91      | 0.6329    | 0.5848    | 
92      | 0.6336    | 0.5866    | 
93      | 0.6339    | 0.5896    | 
94      | 0.6336    | 0.592     | 
95      | 0.6352    | 0.5968    | 
96      | 0.6358    | 0.5958    | 
97      | 0.6354    | 0.5942    | 
98      | 0.635     | 0.5946    | 
99      | 0.6363    | 0.5944    | 
100     | 0.638     | 0.5961    | 
101     | 0.6402    | 0.5965    | 
102     | 0.64      | 0.5971    | 
103     | 0.6401    | 0.5981    | 
104     | 0.6416    | 0.5976    | 
105     | 0.6445    | 0.5995    | 
106     | 0.6447    | 0.5981    | 
107     | 0.6452    | 0.5972    | 
108     | 0.6451    | 0.5972    | 
109     | 0.6459    | 0.5961    | 
110     | 0.6457    | 0.5973    | 
111     | 0.6464    | 0.5928    | 
112     | 0.6467    | 0.5931    | 
113     | 0.6466    | 0.5923    | 
114     | 0.6469    | 0.5928    | 
115     | 0.6467    | 0.5916    | 
116     | 0.6463    | 0.5894    | 
117     | 0.6478    | 0.5892    | 
118     | 0.6491    | 0.5912    | 
119     | 0.6485    | 0.5947    | 
120     | 0.6507    | 0.5961    | 
121     | 0.652     | 0.5952    | 
122     | 0.6524    | 0.595     | 
