NOTE
Two test results are shown here, for two different metrics during training:
1. NDCG@10 (result: 0.6998)
2. ERR@10 (result: 0.6971) (RankLib's default metric)



java -jar RankLib-2.14.jar -train ../data/final/model2_train.txt -test ../data/final/model2_test.txt -validate ../data/final/model2_validate.txt -ranker 7 -metric2t NDCG@10 -metric2T NDCG@10 -save ../model_listnet/model2_listnet.txt


Discard orig. features
Training data:	../data/final/model2_train.txt
Test data:	../data/final/model2_test.txt
Validation data:	../data/final/model2_validate.txt
Feature vector representation: Dense.
Ranking method:	ListNet
Feature description file:	Unspecified. All features will be used.
Train metric:	NDCG@10
Test metric:	NDCG@10
Feature normalization: No

[+] ListNet's Parameters:
No. of epochs: 1500
Learning rate: 1.0E-5

Reading feature file [../data/final/model2_train.txt]... [Done.]            
(152 ranked lists, 7600 entries read)
Reading feature file [../data/final/model2_validate.txt]... [Done.]            
(75 ranked lists, 3750 entries read)
Reading feature file [../data/final/model2_test.txt]... [Done.]            
(77 ranked lists, 3850 entries read)
Initializing... [Done]
-----------------------------------------
Training starts...
--------------------------------------------------
#epoch  | C.E. Loss      | NDCG@10-T | NDCG@10-V | 
--------------------------------------------------
1       | 0.0            | 0.4906    | 0.4464    | 
2       | 0.0            | 0.4996    | 0.4553    | 
3       | 0.0            | 0.5074    | 0.4646    | 
4       | 0.0            | 0.5108    | 0.4735    | 
5       | 0.0            | 0.5205    | 0.4807    | 
6       | 0.0            | 0.5248    | 0.4843    | 
7       | 0.0            | 0.5288    | 0.4903    | 
8       | 0.0            | 0.5318    | 0.503     | 
9       | 0.0            | 0.54      | 0.5108    | 
10      | 0.0            | 0.546     | 0.5163    | 
11      | 0.0            | 0.5512    | 0.524     | 
12      | 0.0            | 0.5567    | 0.5273    | 
13      | 0.0            | 0.5595    | 0.5339    | 
14      | 0.0            | 0.5643    | 0.5415    | 
15      | 0.0            | 0.5699    | 0.5457    | 
16      | 0.0            | 0.5741    | 0.5475    | 
17      | 0.0            | 0.5807    | 0.5565    | 
18      | 0.0            | 0.5839    | 0.5616    | 
19      | 0.0            | 0.5864    | 0.5615    | 
20      | 0.0            | 0.5902    | 0.5666    | 
21      | 0.0            | 0.5921    | 0.5699    | 
22      | 0.0            | 0.5945    | 0.5741    | 
23      | 0.0            | 0.5994    | 0.5788    | 
24      | 0.0            | 0.6027    | 0.5808    | 
25      | 0.0            | 0.6056    | 0.5844    | 
26      | 0.0            | 0.6092    | 0.5859    | 
27      | 0.0            | 0.612     | 0.5865    | 
28      | 0.0            | 0.6146    | 0.587     | 
29      | 0.0            | 0.6163    | 0.5875    | 
30      | 0.0            | 0.6182    | 0.5908    | 
31      | 0.0            | 0.62      | 0.5919    | 
32      | 0.0            | 0.6215    | 0.5968    | 
33      | 0.0            | 0.6253    | 0.5986    | 
34      | 0.0            | 0.6288    | 0.599     | 
35      | 0.0            | 0.63      | 0.5997    | 
36      | 0.0            | 0.6325    | 0.598     | 
37      | 0.0            | 0.6359    | 0.5982    | 
38      | 0.0            | 0.6367    | 0.5973    | 
39      | 0.0            | 0.6384    | 0.599     | 
40      | 0.0            | 0.6389    | 0.6009    | 
41      | 0.0            | 0.6398    | 0.604     | 
42      | 0.0            | 0.6419    | 0.6054    | 
43      | 0.0            | 0.6454    | 0.606     | 
44      | 0.0            | 0.6459    | 0.6067    | 
45      | 0.0            | 0.6475    | 0.6085    | 
46      | 0.0            | 0.6481    | 0.6085    | 
47      | 0.0            | 0.6487    | 0.6107    | 
48      | 0.0            | 0.6505    | 0.6109    | 
49      | 0.0            | 0.6523    | 0.6101    | 
50      | 0.0            | 0.6531    | 0.6102    | 
51      | 0.0            | 0.6536    | 0.6108    | 
52      | 0.0            | 0.6545    | 0.6109    | 
53      | 0.0            | 0.6556    | 0.6113    | 
54      | 0.0            | 0.6566    | 0.6141    | 
55      | 0.0            | 0.657     | 0.6158    | 
56      | 0.0            | 0.6583    | 0.6175    | 
57      | 0.0            | 0.6583    | 0.6196    | 
58      | 0.0            | 0.659     | 0.6203    | 
59      | 0.0            | 0.6602    | 0.6233    | 
60      | 0.0            | 0.6602    | 0.6233    | 
61      | 0.0            | 0.6607    | 0.6224    | 
62      | 0.0            | 0.6613    | 0.6237    | 
63      | 0.0            | 0.6611    | 0.6239    | 
64      | 0.0            | 0.6617    | 0.6263    | 
65      | 0.0            | 0.6636    | 0.6257    | 
66      | 0.0            | 0.6643    | 0.6258    | 
67      | 0.0            | 0.6654    | 0.6259    | 
68      | 0.0            | 0.6657    | 0.627     | 
69      | 0.0            | 0.6664    | 0.627     | 
70      | 0.0            | 0.6665    | 0.6272    | 
71      | 0.0            | 0.6666    | 0.6273    | 
72      | 0.0            | 0.6672    | 0.6293    | 
73      | 0.0            | 0.6675    | 0.6285    | 
74      | 0.0            | 0.667     | 0.6301    | 
75      | 0.0            | 0.6672    | 0.6301    | 
76      | 0.0            | 0.6673    | 0.6307    | 
77      | 0.0            | 0.6683    | 0.6305    | 
78      | 0.0            | 0.6694    | 0.6314    | 
79      | 0.0            | 0.6696    | 0.6301    | 
80      | 0.0            | 0.6699    | 0.6303    | 
81      | 0.0            | 0.67      | 0.6303    | 
82      | 0.0            | 0.6706    | 0.6303    | 
