NOTE
Two test results are shown here, for two different metrics during training:
1. NDCG@10 (result: 0.9703)
2. ERR@10 (result: 0.9703) (RankLib's default metric)


java -jar RankLib-2.14.jar -train ../data/final/model2_train.txt -test ../data/final/model2_test.txt -validate ../data/final/model2_validate.txt -ranker 0 -metric2t NDCG@10 -metric2T NDCG@10 -save ../model_mart/model2_mart.txt

Discard orig. features
Training data:	../data/final/model2_train.txt
Test data:	../data/final/model2_test.txt
Validation data:	../data/final/model2_validate.txt
Feature vector representation: Dense.
Ranking method:	MART
Feature description file:	Unspecified. All features will be used.
Train metric:	NDCG@10
Test metric:	NDCG@10
Feature normalization: No
Model file: ../model_mart/model2_mart.txt

[+] MART's Parameters:
No. of trees: 1000
No. of leaves: 10
No. of threshold candidates: 256
Min leaf support: 1
Learning rate: 0.1
Stop early: 100 rounds without performance gain on validation data

Reading feature file [../data/final/model2_train.txt]... [Done.]            
(152 ranked lists, 7600 entries read)
Reading feature file [../data/final/model2_validate.txt]... [Done.]            
(75 ranked lists, 3750 entries read)
Reading feature file [../data/final/model2_test.txt]... [Done.]            
(77 ranked lists, 3850 entries read)
Initializing... [Done]
---------------------------------
Training starts...
---------------------------------
#iter   | NDCG@10-T | NDCG@10-V | 
---------------------------------
1       | 0.9309    | 0.8995    | 
2       | 0.9325    | 0.8986    | 
3       | 0.9328    | 0.8987    | 
4       | 0.9329    | 0.8987    | 
5       | 0.9341    | 0.8991    | 
6       | 0.9355    | 0.9013    | 
7       | 0.9362    | 0.9041    | 
8       | 0.9432    | 0.913     | 
9       | 0.9437    | 0.9131    | 
10      | 0.9441    | 0.9132    | 
11      | 0.9441    | 0.9131    | 
12      | 0.9456    | 0.9137    | 
13      | 0.9459    | 0.9146    | 
14      | 0.9458    | 0.9136    | 
15      | 0.946     | 0.9141    | 
16      | 0.9462    | 0.9152    | 
17      | 0.9456    | 0.9147    | 
18      | 0.9456    | 0.9158    | 
19      | 0.9459    | 0.9157    | 
20      | 0.9465    | 0.9158    | 
21      | 0.9466    | 0.9164    | 
22      | 0.9469    | 0.9163    | 
23      | 0.9463    | 0.9152    | 
24      | 0.9464    | 0.9142    | 
25      | 0.9466    | 0.9147    | 
26      | 0.9464    | 0.9152    | 
27      | 0.9476    | 0.9159    | 
28      | 0.9473    | 0.9159    | 
29      | 0.9474    | 0.9166    | 
30      | 0.9477    | 0.9172    | 
31      | 0.9478    | 0.9172    | 
32      | 0.948     | 0.9172    | 
33      | 0.9479    | 0.9176    | 
34      | 0.9482    | 0.9175    | 
35      | 0.9482    | 0.9183    | 
36      | 0.9481    | 0.9196    | 
37      | 0.9482    | 0.9207    | 
38      | 0.9482    | 0.9207    | 
39      | 0.9482    | 0.9184    | 
40      | 0.9482    | 0.9188    | 
41      | 0.9489    | 0.9193    | 
42      | 0.9489    | 0.9199    | 
43      | 0.949     | 0.9198    | 
44      | 0.949     | 0.9197    | 
45      | 0.949     | 0.9195    | 
46      | 0.949     | 0.9197    | 
47      | 0.949     | 0.9197    | 
48      | 0.9491    | 0.9195    | 
49      | 0.9491    | 0.9195    | 
50      | 0.9491    | 0.9203    | 
51      | 0.9497    | 0.9229    | 
52      | 0.9497    | 0.9229    | 
53      | 0.9497    | 0.9229    | 
54      | 0.9497    | 0.9229    | 
55      | 0.9497    | 0.9229    | 
56      | 0.9497    | 0.9229    | 
57      | 0.9497    | 0.9229    | 
58      | 0.9497    | 0.9229    | 
59      | 0.9497    | 0.9229    | 
60      | 0.9497    | 0.9229    | 
61      | 0.9495    | 0.9218    | 
62      | 0.9497    | 0.9218    | 
63      | 0.9497    | 0.9199    | 
64      | 0.9497    | 0.9196    | 
65      | 0.9495    | 0.9199    | 
66      | 0.9495    | 0.9199    | 
67      | 0.9495    | 0.9199    | 
68      | 0.9495    | 0.9199    | 
69      | 0.9495    | 0.9199    | 
70      | 0.9495    | 0.92      | 
71      | 0.9495    | 0.92      | 
72      | 0.9495    | 0.9196    | 
73      | 0.9495    | 0.921     | 
74      | 0.9495    | 0.9196    | 
75      | 0.9498    | 0.92      | 
76      | 0.9503    | 0.92      | 
77      | 0.9503    | 0.92      | 
78      | 0.9503    | 0.92      | 
79      | 0.9504    | 0.9196    | 
80      | 0.9504    | 0.921     | 
81      | 0.9504    | 0.9215    | 
82      | 0.9503    | 0.9215    | 
83      | 0.9503    | 0.9215    | 
84      | 0.9503    | 0.9215    | 
85      | 0.9503    | 0.9215    | 
86      | 0.9503    | 0.9215    | 
87      | 0.9503    | 0.9215    | 
88      | 0.9503    | 0.9216    | 
89      | 0.9503    | 0.9216    | 
90      | 0.9503    | 0.9216    | 
91      | 0.9503    | 0.9216    | 
92      | 0.9503    | 0.9216    | 
93      | 0.9503    | 0.9216    | 
94      | 0.9503    | 0.9205    | 
95      | 0.9503    | 0.9205    | 
96      | 0.9503    | 0.9205    | 
97      | 0.9503    | 0.9205    | 
98      | 0.9503    | 0.9205    | 
99      | 0.9506    | 0.9222    | 
100     | 0.9506    | 0.9211    | 
101     | 0.9506    | 0.9211    | 
102     | 0.9506    | 0.9211    | 
103     | 0.9506    | 0.9211    | 
104     | 0.9506    | 0.9211    | 
105     | 0.9504    | 0.9192    | 
106     | 0.9504    | 0.9192    | 
107     | 0.9506    | 0.9206    | 
108     | 0.9506    | 0.9206    | 
109     | 0.9506    | 0.9206    | 
110     | 0.9506    | 0.9206    | 
111     | 0.9506    | 0.9207    | 
112     | 0.9506    | 0.9207    | 
113     | 0.9506    | 0.9207    | 
114     | 0.9506    | 0.9207    | 
115     | 0.9506    | 0.9207    | 
116     | 0.9506    | 0.9207    | 
117     | 0.9506    | 0.9207    | 
118     | 0.9506    | 0.9206    | 
119     | 0.9506    | 0.9207    | 
120     | 0.9506    | 0.9207    | 
121     | 0.9509    | 0.9207    | 
122     | 0.9509    | 0.9212    | 
123     | 0.9509    | 0.9212    | 
124     | 0.951     | 0.9212    | 
125     | 0.9509    | 0.9212    | 
126     | 0.9509    | 0.9212    | 
127     | 0.9509    | 0.9212    | 
128     | 0.9507    | 0.9207    | 
129     | 0.9507    | 0.9207    | 
130     | 0.9507    | 0.9207    | 
131     | 0.9508    | 0.9207    | 
132     | 0.9508    | 0.9207    | 
133     | 0.9508    | 0.9212    | 
134     | 0.9508    | 0.9212    | 
135     | 0.9508    | 0.9212    | 
136     | 0.9508    | 0.9212    | 
137     | 0.9508    | 0.9212    | 
138     | 0.9508    | 0.9212    | 
139     | 0.9508    | 0.9212    | 
140     | 0.9507    | 0.9212    | 
141     | 0.9507    | 0.9217    | 
