NOTE
Two test results are shown here, for two different metrics during training:
1. NDCG@10 (result: 0.9663)
2. ERR@10 (result: 0.9663) (RankLib's default metric)



java -jar RankLib-2.14.jar -train ../data/final/model2_train.txt -test ../data/final/model2_test.txt -validate ../data/final/model2_validate.txt -ranker 2 -metric2t NDCG@10 -metric2T NDCG@10 -save ../model_rankboost/model2_rankboost.txt


Discard orig. features
Training data:	../data/final/model2_train.txt
Test data:	../data/final/model2_test.txt
Validation data:	../data/final/model2_validate.txt
Feature vector representation: Dense.
Ranking method:	RankBoost
Feature description file:	Unspecified. All features will be used.
Train metric:	NDCG@10
Test metric:	NDCG@10
Feature normalization: No
Model file: ../model_rankboost/model2_rankboost.txt

[+] RankBoost's Parameters:
No. of rounds: 300
No. of threshold candidates: 10

Reading feature file [../data/final/model2_train.txt]... [Done.]            
(152 ranked lists, 7600 entries read)
Reading feature file [../data/final/model2_validate.txt]... [Done.]            
(75 ranked lists, 3750 entries read)
Reading feature file [../data/final/model2_test.txt]... [Done.]            
(77 ranked lists, 3850 entries read)
Initializing... [Done]
------------------------------------------
Training starts...
--------------------------------------------------------------------
#iter   | Sel. F.  | Threshold | Error     | NDCG@10-T | NDCG@10-V | 
--------------------------------------------------------------------
1       | 23       | 0.9       | 0.706     | 0.9485    | 0.7971    | 
2       | 25       | 0.9       | 0.3903    | 0.9485    | 0.8211    | 
3       | 28       | 0.9       | 0.3551    | 0.9485    | 0.836     | 
4       | 20       | 1.9657    | 0.3716    | 0.944     | 0.898     | 
5       | 25       | 0.9       | 0.3601    | 0.9466    | 0.8998    | 
6       | 24       | 0.9       | 0.3603    | 0.9449    | 0.9047    | 
7       | 28       | 0.9       | 0.325     | 0.9452    | 0.9047    | 
8       | 20       | 3.9313    | 0.3002    | 0.9452    | 0.9053    | 
9       | 25       | 0.9       | 0.3164    | 0.9466    | 0.906     | 
10      | 28       | 0.9       | 0.2844    | 0.9466    | 0.906     | 
11      | 25       | 0.9       | 0.2507    | 0.9473    | 0.9062    | 
12      | 21       | 0.9       | 0.2543    | 0.9471    | 0.9064    | 
13      | 28       | 0.9       | 0.2467    | 0.9471    | 0.9064    | 
14      | 25       | 0.9       | 0.2371    | 0.9477    | 0.9065    | 
15      | 20       | 3.9313    | 0.2189    | 0.9472    | 0.9065    | 
16      | 28       | 0.9       | 0.2201    | 0.9472    | 0.9065    | 
17      | 25       | 0.9       | 0.2085    | 0.9477    | 0.9065    | 
18      | 28       | 0.9       | 0.1857    | 0.9477    | 0.9065    | 
19      | 22       | 0.9       | 0.1798    | 0.9473    | 0.9069    | 
20      | 24       | 0.9       | 0.1949    | 0.9476    | 0.9082    | 
21      | 25       | 0.9       | 0.1842    | 0.9477    | 0.9082    | 
22      | 28       | 0.9       | 0.1657    | 0.9477    | 0.9082    | 
23      | 25       | 0.9       | 0.16      | 0.9477    | 0.9082    | 
24      | 21       | 0.9       | 0.1592    | 0.9478    | 0.9082    | 
25      | 15       | 0.9       | 0.1612    | 0.9432    | 0.9105    | 
26      | 25       | 0.9       | 0.153     | 0.9432    | 0.9105    | 
27      | 28       | 0.9       | 0.1525    | 0.9432    | 0.9105    | 
28      | 20       | 4.9141    | 0.1448    | 0.9432    | 0.9105    | 
29      | 25       | 0.9       | 0.1386    | 0.9432    | 0.9105    | 
30      | 24       | 0.9       | 0.1403    | 0.9445    | 0.9122    | 
31      | 28       | 0.9       | 0.1371    | 0.9445    | 0.9122    | 
32      | 14       | 0.9       | 0.1341    | 0.9442    | 0.912     | 
33      | 25       | 0.9       | 0.1334    | 0.9443    | 0.912     | 
34      | 20       | 5.897     | 0.127     | 0.9443    | 0.912     | 
35      | 28       | 0.9       | 0.1266    | 0.9443    | 0.912     | 
36      | 25       | 0.9       | 0.121     | 0.9443    | 0.912     | 
37      | 21       | 0.9       | 0.1168    | 0.9443    | 0.912     | 
38      | 25       | 0.9       | 0.1178    | 0.9443    | 0.912     | 
39      | 28       | 0.9       | 0.1175    | 0.9443    | 0.912     | 
40      | 20       | 5.897     | 0.1111    | 0.9443    | 0.912     | 
41      | 14       | 0.9       | 0.1088    | 0.9443    | 0.912     | 
42      | 28       | 0.9       | 0.1088    | 0.9443    | 0.912     | 
43      | 25       | 0.9       | 0.1093    | 0.9443    | 0.912     | 
44      | 24       | 0.9       | 0.1137    | 0.9449    | 0.9126    | 
45      | 25       | 0.9       | 0.1055    | 0.9449    | 0.9126    | 
46      | 20       | 4.9141    | 0.1041    | 0.9449    | 0.9126    | 
47      | 28       | 0.9       | 0.1021    | 0.9449    | 0.9126    | 
48      | 25       | 0.9       | 0.0983    | 0.9449    | 0.9126    | 
49      | 20       | 5.897     | 0.0958    | 0.9449    | 0.9126    | 
50      | 24       | 0.9       | 0.0954    | 0.9449    | 0.9131    | 
51      | 25       | 0.9       | 0.0962    | 0.9449    | 0.9131    | 
52      | 28       | 0.9       | 0.0956    | 0.9449    | 0.9131    | 
53      | 14       | 0.9       | 0.0925    | 0.9449    | 0.9126    | 
54      | 28       | 0.9       | 0.0892    | 0.9449    | 0.9126    | 
55      | 25       | 0.9       | 0.0896    | 0.9449    | 0.9126    | 
56      | 20       | 5.897     | 0.0901    | 0.9449    | 0.9126    | 
57      | 24       | 0.9       | 0.0854    | 0.9451    | 0.9131    | 
58      | 25       | 0.9       | 0.088     | 0.9451    | 0.9131    | 
