NOTE
Two test results are shown here, for two different metrics during training:
1. NDCG@10 (result: 0.7539)
2. ERR@10 (result: 0.7456) (RankLib's default metric)



java -jar RankLib-2.14.jar -train ../data/final/model2_train.txt -test ../data/final/model2_test.txt -validate ../data/final/model2_validate.txt -ranker 1 -metric2t NDCG@10 -metric2T NDCG@10 -save ../model_ranknet/model2_ranknet.txt

Discard orig. features
Training data:	../data/final/model2_train.txt
Test data:	../data/final/model2_test.txt
Validation data:	../data/final/model2_validate.txt
Feature vector representation: Dense.
Ranking method:	RankNet
Feature description file:	Unspecified. All features will be used.
Train metric:	NDCG@10
Test metric:	NDCG@10
Feature normalization: No
Model file: ../model_ranknet/model2_ranknet.txt

[+] RankNet's Parameters:
No. of epochs: 100
No. of hidden layers: 1
No. of hidden nodes per layer: 10
Learning rate: 5.0E-5

Reading feature file [../data/final/model2_train.txt]... [Done.]            
(152 ranked lists, 7600 entries read)
Reading feature file [../data/final/model2_validate.txt]... [Done.]            
(75 ranked lists, 3750 entries read)
Reading feature file [../data/final/model2_test.txt]... [Done.]            
(77 ranked lists, 3850 entries read)
Initializing... [Done]
-----------------------------------------
Training starts...
--------------------------------------------------
#epoch  | % mis-ordered  | NDCG@10-T | NDCG@10-V | 
        |   pairs        |           |           | 
--------------------------------------------------
1       | 0.0988         | 0.6265    | 0.6039    | 
2       | 0.0786         | 0.6905    | 0.6712    | 
3       | 0.0704         | 0.7192    | 0.6889    | 
4       | 0.0669         | 0.7336    | 0.7064    | 
5       | 0.0653         | 0.739     | 0.7072    | 
6       | 0.0654         | 0.7364    | 0.7074    | 
7       | 0.0672         | 0.7237    | 0.6978    | 
8       | 0.0703         | 0.7115    | 0.6909    | 
9       | 0.073          | 0.7055    | 0.6803    | 
10      | 0.0749         | 0.7022    | 0.671     | 
11      | 0.0761         | 0.6955    | 0.6674    | 
12      | 0.0767         | 0.6927    | 0.6637    | 
13      | 0.0771         | 0.6918    | 0.661     | 
14      | 0.0772         | 0.6905    | 0.6605    | 
15      | 0.0771         | 0.6911    | 0.6571    | 
16      | 0.0773         | 0.6912    | 0.6568    | 
17      | 0.0772         | 0.6929    | 0.6571    | 
18      | 0.0771         | 0.694     | 0.6562    | 
19      | 0.0771         | 0.693     | 0.6557    | 
20      | 0.0771         | 0.6941    | 0.6561    | 
21      | 0.0769         | 0.693     | 0.6542    | 
22      | 0.0768         | 0.6931    | 0.6549    | 
23      | 0.0767         | 0.6916    | 0.6506    | 
24      | 0.0766         | 0.6918    | 0.6508    | 
25      | 0.0766         | 0.6913    | 0.6509    | 
26      | 0.0764         | 0.6917    | 0.6509    | 
27      | 0.0763         | 0.6923    | 0.653     | 
28      | 0.0759         | 0.6947    | 0.6506    | 
29      | 0.0757         | 0.6952    | 0.6491    | 
30      | 0.0754         | 0.6959    | 0.6479    | 
31      | 0.0751         | 0.693     | 0.6497    | 
32      | 0.0746         | 0.6905    | 0.6454    | 
33      | 0.0746         | 0.6905    | 0.6458    | 
34      | 0.074          | 0.6873    | 0.6454    | 
